1018295053,column,column,column,column,1857918,____________________digitus,digitus,__digitus_cat_6a_sftp_awg_267_dk1644a010,column,109,1,httpscomfyuakabelpatchkorddigituscat6asftpawg267dk1644a010html,column,05112025_1922,column,__42,Фастів,0
1018295053,,,,,1857918,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Digitus",digitus,Кабель патч-корд Digitus CAT 6a S-FTP AWG 26/7 (DK-1644-A-010),,109,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6a-s-ftp-awg-26-7-dk-1644-a-010.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1018297724,6656955,RINGEL,Ложка RINGEL Regen (RG-5120/3),87,1845466,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ringel,ringel,Ложка кухарська Ringel Regen (RG-5120/3),,87,1,https://comfy.ua/lozhka-povarskaja-ringel-regen-rg-5120-3.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1018330452,6766601,FROSCH,Ополаскиватель для посудомоечной машины FROSCH 750 мл (4001499950599),276,1856831,Бытовая химия >> Средства для посудомоечных машин >> Ополаскиватели для мытья посуды >> Ополаскиватели для мытья посуды Frosch,frosch,Ополіскувач для посудомийної машини Frosch дой-пак 750 мл (4001499950599),,186,1,https://comfy.ua/opolaskivatel-dlja-posudomoechnoj-mashiny-frosch-doj-pak-750-ml-4001499950599.html,276,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1018337292,6606016,DEWALT,Дрель-шуруповерт DEWALT DCD709D2T,11799,1858803,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты DeWALT,dewalt,Дриль-шуруповерт DeWALT DCD709D2T,,11799,1,https://comfy.ua/drel-shurupovert-dewalt-dcd709d2t.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1018363849,6810736,GOPRO,Крепление GOPRO для велосипеда Pro Seat Rail Mount (AMBSM-001),1049,1857946,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для экшн-камер >> Аксессуары для экшн-камер GoPro,gopro,Кріплення для екшн-камери GoPro Pro Seat Rail Mount (AMBSM-001),,1049,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-gopro-pro-seat-rail-mount-ambsm-001.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1018381282,6656956,RINGEL,Шумовка RINGEL Regen (RG-5120/6),109,1845470,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ringel,ringel,Шумовка Ringel Regen (RG-5120/6),,109,1,https://comfy.ua/shumovka-ringel-regen-rg-5120-6.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1018412528,,,,,1842611,Посуда >> Для напитков >> Термопосуда >> Термопосуда Beaba,beaba,Термос для продуктів Beaba 300 мл. Green/Grey (912907),,1200,1,https://comfy.ua/termos-dlja-produktov-beaba-300-ml-green-grey-912907.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1018412529,,,,,1842612,Посуда >> Для напитков >> Термопосуда >> Термопосуда Beaba,beaba,Термос для продуктів Beaba 300 мл. Pink/Gray (912908),,1200,1,https://comfy.ua/termos-dlja-produktov-beaba-300-ml-pink-gray-912908.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1018412539,,,,,1842614,Посуда >> Для напитков >> Термопосуда >> Термопосуда Beaba,beaba,Термос для продуктів Beaba 500 мл Pink/Blue (912910),,1560,1,https://comfy.ua/termos-dlja-produktov-beaba-500-ml-pink-blue-912910.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1018412540,,,,,1842613,Посуда >> Для напитков >> Термопосуда >> Термопосуда Beaba,beaba,Термос для продуктів Beaba 500 мл White/Blue (912909),,1560,1,https://comfy.ua/termos-dlja-produktov-beaba-500-ml-white-blue-912909.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1018412618,6766788,ZOJIRUSHI,Термос ZOJIRUSHI SJ-TG10XA 1 л Steel (1678.04.87),2010,.1856913,Посуда >> Для напитков,zojirushi,Термос Zojirushi SJ-TG10XA 1 л Steel (1678.04.87),,2210,1,https://comfy.ua/termos-zojirushi-sj-tg10xa-1-l-steel-1678-04-87.html,2545,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1018478044,6738092,LEVOIT,Очиститель воздуха LEVOIT Smart Air Purifier Core 200S White (HEAPAPLVSEU0064),5999,1858257,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Levoit,levoit,Очищувач повітря Levoit Smart Air Purifier Core 200S White (HEAPAPLVSEU0064),,5999,1,https://comfy.ua/ochistitel-vozduha-levoit-smart-air-purifier-core-200s-white-heapaplvseu0064.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
