1019856851,column,column,column,column,1855472,Посуда >> Нарезка и измельчение,gusto,__gusto_20__gt6120,column,112,1,httpscomfyuacatalogproductviewid2967243,column,05112025_1858,column,__42,Фастів,0
1019856851,,,,,1855472,Посуда >> Нарезка и измельчение,gusto,Ножиці кухонні Gusto 20 см (GT-6120),,112,1,https://comfy.ua/catalog/product/view/id/2967243,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1019885047,6788485,EMOS,Фонарь EMOS Р4702,196,1858786,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P4702 3W 75Lm1/25Lm 3?AAA, ручн.пласт.",,325,1,https://comfy.ua/fonar-emos-p4702.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1019885049,6788460,EMOS,Фонарь EMOS P3113,599,1858787,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P3113 120Lm 2?AAA, ручн.метал.фокус",,599,1,https://comfy.ua/fonar-emos-p3113.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1019885051,6788461,EMOS,Фонарь EMOS P3114,719,1858788,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P3114 330Lm 3?AA, ручн.метал.",,719,1,https://comfy.ua/fonar-emos-p3114.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1019885052,6788468,EMOS,Фонарь EMOS LED P3539,559,1858784,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P3539 3W 330Lm 3?AAА, налоб.пласт.",,799,1,https://comfy.ua/fonar-emos-p3539.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1019885053,6788462,EMOS,Фонарь EMOS P3115,759,1858789,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P3115 500Lm 4?AAA, ручн.метал.фокус",,759,1,https://comfy.ua/fonar-emos-p3115.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1019885417,6788480,EMOS,Фонарь прожектор Emos P4536,3139,1858888,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P4536 20W 2000Lm Li-Ion, прожектор.пласт.",,3139,1,https://comfy.ua/fonar-emos-p4536.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1019886715,,,,,1858274,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Gruntek,gruntek,Обприскувач ручний Gruntek HS-8-1 (296001081),,655,1,https://comfy.ua/opryskivatel-ruchnoj-gruntek-hs-8-1-296001081.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1019886716,,,,,1858275,Инструменты и автотовары >> Садовые инструменты >> Опрыскиватели ручные >> Опрыскиватели ручные Gruntek,gruntek,Обприскувач ручний Gruntek HS-12-3 (296002123),,925,1,https://comfy.ua/opryskivatel-ruchnoj-gruntek-hs-12-3-296002123.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1019886734,,,,,.1855471,Посуда >> Кухонные аксессуары,gusto,Штопор Gusto GT-6201,,242,1,https://comfy.ua/shtopor-gusto-gt-6201.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
