1023615796,column,column,column,column,1858204,Посуда >> Для напитков,zojirushi,___zojirushi_sweae50ps_05__pink_16780352,column,1690,1,httpscomfyuacatalogproductviewid2985093,1799,05112025_2013,column,__42,Фастів,0
1023615796,,,,,1858204,Посуда >> Для напитков,zojirushi,Термос для продуктів Zojirushi SW-EAE50PS 0.5 л Pink (1678.03.52),,1690,1,https://comfy.ua/catalog/product/view/id/2985093,1799,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1023619326,,,,,.1860080,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",surefire,Підставка під ноутбук охолоджуюча SureFire Bora Green-LED Black (48818),,1009,1,https://comfy.ua/podstavka-pod-noutbuk-surefire-bora-green-led-black-48818.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1023626601,6709500,STARK,Шуруповерт STARK CD 18 2 B Li-Ion (210018110),3897,1860460,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Stark,stark,Шуруповерт Stark CD 18 2 B (210018110) Li-Ion,,3899,1,https://comfy.ua/shurupovert-stark-cd-18-2-b-210018110-li-ion.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1023627646,6768379,TEFAL,Форма Tefal Easybake (J1744674),298,1858856,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Деко Tefal Easybake 29x23 см (J1744674),,299,1,https://comfy.ua/protiven-tefal-easybake-29x23-sm-j1744674.html,499,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1023637527,7088286,JOSEPH JOSEPH,Гладильная доска JOSEPH JOSEPH Pocket Folding Grey (50009),7995,1848607,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Joseph Joseph",joseph-joseph,Прасувальна дошка Joseph Joseph 50009,,5535,1,https://comfy.ua/gladil-naja-doska-joseph-joseph-50009.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1023637529,7088285,JOSEPH JOSEPH,Гладильная доска JOSEPH JOSEPH Glide Plus Blue (50006),9995,1848606,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Joseph Joseph",joseph-joseph,Прасувальна дошка Joseph Joseph 50006,,9995,1,https://comfy.ua/gladil-naja-doska-joseph-joseph-50006.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1023637970,6768380,TEFAL,Форма для выпечки TEFAL Easybake 24 см (J1741274),399,1858866,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для випічки Tefal Easybake 24 см (J1741274),,399,1,https://comfy.ua/forma-dlja-vypechki-tefal-easybake-24-sm-j1741274.html,599,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1023637971,6768381,TEFAL,Форма для выпечки TEFAL Easybake 28 см (J1241474),477,1858864,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для випічки Tefal Easybake 28 см (J1241474),,477,1,https://comfy.ua/forma-dlja-vypechki-tefal-easybake-28-sm-j1241474.html,699,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1023696340,7121296,PIPO,Робот для окон PIPO PWR-01,5400,1848669,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы PiPo,pipo,Пилосос віконний PiPo PWR-01/21444,,6739,1,https://comfy.ua/pylesos-okonnyj-pipo-pwr-01-21444.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1023822840,6732934,BOSCH,Варочная поверхность BOSCH PNP6B6O92R,11999,1837340,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Bosch,bosch,Варильна поверхня газова Bosch PNP6B6O92R,,11999,1,https://comfy.ua/varochnaja-panel-gazovaja-bosch-pnp6b6o92r.html,16299,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1023823342,6738534,KYVOL,Робот-пылесос KYVOL D3 Black,4999,1853072,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Kyvol,kyvol,Робот-пилосос Kyvol D3 Black,,4999,1,https://comfy.ua/robot-pylesos-kyvol-d3-black.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1023823463,6741360,PHILIPS,Электрическая зубная щетка PHILIPS Sonicare HX3671/14 Gemini 3100,2599,1861082,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Зубна щітка електрична Philips HX3671/14,,2599,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-sonicare-3100-series-hx3671-14.html,3399,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1023823465,6736927,SENCOR,Блендер SENCOR SBL 7570SS (41012861),3299,1860047,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Sencor,sencor,Блендер стаціонарний Sencor SBL 7570SS,,3299,1,https://comfy.ua/blender-stacionarnyj-sencor-sbl-7570ss.html,3499,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1023823471,6744903,LIBERTON,Пылесос LIBERTON LVC-0751C ECO Violet,3779,1859868,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Liberton,liberton,Пилосос для сухого прибирання без мішка Liberton LVC-0751C ECO Violet,,3779,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-liberton-lvc-0751c-eco-violet.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1023823599,,,,,1860102,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Apetito 10-E Red,,12099,1,https://comfy.ua/plita-gazovaja-artel-apetito-10-e-red.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1023829555,,,,,1855484,Посуда >> Для приготовления,gusto,Сковорода універсальна Gusto Xylan matte 26 x 4.3 cм (GT-2308-26),,303,1,https://comfy.ua/catalog/product/view/id/2967203,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1023829573,,,,,1855485,Посуда >> Для приготовления,gusto,Сковорода універсальна Gusto Xylan matte 28 x 4.5 cм (GT-2308-28),,449,1,https://comfy.ua/catalog/product/view/id/2967213,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1023886412,,,,,1716658,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime Iris LED Fan 15LED Purple (FLF-HB120P15),,159,1,https://comfy.ua/korpusnyj-ventiljator-frime-iris-led-fan-15led-purple-flf-hb120p15.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1023987460,6768339,ARDESTO,Сковорода ARDESTO Mini Gemini Gourmet Massa 14 см Red (AR1914MR),165,1860468,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Mini Gemini Gourmet Massa 14 см (AR1914MR),,165,1,https://comfy.ua/skovoroda-universal-naja-ardesto-mini-gemini-gourmet-massa-14-sm-ar1914mr.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1023987463,6768337,ARDESTO,Сковорода ARDESTO Mini Gemini Gourmet Massa 14 см Blue (AR1914MB),134,1860467,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Mini Gemini Gourmet Massa 14 см (AR1914MB),,134,1,https://comfy.ua/skovoroda-universal-naja-ardesto-mini-gemini-gourmet-massa-14-sm-ar1914mb.html,199,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1023987466,,,,,1860959,Посуда >> Для приготовления,ardesto,Сковорода для млинців Ardesto Mini Gemini Gourmet 20 см Black (AR1920GP),,269,1,https://comfy.ua/catalog/product/view/id/2989143,359,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,3
1024012308,7069665,JOSEPH JOSEPH,Набор кухонных аксессуаров JOSEPH JOSEPH Elevate 6 пр. (10540),6555,1848612,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Joseph Joseph,joseph-joseph,Кухарський набір приладів Joseph Joseph 10540,,5555,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-joseph-joseph-10540.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1024298990,7088287,JOSEPH JOSEPH,Гладильная доска JOSEPH JOSEPH Pocket Folding Blue (50010),9435,1860319,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Гладильные доски >> Гладильные доски Joseph Joseph",joseph-joseph,Прасувальна дошка Joseph Joseph 50010,,7995,1,https://comfy.ua/gladil-naja-doska-joseph-joseph-50010.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1024647844,,,,,1855145,Посуда >> Для напитков,resto,Чайник металевий RESTO Lyra 2.7 л Black (90606),,899,1,https://comfy.ua/catalog/product/view/id/2979493,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1025212547,,,,,.1860089,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",surefire,Килимок для миші ігровий SureFire Silent Flight RGB-320 (48812),,629,1,https://comfy.ua/kovrik-dlja-myshi-surefire-silent-flight-rgb-320-48812.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
1025212558,,,,,.1858902,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Точка доступу Zyxel NWA50AX (NWA50AX-EU0102F),,3899,1,https://comfy.ua/tochka-dostupa-zyxel-nwa50ax-nwa50ax-eu0102f.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1025228494,6768382,TEFAL,Форма для выпечки маффинов TEFAL Easybake baking на 12 шт 38x27x3 см (J1745074),569,1858863,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Tefal,tefal,Форма для приготування Tefal Easybake Baking12 шт. 38х27х3 см (J1745074),,569,1,https://comfy.ua/forma-dlja-prigotovlenija-tefal-easybake-baking12-sht-38h27h3-sm-j1745074.html,799,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1025298695,,,,,1861397,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Braun,braun,Насадка для зубної щітки Braun Oral-B Star Wars EB10S 4 шт.,,699,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-braun-oral-b-star-wars-eb10s-4-sht.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1025298719,,,,,.1861392,Красота и здоровье >> Уход за полостью рта,braun,Насадка для зубної щітки Braun Oral-B Stages Power FrozenII EB10S 4 шт.,,849,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-braun-oral-b-stages-power-frozenii-eb10s-4-sht.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1025298800,,,,,1861667,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer Лиса (RK1130-03),,84,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-lisa-rk1130-03.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1025299262,,,,,1861679,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer 2 в 1 Ферма (RK1140-05),,169,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-2-v-1-ferma-rk1140-05.html,,06.11.2025 1:21,,"вул. Соборна, 42",Фастів,0
1025299381,,,,,1861674,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer 2 в 1 Пірати (RK1140-04),,169,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-2-v-1-piraty-rk1140-04.html,,06.11.2025 1:05,,"вул. Соборна, 42",Фастів,0
1025299517,,,,,1861666,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer Сова (RK1130-02),,63,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-sova-rk1130-02.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1025299643,,,,,1861673,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer 2 в 1 Феї (RK1140-02),,169,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-2-v-1-fei-rk1140-02.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1025299999,6770450,ORAL-B,Набор насадок ORAL-B Звездные войны EB10S 2 шт (4210201388005),649,1861393,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Braun,braun,Насадка для зубної щітки Braun Oral-B Star Wars EB10S 2 шт.,,649,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-braun-oral-b-star-wars-eb10s-2-sht.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1025300388,,,,,.1859537,Красота и здоровье >> Уход за полостью рта,xiaomi,Зубна щітка електрична Xiaomi SO White PINJING Pink EX3,,799,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-xiaomi-so-white-pinjing-pink-ex3.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1025300660,,,,,1861665,Детские товары >> Игрушки,roter-kafer,Пазли (3-4 роки) Roter Kafer Коала (RK1130-01),,84,1,https://comfy.ua/pazly-kartonnye-3-4-goda-roter-kafer-koala-rk1130-01.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1025302039,6749419,2E GAMING,Гарнитура 2E Gaming HG330 RGB USB 7.1 White (2E-HG330WT-7.1),1099,1860971,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG330 RGB USB 7.1 White (2E-HG330WT-7.1),,1099,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg330-rgb-usb-7-1-white-2e-hg330wt-7-1.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1025302043,,,,,1860973,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры 2E",2e,Гарнітура дротова ігрова 2E HG340 RGB 3.5mm Yellow (2E-HG340YW),,1299,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg340-rgb-3-5mm-yellow-2e-hg340yw.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1025302044,6749423,2E GAMING,Гарнитура  2E GAMING HG340 RGB USB 7.1 Yellow ()2E-HG340YW-7.1,1499,1860974,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG340 RGB USB 7.1 Yellow (2E-HG340YW-7.1),,1499,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg340-rgb-usb-7-1-yellow-2e-hg340yw-7-1.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1025302045,6749422,2E GAMING,Гарнитура 2E GAMING HG340 RGB USB 7.1 Black (2E-HG340BK-7.1),1499,1860972,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова ігрова 2E HG340 RGB USB 7.1 Black (2E-HG340BK-7.1),,1499,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-hg340-rgb-usb-7-1-black-2e-hg340bk-7-1.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1025303222,,,,,.1860085,"Аудио, фото и видео >> Наушники",surefire,Гарнітура дротова ігрова SureFire Harrier 360 (48822),,715,1,https://comfy.ua/garnitura-provodnaja-igrovaja-surefire-harrier-360-48822.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1025394542,6768338,ARDESTO,Сковорода ARDESTO Mini Gemini Gourmet Massa 14 см Grey (AR1914MS),149,1860469,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Mini Gemini Gourmet Massa 14 см (AR1914MS),,134,1,https://comfy.ua/skovoroda-universal-naja-ardesto-mini-gemini-gourmet-massa-14-sm-ar1914ms.html,199,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1025394544,6768341,ARDESTO,Сковорода для блинов ARDESTO Mini Gemini Gourmet 20 см Black (AR1920GP),355,1860959,Посуда >> Для приготовления,ardesto,Сковорода для млинців Ardesto Mini Gemini Gourmet 20 см Black (AR1920GP),,269,1,https://comfy.ua/skovoroda-dlja-blinov-ardesto-mini-ardesto-gemini-gourmet-20-sm-black-ar1920gp.html,359,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,3
1025530023,,,,,1855513,Посуда >> Для сервировки,vittora,Тарілка супова Vittora Black Wave 215 мм (V-215WBL),,106,1,https://comfy.ua/catalog/product/view/id/2979273,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1025594608,,,,,1848671,Техника для дома >> Мелкая техника,pipo,Пилосос віконний PiPo PWR-02/21445,,7255,1,https://comfy.ua/pylesos-okonnyj-pipo-pwr-02-21445.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1025596266,,,,,.1858743,Смартфоны и телефоны >> Аксессуары для смартфонов,piko,Захисне скло для смартфона Piko Full Glue for Apple iPhone 13 Pro Black (1283126515026),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-piko-full-glue-for-apple-iphone-13-pro-black-1283126515026.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
1025599059,6854155,TEFAL,Набор ножей TEFAL Сomfort 3 пр (K221S375),799,1855542,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,"Набір ножів Tefal K221S375 Comfort 3пр: для овочів 9 см + 12 см, шеф-кухаря 15 см",,799,1,https://comfy.ua/nabor-nozhej-tefal-k221s375-comfort-3pr-dlja-ovoschej-9-sm-12-sm-shef-povara-15-sm.html,1099,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,4
1025607140,,,,,1861620,Дом и отдых >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Noblechairs,noblechairs,Крісло для геймерів Noblechairs EPIC Mercedes-AMG Formula One,,25999,1,https://comfy.ua/kreslo-dlja-gejmerov-noblechairs-epic-mercedes-amg-formula-one.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1025612820,6398373,ДОБРА ГОСПОДАРОЧКА,Пакеты для льда Добра Господарочка 240 шт 19 х 35 см (4820086520362),42,1852014,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Добра господарочка,dobra-gospodarochka,Пакети для льоду Добра господарочка 240 шт. (4820086520362),,45,1,https://comfy.ua/pakety-dlja-l-da-dobra-gospodarochka-240-sht-4820086520362.html,64,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1025657717,,,,,1858903,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1900-24HPv2 (GS190024HPV2-EU0101F),,17719,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1900-24hpv2-gs190024hpv2-eu0101f.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1025702914,,,,,.1861615,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon PGI-470/CLI-471 5х100 мл BP/BK/С/M/Y (CW-CW470/CW471SET01P),,549,1,https://comfy.ua/chernila-colorway-canon-pgi-470-cli-471-5h100-ml-bp-bk-s-m-y-cw-cw470-cw471set01p.html,,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1025774376,,,,,.1861421,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ritar,"Кабель патч-корд Ritar RJ-45, Cat.5e 1 m (PCR-CU/1Rd / 04271)",,99,1,https://comfy.ua/kabel-patch-kord-ritar-rj-45-cat-5e-1-m-pcr-cu-1rd-04271.html,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
1025793338,,,,,1845650,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora 190 мм (V-190W),,59,1,https://comfy.ua/catalog/product/view/id/2979743,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1025796380,,,,,1858848,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 500 мл Silver (191500109),,349,1,https://comfy.ua/termobutylka-tavialo-500-ml-silver-191500109.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
