1025797838,column,column,column,column,1858851,Посуда >> Для напитков,tavialo,_tavialo_750__silver_191750109,column,449,1,httpscomfyuatermobutylkatavialo750mlsilver191750109html,column,05112025_1909,column,__42,Фастів,0
1025797838,,,,,1858851,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 750 мл Silver (191750109),,449,1,https://comfy.ua/termobutylka-tavialo-750-ml-silver-191750109.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1025797844,,,,,1858852,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 750 мл Burgundy (191750103),,419,1,https://comfy.ua/termobutylka-tavialo-750-ml-burgundy-191750103.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1025797850,,,,,1858853,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 750 мл Green (191750108),,419,1,https://comfy.ua/termobutylka-tavialo-750-ml-green-191750108.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1025797857,,,,,1858849,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 750 мл White (191750102),,419,1,https://comfy.ua/termobutylka-tavialo-750-ml-white-191750102.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1025798141,,,,,1858855,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 1000 мл Silver (191010109),,612,1,https://comfy.ua/termobutylka-tavialo-1000-ml-silver-191010109.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1025798150,,,,,1858854,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 1000 мл Black (191010101),,612,1,https://comfy.ua/termobutylka-tavialo-1000-ml-black-191010101.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1025800417,,,,,1858204,Посуда >> Для напитков,zojirushi,Термос для продуктів Zojirushi SW-EAE50PS 0.5 л Pink (1678.03.52),,1690,1,https://comfy.ua/termos-dlja-produktov-zojirushi-sw-eae50ps-0-5-l-pink-1678-03-52.html,1799,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1025802536,6766746,ZOJIRUSHI,Термокружка ZOJIRUSHI SM-YAF48XA 480 мл Steel (1678.03.42),2399,.1858203,Посуда >> Для напитков,zojirushi,Термочашка Zojirushi SM-YAF48XA 0.48 л Steel (1678.03.42),,2640,1,https://comfy.ua/termokruzhka-zojirushi-sm-yaf48xa-0-48-l-steel-1678-03-42.html,3035,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1025834167,6768330,ARDESTO,Сковорода ARDESTO Gemini Molise 28 см Grey (AR1928GLG),509,1860951,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Molise 28 см Gray (AR1928GLG),,505,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-molise-28-sm-gray-ar1928glg.html,929,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1025834175,6768331,ARDESTO,Сковорода ARDESTO Gemini Molise 24 см Red (AR1924GRR),469,1860952,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Piemonte 24 см Red (AR1924GRR),,422,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-piemonte-24-sm-red-ar1924grr.html,779,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1025834312,6768332,ARDESTO,Сковорода ARDESTO Gemini Molise 26 см Red (AR1926GRR),515,1860953,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Piemonte 26 см Red (AR1926GRR),,515,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-piemonte-26-sm-red-ar1926grr.html,859,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1025834325,6768333,ARDESTO,Сковорода ARDESTO Gemini Molise 28 см Red (AR1928GRR),559,1860954,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Piemonte 28 см Red (AR1928GRR),,503,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-piemonte-28-sm-red-ar1928grr.html,929,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1025834326,6768336,ARDESTO,Сковорода ARDESTO Gemini Umbria 28 см Black (AR1928GCB),490,1860957,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Umbria 28 см Black (AR1928GCB),,735,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-umbria-28-sm-black-ar1928gcb.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1025834836,6768329,ARDESTO,Сковорода ARDESTO Gemini Molise 26 см Grey (AR1926GLG),509,1860950,Посуда >> Для приготовления >> Сковороды >> Сковороды Ardesto,ardesto,Сковорода універсальна Ardesto Gemini Molise 26 см Gray (AR1926GLG),,454,1,https://comfy.ua/skovoroda-universal-naja-ardesto-gemini-molise-26-sm-gray-ar1926glg.html,859,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1025836008,,,,,1430821,Техника для кухни >> Крупная техника,artel,Піч електрична ARTEL MD 3618 E Black,,3599,1,https://comfy.ua/catalog/product/view/id/2970083,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1025836237,,,,,1859013,Техника для кухни >> Крупная техника,artel,Піч електрична ARTEL MD 3618 E Red-Black,,3499,1,https://comfy.ua/catalog/product/view/id/2965463,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1025836239,,,,,1859019,Техника для кухни >> Крупная техника,artel,Піч електрична ARTEL MD 3618 L Red-Black,,4259,1,https://comfy.ua/catalog/product/view/id/2965643,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1025841581,6736917,SENCOR,Фен SENCOR SHD 0045BK,669,1860043,Красота и здоровье >> Уход за волосами,sencor,Фен Sencor SHD 0045BK,,669,1,https://comfy.ua/fen-sencor-shd-0045bk.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1025841598,6736918,SENCOR,Фен SENCOR SHD 7100BK,749,1860044,Красота и здоровье >> Уход за волосами >> Фены >> Фены Sencor,sencor,Фен Sencor SHD 7100BK,,749,1,https://comfy.ua/fen-sencor-shd-7100bk.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1025841599,6736919,SENCOR,Фен SENCOR SHD 7200GD,919,1860045,Красота и здоровье >> Уход за волосами >> Фены >> Фены Sencor,sencor,Фен Sencor SHD 7200GD,,919,1,https://comfy.ua/fen-sencor-shd-7200gd.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1025856533,,,,,.1582794,"Аудио, фото и видео >> Аксессуары для фото, видео",verbatim,Батарейка тип AAA Verbatim Alkaline AAA/LR03 BL 4 шт. (49920),,61,1,https://comfy.ua/batarejka-tip-aaa-verbatim-alkaline-aaa-lr03-bl-4-sht-49920.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1025856680,,,,,1859447,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ND 835 WH,,5139,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-nd-835-wh.html,6859,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1025882613,6812309,LIBERTY,Плита комбинированная LIBERTY PWE 6115 CB-F,12359,1861066,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 6115 CB-F,,13299,1,https://comfy.ua/plita-gazovaja-liberty-pwe-6115-cb-f.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1025882615,,,,,1861065,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 6114 CSL-F,,14599,1,https://comfy.ua/plita-gazovaja-liberty-pwe-6114-csl-f.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1025882618,6812310,LIBERTY,Плита комбинированная  LIBERTY PWE 6116 C-F,13199,1861064,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 6116 C-F,,13199,1,https://comfy.ua/plita-gazovaja-liberty-pwe-6116-c-f.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1025882620,6825603,LIBERTY,Плита комбинированная LIBERTY PWE 5114 C-F,10999,1861063,Техника для кухни >> Крупная техника >> Плиты >> Плиты Liberty,liberty,Плита газова Liberty PWE 5114 C-F,,10999,1,https://comfy.ua/plita-gazovaja-liberty-pwe-5114-c-f.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1026001410,,,,,1845650,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora 190 мм (V-190W),,59,1,https://comfy.ua/tarelka-desertnaja-vittora-190-mm-v-190w.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1026003200,6742396,VITTORA,Тарелка столовая глубокая VITTORA Wave Black 21.5 см (111001),89,1855513,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка супова Vittora Black Wave 215 мм (V-215WBL),,106,1,https://comfy.ua/tarelka-supovaja-vittora-black-wave-215-mm-v-215wbl.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1026010589,,,,,.1855501,Посуда >> Для сервировки,vittora,Салатник Vittora Black Wave 225 мм (V-225WBL),,140,1,https://comfy.ua/salatnik-vittora-black-wave-225-mm-v-225wbl.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1026053048,6736225,GOODRAM,Флеш-драйв Goodram UME3 Care 64GB USB 3.0 Green (UME3-0640CRR11),249,1853313,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Goodram",goodram,Флеш USB Goodram 64GB USB 3.0 UME3 Care Green (UME3-0640CRR11),,219,1,https://comfy.ua/flesh-usb-goodram-64gb-usb-3-0-ume3-care-green-ume3-0640crr11.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1026367747,,,,,1861443,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda FTP Cat.5e 0.5 m (PAFT4050-CU),,44,1,https://comfy.ua/kabel-patch-kord-kingda-ftp-cat-5e-0-5-m-paft4050-cu.html,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
1026460489,,,,,1859877,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH2х50 мм 2 шт. (2712514),,109,1,https://comfy.ua/nabor-bit-dlja-otvertki-haisser-ph2h50-mm-2-sht-2712514.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1026464248,,,,,.1842455,Техника для дома >> Умный дом,ajax,Бездротовий датчик руху Ajax MotionCam Outdoor,,8199,1,https://comfy.ua/besprovodnoj-datchik-dvizhenija-ajax-motioncam-outdoor.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1026466524,6721619,SAECO,Кофемашина SAECO SM6585/00,41999,1825641,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Saeco,saeco,Кавомашина Saeco SM6585/00,,41999,1,https://comfy.ua/kofemashina-saeco-sm6585-00.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1026466527,6925766,WHIRLPOOL,Кофемашина WHIRLPOOL W11 CM145,113999,1846316,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Whirlpool,whirlpool,Кавомашина вбудовувана Whirlpool W11CM145,,113999,1,https://comfy.ua/kofemashina-vstraivaemaja-whirlpool-w11cm145.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1026468551,6653749,ERGO,Мобильный телефон ERGO E281 Dual Sim Вlack,999,1858346,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Ergo,ergo,Мобільний телефон Ergo E281 Dual Sim Black,,999,1,https://comfy.ua/mobil-nyj-telefon-ergo-e281-dual-sim-black.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,1
1026504857,,,,,1860462,Инструменты и автотовары >> Садовые инструменты >> Газонокосилки >> Газонокосилки Stark,stark,Газонокосарка акумуляторна Stark BLM-36-430 (310100002),,5989,1,https://comfy.ua/gazonokosilka-akkumuljatornaja-stark-blm-36-430-310100002.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1026506571,,,,,1858111,Телевизоры и мультимедиа >> Аксессуары для ТВ,samsung,Змінна рамка для ТВ Samsung VG-SCFA55TKBRU,,2399,1,https://comfy.ua/smennaja-ramka-dlja-tv-samsung-vg-scfa55tkbru.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1026506572,,,,,1858108,Телевизоры и мультимедиа >> Аксессуары для ТВ,samsung,Змінна рамка для ТВ Samsung VG-SCFA55WTBRU,,2399,1,https://comfy.ua/smennaja-ramka-dlja-tv-samsung-vg-scfa55wtbru.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1026513443,6785616,TWINKLY,"Светодиодная гирлянда TWINKLY Smart LED Line RGB Gen II 1,5 м (TWL100ADP-B)",1469,1834443,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Twinkly",twinkly,Світлодіодна стрічка Twinkly TWL100ADP-B,,1469,1,https://comfy.ua/svetodiodnaja-lenta-twinkly-twl100adp-b.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1026577826,,,,,1859119,Смартфоны и телефоны >> Аксессуары для смартфонов,makefuture,Чохол для смартфону MakeFuture Frame Matte PC TPU Apple iPhone 13 Black (MCMF-AI13BK),,299,1,https://comfy.ua/catalog/product/view/id/2970673,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1026594665,,,,,1854877,Посуда >> Для напитков,resto,Френч-прес RESTO 600 мл 90501,,249,1,https://comfy.ua/catalog/product/view/id/2979473,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1026611098,,,,,1855144,Посуда >> Для напитков,resto,Чайник металевий RESTO Lyra 2.7 л Gray (90605),,999,1,https://comfy.ua/catalog/product/view/id/2979483,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1026827838,6768332,ARDESTO,Сковорода ARDESTO Gemini Molise 26 см Red (AR1926GRR),515,1860953,Посуда >> Для приготовления,ardesto,Сковорода універсальна Ardesto Gemini Piemonte 26 см Red (AR1926GRR),,515,1,https://comfy.ua/catalog/product/view/id/2989253,859,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1026828910,6768333,ARDESTO,Сковорода ARDESTO Gemini Molise 28 см Red (AR1928GRR),559,1860954,Посуда >> Для приготовления,ardesto,Сковорода універсальна Ardesto Gemini Piemonte 28 см Red (AR1928GRR),,503,1,https://comfy.ua/catalog/product/view/id/2989243,929,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1026828913,6768336,ARDESTO,Сковорода ARDESTO Gemini Umbria 28 см Black (AR1928GCB),490,1860957,Посуда >> Для приготовления,ardesto,Сковорода універсальна Ardesto Gemini Umbria 28 см Black (AR1928GCB),,735,1,https://comfy.ua/catalog/product/view/id/2989183,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1026835050,,,,,1845652,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220W Blanco Wave 220 мм,,95,1,https://comfy.ua/catalog/product/view/id/2979683,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1026982410,,,,,1861438,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda UTP Cat.5e 7 m (PAUT3700-CU),,235,1,https://comfy.ua/kabel-patch-kord-kingda-utp-cat-5e-7-m-paut3700-cu.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1027116528,6988245,GEMBIRD,Гарнитура GEMBIRD GHS-05-B Black,355,1858527,"Аудио, фото и видео >> Наушники",gembird,Гарнітура дротова Gembird GHS-05-B Black,,279,1,https://comfy.ua/catalog/product/view/id/2965763,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1027221939,6988245,GEMBIRD,Гарнитура GEMBIRD GHS-05-B Black,355,1858527,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Gembird",gembird,Гарнітура дротова Gembird GHS-05-B Black,,279,1,https://comfy.ua/garnitura-provodnaja-gembird-ghs-05-b-black.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1027394707,,,,,1859051,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Чохол для смартфону Colorway Space Series Apple iPhone 13 (CW-CSSAI13),,399,1,https://comfy.ua/chehol-dlja-smartfona-colorway-space-series-apple-iphone-13-cw-cssai13.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,1
