1030165800,column,column,column,column,1865337,Детские товары >> Игрушки,aurora,__aurora_palm_pals__15__190261j,column,299,1,httpscomfyuacatalogproductviewid3036723,399,06112025_114,column,__42,Фастів,0
1030165800,,,,,1865337,Детские товары >> Игрушки,aurora,М'яка іграшка Aurora Palm Pals Лисиця 15 см (190261J),,299,1,https://comfy.ua/catalog/product/view/id/3036723,399,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1030407912,6768360,ARDESTO,Термокружка ARDESTO Compact Mug 350 мл Blue (AR2635MMS),319,1863890,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термочашка Ardesto Compact Mug 350 мл Blue (AR2635MMS),,319,1,https://comfy.ua/termokruzhka-ardesto-compact-mug-350-ml-blue-ar2635mms.html,469,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1030407918,6768361,ARDESTO,Термокружка ARDESTO Compact Mug 350 мл Black (AR2635MMB),294,1863889,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термочашка Ardesto Compact Mug 350 мл Black (AR2635MMB),,294,1,https://comfy.ua/termokruzhka-ardesto-compact-mug-350-ml-black-ar2635mmb.html,469,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1030407925,6768359,ARDESTO,Термокружка ARDESTO Compact Mug 350 мл White (AR2635MMW),319,1863892,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термочашка Ardesto Compact Mug 350 мл White (AR2635MMW),,319,1,https://comfy.ua/termokruzhka-ardesto-compact-mug-350-ml-white-ar2635mmw.html,469,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1030453112,6803502,KERMI,Радиатор KERMI Profil-V FTV 22 200х800 мм (FTV220200801RXK),8474,1865117,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 22 200X800 мм (FTV220200801RXK),,8579,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-22-200x800-mm-ftv220200801rxk.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1031278481,,,,,1864571,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF05RDEU,,6199,1,https://comfy.ua/catalog/product/view/id/3037893,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1031324562,,,,,1864570,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF05PBEU,,6199,1,https://comfy.ua/catalog/product/view/id/3037433,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1031391705,,,,,1864569,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF05BLEU,,6199,1,https://comfy.ua/catalog/product/view/id/3037343,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1031673112,,,,,1865417,Детские товары >> Игрушки,wizarding-world,"""Сюжетно-рольова гра. Набір-професій Wizarding World Іграшка """"Плащ невидимка"""" Junior (WW-1121)""",,1642,1,https://comfy.ua/catalog/product/view/id/3037543,2299,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
1031702720,,,,,1864573,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF05PKEU,,6199,1,https://comfy.ua/catalog/product/view/id/3038043,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1032001731,6805900,JBL,Гарнитура JBL TUNE 760NC Black (JBLT760NCBLK),2799,1864607,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники повнорозмірні бездротові JBL Tune 760NC Black (JBLT760NCBLK),,2799,1,https://comfy.ua/garnitura-besprovodnaja-jbl-760nc-black-jblt760ncblk.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1032131884,,,,,1864566,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Baseus,baseus,Автотримач з бездротовою зарядкою Baseus Big Energy MagSafe 15W Black (WXJN-01),,1499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-baseus-big-energy-magsafe-15w-black-wxjn-01.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1032184042,,,,,.1859089,Техника для кухни >> Крупная техника,artel,Витяжка декоративна ARTEL ART 0760 PRIMA Brown,,3675,1,https://comfy.ua/vytjazhka-dekorativnaja-artel-art-0760-prima-brown.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1032184043,,,,,.1859090,Техника для кухни >> Крупная техника,artel,Витяжка декоративна ARTEL ART 0760 PRIMA White,,3635,1,https://comfy.ua/vytjazhka-dekorativnaja-artel-art-0760-prima-white.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1032188223,6769876,RAZER,Мышь RAZER DeathAdder Essential (RZ01-03850200-R3M1),1399,1859745,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Razer",razer,Миша дротова ігрова Razer Death Adder Essential White (RZ01-03850200-R3M1),,1399,1,https://comfy.ua/mysh-provodnaja-igrovaja-razer-death-adder-essential-white-rz01-03850200-r3m1.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1032282040,,,,,1865590,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Ebulobo,ebulobo,М'яка іграшка Ebulobo Вовк 27 см (E10009),,675,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-ebulobo-volk-27-sm-e10009.html,,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1032282150,,,,,1865218,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Тигреня 25 см (150455A),,895,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-tigrenok-25-sm-150455a.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
1032282211,,,,,1865362,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Ведмідь коричневий 25 см (200815C),,859,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-medved-korichnevyj-25-sm-200815c.html,,06.11.2025 1:04,,"вул. Соборна, 42",Фастів,0
1032282287,,,,,1864576,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05CREU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05creu.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1032282299,,,,,.1865592,Детские товары >> Игрушки,ebulobo,М'яка іграшка кукла Ebulobo Червоний капелюшок 40 см (E10024),,1449,1,https://comfy.ua/mjagkaja-igrushka-kukla-ebulobo-krasnaja-shapochka-40-sm-e10024.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
1032282300,,,,,1865365,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Ананас 12 см (200912J),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-ananas-12-sm-200912j.html,419,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
1032282326,,,,,1865345,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка глазастик Aurora ECO Морский котик 30 см (200039A),,699,1,https://comfy.ua/mjagkaja-igrushka-glazastik-aurora-eco-morskoj-kotik-30-sm-200039a.html,979,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
1032282328,,,,,1864570,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05PBEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05pbeu.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1032282340,,,,,.1865491,Детские товары >> Игрушки для малышей,toy-state,Іграшка для ванної Toy State Лебідь White (90052),,449,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-papillon-lebed-white-90052.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1032282344,,,,,1864573,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05PKEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05pkeu.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1032282369,,,,,1865374,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora ECO Дельфін 38 см (200207F),,699,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-eco-del-fin-38-sm-200207f.html,979,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032282406,,,,,1865337,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Лисиця 15 см (190261J),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-lisa-15-sm-190261j.html,399,06.11.2025 1:14,,"вул. Соборна, 42",Фастів,0
1032282407,,,,,1864569,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Smeg,smeg,Електричний чайник Smeg KLF05BLEU,,6199,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf05bleu.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1032282418,,,,,1865204,"Аудио, фото и видео >> Акустика",grunhelm,Портативна акустика Grunhelm GW-481M-BL,,5609,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-481m-bl.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1032282449,,,,,.1865492,Детские товары >> Игрушки для малышей,toy-state,Іграшка для ванної Toy State Лебідь Pink (90053),,449,1,https://comfy.ua/bazovaja-igrushka-dlja-vannoj-papillon-lebed-pink-90053.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1032282463,,,,,1865591,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Ebulobo,ebulobo,Ляльковий театр Ebulobo Вовк 20 см (E10016),,799,1,https://comfy.ua/kukol-nyj-teatr-perchatka-ebulobo-volk-20-sm-e10016.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1032282588,,,,,1865203,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Grunhelm",grunhelm,Портативна акустика Grunhelm GW-321-BL,,2739,1,https://comfy.ua/portativnaja-akustika-grunhelm-gw-321-bl.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1032282710,,,,,1865361,Comfy KIDS >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Aurora,aurora,М'яка іграшка Aurora Palm Pals Ведмежа 15 см (200216N),,299,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-aurora-palm-pals-medvezhonok-15-sm-200216n.html,399,06.11.2025 0:57,,"вул. Соборна, 42",Фастів,0
