1033038835,6756775,hp,__hp_smart_tank_670_wifi_white_6uu48a,15799,1863451,__________________hp,hp,___hp_smart_tank_670_wifi_6uu48a,column,15799,1,httpscomfyuamfucvetnojpechatihpsmarttank670wifi6uu48ahtml,column,05112025_1740,column,__42,Фастів,0
1033038835,6756775,HP,МФУ струйное HP Smart Tank 670 Wi-Fi White (6UU48A),15799,1863451,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП кольорового друку HP Smart Tank 670 Wi-Fi (6UU48A),,15799,1,https://comfy.ua/mfu-cvetnoj-pechati-hp-smart-tank-670-wi-fi-6uu48a.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1033038836,6756776,HP,МФУ струйное HP Smart Tank 720 с Wi-Fi (6UU46A),16089,1863452,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП кольорового друку HP Smart Tank 720 Wi-Fi (6UU46A),,16089,1,https://comfy.ua/mfu-cvetnoj-pechati-hp-smart-tank-720-wi-fi-6uu46a.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1033038837,6756767,HP,МФУ струйное HP Smart Tank 750 Wi-Fi (6UU47A),18149,1863453,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП кольорового друку HP Smart Tank 750 Wi-Fi (6UU47A),,18149,1,https://comfy.ua/mfu-cvetnoj-pechati-hp-smart-tank-750-wi-fi-6uu47a.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1033044908,6766617,EUROPOWER,ИБП EUROPOWER RTSWm-MPPT-1000LCD,13979,1861849,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Europower",europower,Джерело безперебійного живлення Europower RTSWm-MPPT-1000LCD,,11120,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-europower-rtswm-mppt-1000lcd.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1033244685,,,,,1861319,Техника для дома >> Климатическая техника,toshiba,Кондиціонер спліт Toshiba RAS-10J2KVSG-UA/RAS-10J2AVSG-UA,,39999,1,https://comfy.ua/kondicioner-split-toshiba-ras-10j2kvsg-ua-ras-10j2avsg-ua.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1033246572,,,,,1861320,Техника для дома >> Климатическая техника,toshiba,Кондиціонер спліт Toshiba RAS-18J2KVSG-UA/RAS-18J2AVSG-UA,,62999,1,https://comfy.ua/kondicioner-split-toshiba-ras-18j2kvsg-ua-ras-18j2avsg-ua.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1033467878,6794192,VENTOLUX,Варочная поверхность VENTOLUX HI 64 TC,6399,1850461,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HI 64 TC,,6399,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hi-64-tc.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1033467887,6794188,VENTOLUX,Варочная поверхность VENTOLUX HI 32 TC (2059765961543),4299,1850459,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HI 32 TC,,4299,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hi-32-tc.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1033468074,6794193,VENTOLUX,Варочная поверхность VENTOLUX HI 64 TC FBS,6599,1850457,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HI 64 TC FBS,,6599,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hi-64-tc-fbs.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1033706044,6749608,GRUNHELM,Весы напольные GRUNHELM BES-GRA10,299,1863131,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES-GRA10,,339,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-gra10.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
