1034571157,column,column,column,column,1866974,Детские товары >> Игрушки для малышей,toystate,___toy_state___90013,column,669,1,httpscomfyuainteraktivnajaigrushkaplastikovajatoystatelesnyedruzja90013html,column,05112025_2006,column,__42,Фастів,0
1034571157,,,,,.1866974,Детские товары >> Игрушки для малышей,toy-state,Інтерактивна іграшка пластикова Toy State Лісові друзі (90013),,669,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-toy-state-lesnye-druz-ja-90013.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1034572210,,,,,1867270,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Wizarding World,wizarding-world,Настільна гра (12+) WizWorld Ніффлер (39895),,499,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-12-wizworld-niffler-39895.html,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
1034577596,,,,,1867242,Comfy KIDS >> Детский транспорт >> Самокаты >> Самокаты GO Travel,go-travel,Триколісний самокат GO Travel LS308PP,,1709,1,https://comfy.ua/trjohkoljosnyj-samokat-go-travel-ls308pp.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1034577792,,,,,1867271,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Wizarding World,wizarding-world,Набір ігрових фігурок WizWorld Гаррі Поттер. Арена для Квіддіча (49992),,399,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-12-wizworld-garri-potter-stadion-dlja-kviddicha-49992.html,559,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
1034579324,,,,,1867272,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Wizarding World,wizarding-world,Набір ігрових фігурок Wizarding World Гаррі Поттер. Алея Діагон (49997),,499,1,https://comfy.ua/nastol-naja-igra-razvlekatel-naja-12-wizworld-garri-potter-alleja-pereulke-49997.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
1034685580,,,,,1854507,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Vertux",vertux,Мікрофон до комп'ютера Vertux Marshal.black,,999,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-vertux-marshal-black.html,3299,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1034793487,,,,,1865758,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Vertux",vertux,Гарнітура дротова ігрова Vertux Tokyo.Black,,799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-vertux-tokyo-black.html,999,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1034793489,6673159,PROMATE,Гарнитура Promate Engage Black (engage.black),1799,1865768,"Аудио, фото и видео >> Наушники >> Наушники Promate",promate,Гарнітура бездротова Promate Engage.Black,,1799,1,https://comfy.ua/garnitura-besprovodnaja-promate-engage-black.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1034793520,,,,,1865753,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Vertux",vertux,Гарнітура дротова ігрова Vertux Bogota.Black,,899,1,https://comfy.ua/garnitura-provodnaja-igrovaja-vertux-bogota-black.html,1699,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1034797833,,,,,1852131,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Kenwood,kenwood,Насадка для кухонних машин Kenwood KAX71.000WH,,3999,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-kenwood-kax71-000wh.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1035930881,,,,,1867438,Техника для кухни >> Крупная техника,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 23924 HS,,4099,1,https://comfy.ua/catalog/product/view/id/3063333,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1035933687,6737767,TEFAL,Мясорубка TEFAL HV1 7in1 (NE108831),3699,1852358,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Tefal,tefal,М'ясорубка Tefal NE108831,,3699,1,https://comfy.ua/mjasorubka-tefal-ne108831.html,4899,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1035942927,,,,,1867440,Техника для дома >> Мелкая техника,prime-technics,Праска Prime Technics PTI 3078 FK,,1489,1,https://comfy.ua/catalog/product/view/id/3063413,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1035950084,,,,,1867838,Детские товары >> Прогулки и поездки,maxi-cosi,Адаптер для коляски Maxi-Cosi Leona (8493057110),,1080,1,https://comfy.ua/catalog/product/view/id/3063523,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1036034698,,,,,1858850,Посуда >> Для напитков,tavialo,Термопляшка Tavialo 750 мл Black (191750101),,419,1,https://comfy.ua/termobutylka-tavialo-750-ml-black-191750101.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1036070120,,,,,1724765,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",lacie,Жорсткий диск зовнішній LaCie External Rugged RAID Shuttle (STHT8000800),,23799,1,https://comfy.ua/zhestkij-disk-vneshnij-lacie-external-rugged-raid-shuttle-stht8000800.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1036118372,,,,,.1854920,Посуда >> Для запекания и выпечки,coolinar,Форма для приготування Coolinar 33.0х20.0х6.3 см 1.8 л (96112),,499,1,https://comfy.ua/forma-dlja-prigotovlenija-coolinar-33-0h20-0h6-3-sm-1-8-l-96112.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
