1038058652,column,column,column,column,1866093,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,_arkade___black_850002584080,column,199,1,httpscomfyuacatalogproductviewid3056723,column,05112025_1831,column,__42,Фастів,0
1038058652,,,,,1866093,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade з футляром Black (850002584080),,199,1,https://comfy.ua/catalog/product/view/id/3056723,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1038058653,,,,,1866092,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade з футляром Black (850002584073),,114,1,https://comfy.ua/catalog/product/view/id/3056753,159,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1038058654,,,,,1866091,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade Battle Clips Black (850002584066),,249,1,https://comfy.ua/catalog/product/view/id/3056793,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1038058655,,,,,1866090,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,arkade,Геймпад Arkade Battle Pack з футляром Black (850002584059),,299,1,https://comfy.ua/catalog/product/view/id/3056823,419,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1038096009,6812139,COOPER&HUNTER,Увлажнитель воздуха COOPER&HUNTER GRENADA СH-2550T,2499,1869071,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Cooper&Hunter,cooperhunter,Зволожувач повітря Cooper&Hunter СH-2550T,,2499,1,https://comfy.ua/uvlazhnitel-vozduha-cooper-hunter-sh-2550t.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1038129001,,,,,1869086,Посуда >> Для приготовления,smeg,Кришка для посуду Smeg CKFL2601,,2500,1,https://comfy.ua/kryshka-dlja-posudy-smeg-ckfl2601.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1038136894,,,,,.1868941,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,"""SSD-накопичувач внутрішній Verbatim 2.5"""" 128GB (49350)""",,649,1,https://comfy.ua/ssd-nakopitel-vnutrennij-verbatim-2-5-128gb-49350.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1038167689,6894982,RYOBI,Минимойка RYOBI RY18PW22A-0 (5133004570),5683,1868712,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Ryobi,ryobi,Мінімийка Ryobi RY18PW22A-0,,5683,1,https://comfy.ua/minimojka-ryobi-ry18pw22a-0.html,6999,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1038180196,6788477,EMOS,Фонарь прожектор Emos P4533,2045,1854577,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари EMOS",emos,"Ліхтар EMOS LED P4533 10W 1000Lm Li-Ion, прожектор.пласт.",,2199,1,https://comfy.ua/fonar-emos-p4533.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1038184468,,,,,1869316,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Зарядний пристрій для ноутбука PowerPlant LG 220V 19V 25W 1.3A (LG25F6544),,549,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-powerplant-lg-220v-19v-25w-1-3a-lg25f6544.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1038184938,7056086,HUOHOU,Умный штопор HUOHOU Electric Wine Opener M Blue (HU0122),1499,1838111,Посуда >> Кухонные аксессуары,xiaomi,Штопор Xiaomi HuoHou Electric Wine Bottle Opener Blue HU0122,,1499,1,https://comfy.ua/shtopor-xiaomi-huohou-electric-wine-bottle-opener-blue-hu0122.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1038185392,6714495,KINGSTON,SSD накопитель KINGSTON 512GB KC600 mSATA SATAIII 3D TLC (SKC600MS/512G),2819,1868928,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Kingston",kingston,SSD-накопичувач внутрішній Kingston mSATA 512GB (SKC600MS/512G),,2819,1,https://comfy.ua/ssd-nakopitel-vnutrennij-kingston-msata-512gb-skc600ms-512g.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1038185400,6710853,TRANSCEND,SSD накопитель TRANSCEND MTE240S 500GB PCIe 4.0 x4 M.2 TLC (TS500GMTE240S),4000,1868938,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Transcend",transcend,SSD-накопичувач внутрішній Transcend M.2 2280 500GB (TS500GMTE240S),,2759,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-m-2-2280-500gb-ts500gmte240s.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1038185495,6789453,ARDESTO,Набор посуды ARDESTO Gemini Gourmet Andria 10 пр (AR1910GPS),3109,1868716,Посуда >> Для приготовления,ardesto,Набір посуду Ardesto 10 пред. (AR1910GPS),,1999,1,https://comfy.ua/nabor-posudy-ardesto-10-pred-ar1910gps.html,3109,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,2
1038186321,,,,,.1859872,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH2х50 мм 10 шт. (2712704),,199,1,https://comfy.ua/nabor-bit-dlja-otvertki-haisser-ph2h50-mm-10-sht-2712704.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1038187231,6738276,PANASONIC,Хлебопечка PANASONIC SD-R2530KTS,7579,1868689,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Panasonic,panasonic,Хлібопічка Panasonic SD-R2530KTS,,7499,1,https://comfy.ua/hlebopech-panasonic-sd-r2530kts.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1038191047,,,,,1868719,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Ножиці акумуляторні для газону Ryobi ONE+ RY18HT55A-0,,5399,1,https://comfy.ua/nozhnicy-akkumuljatornye-dlja-gazona-ryobi-one-ry18ht55a-0.html,5599,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1038191049,6895026,RYOBI,Сучкорез аккумуляторный RYOBI ONE+ RY18PLA-0 (5133004575),9499,1868717,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Ryobi,ryobi,Ножиці акумуляторні для газону Ryobi ONE+ RY18PLA-0,,9499,1,https://comfy.ua/nozhnicy-akkumuljatornye-dlja-gazona-ryobi-one-ry18pla-0.html,10699,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
