1039086710,column,column,column,column,1861635,_________________armorstandart,armorstandart,____armorstandart_icon_3d_for_apple_iphone_13_pro1314_black_arm60001,column,549,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticon3dforappleiphone13pro13blackarm60001html,column,05112025_1738,column,__42,Фастів,0
1039086710,,,,,1861635,Смартфоны и телефоны >> Аксессуары для смартфонов >> Защитные пленки и стекла >> Защитные пленки и стекла Armorstandart,armorstandart,Захисне скло для смартфона Armorstandart Icon 3D for Apple iPhone 13 Pro/13/14 Black (ARM60001),,549,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-3d-for-apple-iphone-13-pro-13-black-arm60001.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1039391605,,,,,1867817,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Baby Design,baby-design,Коляска прогулянкова Baby Design Design LOOK AIR 2020 07 GRAY (202612),,10320,1,https://comfy.ua/koljaska-progulochnaja-baby-design-look-air-2020-07-gray-202612.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1039392184,,,,,.1868537,Детские товары >> Прогулки и поездки,peg-perego,Шасі для коляски Peg-Perego Book Plus 51 White-Black,,5749,1,https://comfy.ua/shassi-dlja-koljaski-peg-perego-book-plus-51-white-black.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1039394177,,,,,.1868538,Детские товары >> Прогулки и поездки,peg-perego,Шасі для коляски Peg-Perego Team Black,,5997,1,https://comfy.ua/shassi-dlja-koljaski-peg-perego-team-black.html,7539,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1039394530,7047799,LINDO,Помада защитная LINDO Детская 6+ мес 4.5 г Бабл Гам (U 771),45,1869337,"Детские товары >> Уход, купание и гигиена",lindo,"Бальзам для губ від негоди дитячий Lindo бабл гам 4,5г  (U 771)",,75,1,https://comfy.ua/bal-zam-dlja-gub-ot-nepogody-detskij-lindo-babl-gam-4-5g-u-771.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1039394881,6749601,GRUNHELM,Микроволновая печь GRUNHELM 20MX708-B,1999,1863147,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 20MX708-B Black,,2389,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-20mx708-b-black.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1039394926,,,,,.1869309,Детские товары >> Игрушки,ebulobo,М'яка іграшка Ebulobo Корівка Лулу (E30011),,1265,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-ebulobo-korovka-lulu-e30011.html,,06.11.2025 1:03,,"вул. Соборна, 42",Фастів,0
1039396173,,,,,.1869120,Детские товары >> Детская комната и безопасность,hauck,Блокіратор для дверей HAUCK Close Me 1,,299,1,https://comfy.ua/blokirator-dlja-dveri-hauck-close-me-1.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1039396540,,,,,.1869118,Детские товары >> Прогулки и поездки,hauck,Москітна сітка для коляски HAUCK Protect Me універсальна,,420,1,https://comfy.ua/moskitnaja-setka-dlja-koljaski-hauck-protect-me-universal-naja.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1039397515,6749600,GRUNHELM,Микроволновая печь GRUNHELM 20MX708-W,1999,1863146,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 20MX708-W White,,2389,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-20mx708-w-white.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1039397542,,,,,1869307,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Ebulobo,ebulobo,М'яка іграшка Ebulobo Слон 20 см (E80004),,1099,1,https://comfy.ua/mjagkaja-igrushka-zhivotnoe-ebulobo-slon-20-sm-e80004.html,,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1039397832,,,,,.1869303,Детские товары >> Кормление,ebulobo,Прорізувач Ebulobo Вовк 34 см (E10070),,665,1,https://comfy.ua/prorezyvatel-ebulobo-volk-34-sm-e10070.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1039397904,,,,,1869304,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Ebulobo,ebulobo,Книжка-іграшка Ebulobo Вдягни вовка 15 см (E10043),,799,1,https://comfy.ua/knizhka-igrushka-ebulobo-oden-volka-15-sm-e10043.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1039403615,,,,,1869173,"Comfy KIDS >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Lionelo",lionelo,Електричний молоковідсмоктувач Lionelo Fidi Go,,2279,1,https://comfy.ua/jelektricheskij-molokootsos-lionelo-fidi-go.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1039406084,,,,,1869174,"Comfy KIDS >> Кормление >> Молокоотсосы, системы SNS и емкости для хранения >> Молокоотсосы, системы SNS и емкости для хранения Lionelo",lionelo,Електричний молоковідсмоктувач Lionelo Twee Go,,3069,1,https://comfy.ua/jelektricheskij-molokootsos-lionelo-twee-go.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1039417365,,,,,1869177,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Zoey Green Forest,,7299,1,https://comfy.ua/koljaska-progulochnaja-lionelo-zoey-green-forest.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1039423731,6740918,SAMSUNG,Наушники SAMSUNG 3.5mm Earphones Black (EO-IA500BBEGRU),319,1858478,"Аудио, фото и видео >> Наушники >> Наушники Samsung",samsung,Навушники вкладиші дротові Samsung 3.5mm Earphones EO-IA500 Black (EO-IA500BBEGRU),,319,1,https://comfy.ua/naushniki-vkladyshi-provodnye-samsung-3-5mm-earphones-eo-ia500-black-eo-ia500bbegru.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1040874241,6797126,HP,Мышь HP 150 Wireless (2S9L1AA),499,1868607,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные HP",hp,Миша бездротова HP 150 Wireless (2S9L1AA),,499,1,https://comfy.ua/mysh-besprovodnaja-hp-150-wireless-2s9l1aa.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1040944741,6789424,ARDESTO,Френч-пресс ARDESTO Fresh 800 мл (AR1108PFM),389,1865983,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Fresh 800 мл Grey (AR1108PFM),,389,1,https://comfy.ua/french-press-ardesto-fresh-800-ml-grey-ar1108pfm.html,519,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1041190675,6809560,GORENJE,Масляный обогреватель GORENJE OR2000E (739035),3399,1869738,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Gorenje,gorenje,Обігрівач масляний Gorenje OR2000E,,3399,1,https://comfy.ua/obogrevatel-masljanyj-gorenje-or2000e.html,5049,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1041235581,,,,,1867816,Детские товары >> Прогулки и поездки,baby-design,Коляска прогулянкова Baby Design Design LOOK AIR 2020 27 LIGHT GRAY (202636),,10320,1,https://comfy.ua/catalog/product/view/id/3100323,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1041258578,,,,,.1869104,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for Samsung Galaxy S20 FE SM-G780 Transparent (ARM59884),,119,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-samsung-galaxy-s20-fe-sm-g780-transparent-arm59884.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1041258589,,,,,.1869110,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for ZTE Blade V2020 Smart Transparent (ARM57566),,105,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-zte-blade-v2020-smart-transparent-arm57566.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1041296772,6789427,ARDESTO,Френч-пресс ARDESTO Gemini Asti 800 мл (AR1908AFP),422,1865988,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Френч-прес Ardesto Asti 800 мл (AR1908AFP),,509,1,https://comfy.ua/french-press-ardesto-asti-800-ml-ar1908afp.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1041297885,,,,,1869281,Детские товары >> Игрушки,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit LIGHTING DASH (20630)""",,1199,1,https://comfy.ua/catalog/product/view/id/3101223,2239,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1041312329,,,,,1869125,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Мережевий зарядний пристрій Armorstandart ARM59714,,219,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-armorstandart-arm59714.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1041320709,,,,,1869133,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Armorstandart",armorstandart,"Кабель синхронізації даних Armorstandart AR16 USB - Type-C, 3А, 1 m White (ARM59533)",,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-armorstandart-ar16-usb-type-c-3a-1-m-white-arm59533.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1041332532,,,,,.1869122,Детские товары >> Детская комната и безопасность,hauck,Блокіратор для дверей HAUCK Close Me 3,,179,1,https://comfy.ua/blokirator-dlja-dveri-hauck-close-me-3.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1041347899,,,,,1868737,Детские товары >> Кормление,baby-design,Стільчик для годування класичний Baby Design PEPE NEW 05 TURQUOISE,,6240,1,https://comfy.ua/catalog/product/view/id/3101333,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1041362419,,,,,1869280,Детские товары >> Игрушки,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit XMOKE (20628)""",,1650,1,https://comfy.ua/catalog/product/view/id/3101263,3010,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1041398253,,,,,1869016,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",dogrular,Прасувальна дошка Dogrular TOMRIS з розеткою і підрук.120 x 40 см,,2149,1,https://comfy.ua/gladil-naja-doska-dogrular-tomris-s-rozetkoj-i-podruk-120-x-40-sm.html,2399,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,1
1041489977,,,,,1871630,Игровые консоли и гейминг >> Аксессуары для игровых консолей,playstation,Гарнітура для консолі PlayStation Pulse 3D Wireless Headset Black,,4999,1,https://comfy.ua/catalog/product/view/id/3100993,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1041529824,,,,,1869281,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit LIGHTING DASH (20630)""",,1199,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-silverlit-lighting-dash-20630.html,2239,06.11.2025 0:05,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1041529946,,,,,1868737,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Baby Design,baby-design,Стільчик для годування класичний Baby Design PEPE NEW 05 TURQUOISE,,6240,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-baby-design-pepe-new-05-turquoise.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1041543209,,,,,.1871634,Детские товары >> Игрушки,jazwares,Колекційна фігурка Jazwares Fortnite Joy Ride Vehicle Whiplash (FNT0815),,1169,1,https://comfy.ua/kollekcionnaja-figurka-jazwares-fortnite-joy-ride-vehicle-whiplash-fnt0815.html,1679,06.11.2025 1:28,,"вул. Соборна, 42",Фастів,0
1041544396,,,,,1867816,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Baby Design,baby-design,Коляска прогулянкова Baby Design Design LOOK AIR 2020 27 LIGHT GRAY (202636),,10320,1,https://comfy.ua/koljaska-progulochnaja-baby-design-look-air-2020-27-light-gray-202636.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
1041544963,,,,,1869280,Детские товары >> Игрушки >> Радиоуправляемые игрушки >> Радиоуправляемые игрушки Silverlit,silverlit,"""Радіокерована машинка",,,,,,,,,,
"Silverlit XMOKE (20628)""",,1650,1,https://comfy.ua/radioupravljaemaja-mashinka-1-14-silverlit-xmoke-20628.html,3010,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0,,,,,,,,
