1042221821,column,column,column,column,1872126,Детские товары >> Игрушки,spidey,__spidey_little_plush_miles_morales___snf0004,column,579,1,httpscomfyuacatalogproductviewid3118073,column,06112025_104,column,__42,Фастів,0
1042221821,,,,,1872126,Детские товары >> Игрушки,spidey,М'яка іграшка Spidey Little Plush Miles Morales Майлз Моралес (SNF0004),,579,1,https://comfy.ua/catalog/product/view/id/3118073,,06.11.2025 1:04,,"вул. Соборна, 42",Фастів,0
1042223016,,,,,1872064,Детские товары >> Игрушки,cocomelon,Інтерактивний транспорт CoComelon Feature Vehicle Жовтий Шкільний Автобус зі звуком (CMW0015),,1009,1,https://comfy.ua/catalog/product/view/id/3117613,,05.11.2025 23:47,,"вул. Соборна, 42",Фастів,0
1042255085,7019313,SHIVAKI,Вытяжка SHIVAKI ART 0760 PR INOX,3799,1867107,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ARTEL,artel,Витяжка декоративна ARTEL ART 0760 PRIMA Inox,,3799,1,https://comfy.ua/vytjazhka-dekorativnaja-artel-art-0760-prima-inox.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1042259614,,,,,978149,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода універсальна de Buyer 5110.20,,1874,1,https://comfy.ua/skovoroda-universal-naja-de-buyer-5110-20.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1042259628,7088153,DE BUYER,Сковорода DE BUYER Choc Extreme 28 см Black (8300.28),7969,1071006,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода універсальна de Buyer 28 см 8300.28,,7969,1,https://comfy.ua/skovoroda-universal-naja-de-buyer-28-sm-8300-28.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1042288586,,,,,1872243,Техника для кухни >> Крупная техника,beko,Духова шафа електрична Beko BBIE13100XC,,10499,1,https://comfy.ua/catalog/product/view/id/3119033,10999,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1042297255,,,,,.1871182,Техника для кухни >> Крупная техника,whirlpool,Витяжка вбудована Whirlpool AKR7491IX,,6799,1,https://comfy.ua/vytjazhka-vstraivaemaja-whirlpool-akr7491ix.html,7999,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1042297950,,,,,1871184,Техника для кухни >> Крупная техника,whirlpool,Витяжка вбудована Whirlpool AKR750GK,,5499,1,https://comfy.ua/vytjazhka-vstraivaemaja-whirlpool-akr750gk.html,8399,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1042299542,,,,,.1870518,Смартфоны и телефоны >> Аксессуары для смартфонов,griffin,Чохол для смартфону Griffin Survivor Strong for Apple iPhone 13 Clear (GIP-069-CLR),,349,1,https://comfy.ua/chehol-dlja-smartfona-griffin-survivor-strong-for-apple-iphone-13-clear-gip-069-clr.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1042299557,,,,,.1870505,Смартфоны и телефоны >> Аксессуары для смартфонов,incipio,Чохол для смартфону Incipio Design Series for Apple iPhone 13 Sunset (IPH-1957-SNST),,349,1,https://comfy.ua/chehol-dlja-smartfona-incipio-design-series-for-apple-iphone-13-sunset-iph-1957-snst.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1042311059,7088288,JOSEPH JOSEPH,Набор ножей JOSEPH JOSEPH Elevate Carousel 6 пр (10541),4999,1869315,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Joseph Joseph,joseph-joseph,Набір ножів Joseph Joseph 6 пр. 10541,,6665,1,https://comfy.ua/nabor-nozhej-joseph-joseph-6-pr-10541.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1042314754,7088201,DE BUYER,Ковш DE BUYER Affinity 1.8 л (3706.16),8087,1071325,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 16 см 3706.16,,8087,1,https://comfy.ua/kovsh-de-buyer-16-sm-3706-16.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1042314755,7088202,DE BUYER,Ковш DE BUYER Affinity 2.5 л (3706.18),9124,1071326,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 18 см 3706.18,,9124,1,https://comfy.ua/kovsh-de-buyer-18-sm-3706-18.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1042314756,,,,,1071321,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 16 см 6206.16,,25460,1,https://comfy.ua/kovsh-de-buyer-16-sm-6206-16.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
1042316812,,,,,1871814,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gunter&Hauer,gunterhauer,Витяжка декоративна Gunter & Hauer LEONA 9,,9999,1,https://comfy.ua/vytjazhka-dekorativnaja-gunter-hauer-leona-9.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1042367880,6855107,SPIDEY,Мягкая игрушка Marvel Spidey Little Plush Паук приведение (SNF0003),447,1872125,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Spidey,spidey,М'яка іграшка Spidey Little Plush Ghost Spider Привид-павук (SNF0003),,399,1,https://comfy.ua/mjagkaja-igrushka-geroj-spidey-little-plush-ghost-spider-prizrak-pauk-snf0003.html,579,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
1042368392,,,,,1872063,Красота и здоровье >> Уход за полостью рта,philips,Зубна щітка електрична Philips HX6807/63,,2999,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-hx6807-63.html,4299,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1042369087,,,,,1872124,Детские товары >> Игрушки >> Мягкие игрушки >> Мягкие игрушки Spidey,spidey,М'яка іграшка Spidey Little Plush (SNF0002),,579,1,https://comfy.ua/mjagkaja-igrushka-geroj-spidey-little-plush-snf0002.html,,06.11.2025 0:58,,"вул. Соборна, 42",Фастів,0
