1054777172,column,column,column,column,1871306,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i7_12700kf_rtx_3060_12gb_6441_i712700kfrtx306012gb6441,column,62665,1,httpscomfyuasistemnyjblokqubeqbi712700kfrtx306012gb6441i712700kfrtx306012gb6441html,72029,05112025_2133,column,__42,Фастів,0
1054777172,,,,,.1871306,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 6441 (i712700KFRTX306012GB6441),,62665,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-6441-i712700kfrtx306012gb6441.html,72029,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1054777173,,,,,.1871307,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i7 12700KF RTX 3060 12GB 6442 (i712700KFRTX306012GB6442),,62923,1,https://comfy.ua/sistemnyj-blok-qube-qb-i7-12700kf-rtx-3060-12gb-6442-i712700kfrtx306012gb6442.html,72325,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
1054777963,,,,,.1872583,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 82 (Athlon3000GGT10302GB82),,12936,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-82-athlon3000ggt10302gb82.html,14869,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1054778011,,,,,.1872581,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 81 (Athlon3000GGT10302GB81),,15021,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-81-athlon3000ggt10302gb81.html,17265,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1054778014,,,,,.1872603,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 84 (Athlon3000GGT10302GB84),,13629,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-84-athlon3000ggt10302gb84.html,15665,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1054778015,,,,,.1872602,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 162 (Athlon3000GGT10302GB162),,14107,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-162-athlon3000ggt10302gb162.html,16215,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1054778585,,,,,.1872582,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 811 (Athlon3000GGT10302GB811),,15711,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-811-athlon3000ggt10302gb811.html,18059,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1054778586,,,,,.1872599,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 161 (Athlon3000GGT10302GB161),,16186,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-161-athlon3000ggt10302gb161.html,18605,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1054778590,,,,,.1872584,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 821 (Athlon3000GGT10302GB821),,15969,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-821-athlon3000ggt10302gb821.html,18355,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1054778591,,,,,.1872580,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Athlon 3000G GT 1030 2GB 164 (Athlon3000GGT10302GB164),,15021,1,https://comfy.ua/sistemnyj-blok-qube-qb-athlon-3000g-gt-1030-2gb-164-athlon3000ggt10302gb164.html,17265,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
