1058483284,6785739,eleyus,_eleyus_breeze_1000_50_wh,4939,1884737,__________eleyus,eleyus,__eleyus_breeze_1000_50_wh,column,4939,1,httpscomfyuavytjazhkavstraivaemajaeleyusbreeze100050whhtml,column,05112025_2110,column,__42,Фастів,0
1058483284,6785739,ELEYUS,Вытяжка ELEYUS BREEZE 1000 50 WH,4939,1884737,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1000 50 WH,,4939,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1000-50-wh.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1058483285,6785740,ELEYUS,Вытяжка ELEYUS BREEZE 1000 60 BG,4939,1884738,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1000 60 BG,,4939,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1000-60-bg.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1058483286,6785741,ELEYUS,Вытяжка ELEYUS BREEZE 1000 60 BL,4299,1884739,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1000 60 BL,,4299,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1000-60-bl.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1058485365,6785746,ELEYUS,Вытяжка ELEYUS BREEZE 1200 60 WH,5469,1884744,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1200 60 WH,,5469,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1200-60-wh.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1058485366,,,,,1884742,Техника для кухни >> Крупная техника,eleyus,Витяжка вбудована ELEYUS BREEZE 1200 60 BL,,5469,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1200-60-bl.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1058486627,,,,,1884741,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 1200 60 BG,,5469,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-1200-60-bg.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
1060100419,,,,,1880446,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Kinderkraft,kinderkraft,Коляска прогулянкова Kinderkraft Grande LX Burgundy (KKWGRANBRG00LX),,9080,1,https://comfy.ua/koljaska-progulochnaja-kinderkraft-grande-lx-burgundy-kkwgranbrg00lx.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1060101008,,,,,1883627,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Maxi-Cosi,maxi-cosi,Платформа для автокрісел Maxi-Cosi FamilyFix 360,,11820,1,https://comfy.ua/platforma-dlja-avtokresel-maxi-cosi-familyfix-360.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1060101683,,,,,.1883519,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна 4+ Blue/Grey,,780,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-4-blue-grey.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
1060105291,,,,,.1883520,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконові ергономічні 4+ Pink/Grey,,780,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-4-pink-grey.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1060108856,,,,,.1883828,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up Urban Denim Синій Джинс (IS03300062JN41TX73),,7549,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-urban-denim-sinij-dzhins-is03300062jn41tx73.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1060110567,6667904,SENCOR,Электрочайник SENCOR SWK 1592BK,3555,1889694,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 1592BK,,3555,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-1592bk.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1060114124,,,,,.1889695,Техника для кухни >> Мелкая техника,sencor,Електричний чайник Sencor SWK2300BK,,879,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk2300bk.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1060120570,,,,,.1883838,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up PR31-DX31 Насичено Синій (ISPV300062PR31DX31),,2998,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-pr31-dx31-nasyschenno-sinij-ispv300062pr31dx31.html,3769,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1060123110,6721934,HANSA,Плита комбинированная HANSA FCMM69329,21499,1863490,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMM69329,,21499,1,https://comfy.ua/plita-gazovaja-hansa-fcmm69329.html,22849,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1060124330,6809916,VILGRAND,Пылесос VILGRAND VVC2057,3105,1882596,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ViLgrand,vilgrand,Пилосос для сухого прибирання з мішком ViLgrand VVC-2057,,3225,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-vilgrand-vvc-2057.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1060125213,,,,,1883518,"Детские товары >> Уход, купание и гигиена >> Принадлежности для купания >> Принадлежности для купания Beaba",beaba,Термометр для ванни Beaba Лотос Pink (920377),,1199,1,https://comfy.ua/termometr-dlja-vanny-beaba-lotos-pink-920377.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1060125375,,,,,1883517,"Детские товары >> Уход, купание и гигиена >> Принадлежности для купания >> Принадлежности для купания Beaba",beaba,Термометр для ванни Beaba Лотос Green (920376),,1199,1,https://comfy.ua/termometr-dlja-vanny-beaba-lotos-green-920376.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1060126713,,,,,1880793,Техника для дома >> Мелкая техника,sencor,Праска дорожня Sencor SSI 1050GR,,799,1,https://comfy.ua/utjug-dorozhnyj-sencor-ssi-1050gr.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,1
1060127963,,,,,.1883834,Детские товары >> Прогулки и поездки,peg-perego,Прогулянковий блок Peg-Perego Pop-Up Blue Denim Синій Джинс (ISPV300062DF51DB51),,2998,1,https://comfy.ua/progulochnyj-blok-peg-perego-pop-up-blue-denim-sinij-dzhins-ispv300062df51db51.html,3769,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1060128164,6746602,SENCOR,Блендер SENCOR SHB 4379BK (41012816),1664,1880791,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Sencor,sencor,Блендер заглибний Sencor SHB 4379BK,,1615,1,https://comfy.ua/blender-pogruzhnoj-sencor-shb-4379bk.html,1899,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1060128826,,,,,1884208,Детские товары >> Прогулки и поездки,dreambaby,Шторка сонцезахисна для автокрісла DreamBaby Insta-Cling,,660,1,https://comfy.ua/shtorka-solncezaschitnaja-dlja-avtokresla-dreambaby-insta-cling.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1060134675,6768707,PANASONIC,Микроволновая печь PANASONIC NN-C69MSZPE,9999,1868687,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Panasonic,panasonic,Мікрохвильова піч (НВЧ) Panasonic NN-C69MSZPE,,9999,1,https://comfy.ua/mikrovolnovaja-pech-svch-panasonic-nn-c69mszpe.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
