1063580156,6768903,eleyus,__eleyus_oris_30_wh_cf,4799,1884750,____________eleyus,eleyus,__domino_eleyus_oris_30_wh_cf,column,4799,1,httpscomfyuavarochnajapaneldominoeleyusoris30whcfhtml,5679,05112025_2102,column,__42,Фастів,0
1063580156,6768903,ELEYUS,Варочная поверхность ELEYUS ORIS 30 WH CF,4799,1884750,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня Domino ELEYUS ORIS 30 WH CF,,4799,1,https://comfy.ua/varochnaja-panel-domino-eleyus-oris-30-wh-cf.html,5679,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1063581443,6768893,ELEYUS,Варочная поверхность ELEYUS KORSA 30 WH CF,4999,1885121,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS KORSA 30 WH CF,,4999,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-korsa-30-wh-cf.html,5779,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1063581537,6768900,ELEYUS,Варочная поверхность ELEYUS KVINTA 70 WH CTF,9399,1885115,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS KVINTA 70 WH CTF,,9399,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-kvinta-70-wh-ctf.html,11919,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1063591724,6768899,ELEYUS,Варочная поверхность ELEYUS KVINTA 70 BL CTF,9399,1885114,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS KVINTA 70 BL CTF,,9399,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-kvinta-70-bl-ctf.html,11569,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1063598964,6768897,ELEYUS,Варочная поверхность ELEYUS LIRA 60 BL CWF,8999,.1885112,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS LIRA 60 BL CWF,,8999,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-lira-60-bl-cwf.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1063599787,6722035,MIDEA,Бойлер MIDEA D100-20ED2(D),10199,1885236,Техника для дома >> Крупная техника,midea,Водонагрівач Midea D100-20ED2(D),,9999,1,https://comfy.ua/vodonagrevatel-midea-d100-20ed2-d.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1063603282,,,,,1884805,Comfy KIDS >> Кормление >> Стульчики для кормления >> Стульчики для кормления Childhome,childhome,Стільчик для годування класичний Childhome Evolu 2 Natural/Anthracite (CHEVOCHNA),,9249,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-childhome-evolu-2-natural-anthracite-chevochna.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1063606810,6679797,TRUST,Гарнитура TRUST Primo Touch True Wireless Mic Pink (23782),699,1672855,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Навушники вкладиші бездротові TWS Trust Primo Touch True Wireless Mic Pink (23782),,699,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-trust-primo-touch-true-wireless-mic-pink-23782.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1063615297,,,,,1890588,"Детские товары >> Уход, купание и гигиена >> Аптечка для малыша >> Аптечка для малыша Beaba",beaba,Набір дитячого манікюрного приладдя Beaba Серый/Розовый (920382),,2079,1,https://comfy.ua/nabor-sredstv-all-in-1-po-uhodu-za-rebenkom-beaba-seryj-rozovyj-920382.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1063616929,6768898,ELEYUS,Варочная поверхность ELEYUS LIRA 60 BL CF,9039,.1885113,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS LIRA 60 BL CF,,9039,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-lira-60-bl-cf.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
