1072699222,7052025,grohe,_grohe_k700_31658at0,20352,1868793,____________grohe,grohe,__grohe_k700_100c_9050___31658at0,column,20355,1,httpscomfyuamojkakuhonnajagrohek700100c9050seryjgranit31658at0html,column,05112025_2031,column,__42,Фастів,0
1072699222,7052025,GROHE,Мойка GROHE K700 (31658AT0),20352,1868793,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Grohe",grohe,Мийка кухонна Grohe K700 100-C 90/50 Серый Гранит (31658AT0),,20355,1,https://comfy.ua/mojka-kuhonnaja-grohe-k700-100-c-90-50-seryj-granit-31658at0.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1072699888,,,,,1825805,"Дом, отдых и зоотовары >> Сантехника",grohe,Мийка кухонна Grohe K700 70-C 61/45.7 Чорний Граніт (31655AP0),,17135,1,https://comfy.ua/mojka-kuhonnaja-grohe-k700-70-c-61-45-7-chernyj-granit-31655ap0.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1073028487,,,,,1891004,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Apple iPhone 13 Transparancy (706982),,179,1,https://comfy.ua/catalog/product/view/id/3269993,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1073028500,,,,,1891005,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Apple iPhone 13 Pro Transparancy (706919),,179,1,https://comfy.ua/catalog/product/view/id/3270013,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1073915070,,,,,1897406,Техника для кухни >> Крупная техника,beko,Варильна поверхня газова Beko HIGG 64123 SB,,5799,1,https://comfy.ua/catalog/product/view/id/3282773,6399,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1074286242,6768644,AIRON,Гарнитура AIRON AirTune PLAY Black,559,1890940,"Аудио, фото и видео >> Наушники >> Наушники AIRON",airon,Навушники вкладиші бездротові TWS AIRON AirTune Play (6945545521570),,559,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-airon-airtune-play-6945545521570.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1078732817,6770485,TEFAL,Электрочайник TEFAL KO200130,1599,1897415,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Tefal,tefal,Електричний чайник Tefal KO200130,,1599,1,https://comfy.ua/jelektricheskij-chajnik-tefal-ko200130.html,1679,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1078739512,6788238,BRAUN,Утюг BRAUN TexStyle 1 SI1080VI,1499,1855467,Техника для дома >> Мелкая техника >> Утюги >> Утюги Braun,braun,Праска Braun SI1080VI,,1499,1,https://comfy.ua/utjug-braun-si1080vi.html,1899,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1078741193,6788253,BRAUN,Утюг BRAUN TexStyle 7 Pro SI7149WB,3999,1855468,Техника для дома >> Мелкая техника >> Утюги >> Утюги Braun,braun,Праска Braun SI7149WB,,3999,1,https://comfy.ua/utjug-braun-si7149wb.html,4999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,2
1079204886,,,,,1892317,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rapoo,Веб-камера для комп'ютера Rapoo XW170 Black,,1499,1,https://comfy.ua/catalog/product/view/id/3269753,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1079209085,,,,,1890986,Техника для кухни >> Крупная техника,ariete,Піч електрична Ariete 0979 Green,,4299,1,https://comfy.ua/catalog/product/view/id/3267513,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1079209086,,,,,1890987,Техника для кухни >> Крупная техника,ariete,Піч електрична Ariete 0979 Blue,,3999,1,https://comfy.ua/catalog/product/view/id/3267523,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1079217198,,,,,1890577,"Аудио, фото и видео >> Акустика",akg,Мікрофон вокальний бездротовий AKG WMS40 Mini Vocal Set BD ISM1 (3347X00030),,6215,1,https://comfy.ua/catalog/product/view/id/3269653,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1079220568,,,,,.1891004,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Apple iPhone 13 Transparancy (706982),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-apple-iphone-13-transparancy-706982.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1079220569,,,,,.1891005,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Apple iPhone 13 Pro Transparancy (706919),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-apple-iphone-13-pro-transparancy-706919.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1079254269,,,,,1879701,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,Перехідник USB- RJ-45 Maxxter с USB на Ethernet (NEA-U2-01),,289,1,https://comfy.ua/adapter-seti-wifi-pcmcia-maxxter-s-usb-na-ethernet-nea-u2-01.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1079257308,,,,,1884291,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Midea,midea,Кондиціонер спліт Midea MSAG-12HRFN8-I/MSAG-12HRFN8-O XTreme II,,23699,1,https://comfy.ua/kondicioner-split-midea-msag-12hrfn8-i-msag-12hrfn8-o-xtreme-ii.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1079281796,,,,,1885098,Посуда >> Для хранения,tescoma,Набір ємностей для зберігання tescoma 896972 4Food 3 шт.,,699,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-tescoma-896972-4food-3-sht.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1080598836,,,,,1897406,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня газова Beko HIGG 64123 SB,,5799,1,https://comfy.ua/varochnaja-panel-gazovaja-beko-higg-64123-sb.html,6399,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1080603579,,,,,1898458,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,"""Ігровий набір Hot Wheels """"Чемпіон із трюків у петлі"""" (GTV13)""",,999,1,https://comfy.ua/igrovoj-nabor-hot-wheels-chempion-po-trjukam-v-petle-gtv13.html,1399,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
1080610559,6776057,ELEYUS,Варочная поверхность ELEYUS MAGENTA 60 BL CF,6999,1898301,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS MAGENTA 60 BL CF,,7265,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-magenta-60-bl-cf.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1080612186,6984977,MIDEA,Встраиваемый холодильник MIDEA MDRE353FGF01,18999,1895803,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Midea,midea,Холодильник вбудований Midea MDRE353FGF01,,18999,1,https://comfy.ua/holodil-nik-vstraivaemyj-midea-mdre353fgf01.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1080613748,6776056,ELEYUS,Варочная поверхность ELEYUS MAGENTA 60 BG CF,8183,1898300,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS MAGENTA 60 BG CF,,8185,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-magenta-60-bg-cf.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1080681168,6126115,VINZER,Набор ножей VINZER Elegance 8 пр (50115),4938,1874709,Посуда >> Нарезка и измельчение,vinzer,Набір ножів Vinzer Elegance 8 пр. (50115),,4938,1,https://comfy.ua/catalog/product/view/id/3262633,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1081015359,,,,,1889692,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",ubiquiti,Коммутатор локальної мережі (Switch) Ubiquiti USW-Lite-16-PoE,,10299,1,https://comfy.ua/catalog/product/view/id/3254103,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1081363449,,,,,1892317,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",rapoo,Веб-камера для комп'ютера Rapoo XW170 Black,,1499,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-rapoo-xw170-black.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1081621911,,,,,1835869,"Аудио, фото и видео >> Аксессуары для фото, видео",works,Батарейка тип AA Works Alkaline LR6W-4S/AA/4 шт.,,69,1,https://comfy.ua/catalog/product/view/id/3254383,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1081713285,,,,,.1870744,Посуда >> Кухонные аксессуары,gusto,Прес для часнику Gusto GT-6401,,109,1,https://comfy.ua/press-dlja-chesnoka-gusto-gt-6401.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1081933299,,,,,.1890577,"Аудио, фото и видео >> Акустика",akg,Мікрофон вокальний бездротовий AKG WMS40 Mini Vocal Set BD ISM1 (3347X00030),,6215,1,https://comfy.ua/mikrofon-vokal-nyj-besprovodnoj-akg-wms40-mini-vocal-set-bd-ism1-3347x00030.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1082167376,,,,,1903704,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Metallic Gloss Full Show Topper (M/GLO/SHO/FULL),,3899,1,https://comfy.ua/catalog/product/view/id/3297363,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1082186354,,,,,1903668,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Metallic Gloss Half Show Topper (M/GLO/SHO/HALF),,2699,1,https://comfy.ua/catalog/product/view/id/3297493,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1082452437,,,,,1903667,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Metallic Gloss Half Brushed Buttah (M/GLO/BB/HALF),,2699,1,https://comfy.ua/catalog/product/view/id/3298633,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1082458036,,,,,1903661,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Rex Half Jackpot (M/HM/JAC/HALF),,2175,1,https://comfy.ua/catalog/product/view/id/3298133,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1082647174,6757519,GOODRAM,Флеш-драйв Goodram UME3 Care 128GB USB 3.0 Green (UME3-1280CRR11),471,1885653,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Goodram",goodram,Флеш USB Goodram UME3 128GB USB 3.0 Care Green (UME3-1280CRR11),,399,1,https://comfy.ua/flesh-usb-goodram-ume3-128gb-usb-3-0-care-green-ume3-1280crr11.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1083141836,,,,,1900949,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Корпус MSI MPG VELOX 100P AIRFLOW без БЖ,,5499,1,https://comfy.ua/korpus-msi-mpg-velox-100p-airflow-bez-bp.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1084164073,,,,,1897405,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня газова Beko HIGG 64123 SX,,5799,1,https://comfy.ua/varochnaja-panel-gazovaja-beko-higg-64123-sx.html,6399,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1084253018,6811682,HANSA,Варочная поверхность HANSA BHMS61414030,13999,1888114,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Hansa,hansa,Варильна поверхня електрична Hansa BHMS 61414030,,13999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-hansa-bhms-61414030.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1084314453,,,,,1289651,Телевизоры и мультимедиа >> Аксессуары для ТВ,brateck,Кріплення для телевізора Brateck LPA52-466,,1450,1,https://comfy.ua/catalog/product/view/id/3293693,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1084469420,6627563,TEAM,"""SSD накопитель TEAM 2.5"""" SATA 256GB CX2 TLC (T253X6256G0C101)""",1825,1885598,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",team,"""SSD-накопичувач внутрішній Team CX2 256GB 2.5"""" SATAIII 3D TLC (T253X6256G0C101)""",,1679,1,https://comfy.ua/catalog/product/view/id/3289853,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1086200880,,,,,1891425,Техника для кухни >> Мелкая техника,rotex,Горішниця Rotex RSM130-B,,549,1,https://comfy.ua/catalog/product/view/id/3254183,659,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,1
1086282779,,,,,1903667,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Metallic Gloss Half Brushed Buttah (M/GLO/BB/HALF),,2699,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-metallic-gloss-half-brushed-buttah-m-glo-bb-half.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1086285402,,,,,1903668,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Metallic Gloss Half Show Topper (M/GLO/SHO/HALF),,2699,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-metallic-gloss-half-show-topper-m-glo-sho-half.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1086289171,,,,,1903661,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Rex Half Jackpot (M/HM/JAC/HALF),,2175,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-rex-half-jackpot-m-hm-jac-half.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1086291669,,,,,1903703,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Metallic Gloss Full Brushed Buttah (M/GLO/BB/FULL),,3899,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-metallic-gloss-full-brushed-buttah-m-glo-bb-full.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1086300395,,,,,1903679,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Surfaces Flame Thrower (M/BUB/FT/FULL),,4399,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-surfaces-flame-thrower-m-bub-ft-full.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1086311497,,,,,1903698,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Blok Metallic Half Outer Space (M/MB/GRA/HALF),,2549,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-blok-metallic-half-outer-space-m-mb-gra-half.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
