1086383711,column,column,column,column,1903670,comfy_kids_____________madpax,madpax,__madpax_metallic_extreme_half_knight_rider_mmetkrhalf,column,3599,1,httpscomfyuarjukzakshkolnyjmadpaxmetallicextremehalfknightridermmetkrhalfhtml,column,05112025_2113,column,__42,Фастів,0
1086383711,,,,,1903670,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Metallic Extreme Half Knight Rider (M/MET/KR/HALF),,3599,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-metallic-extreme-half-knight-rider-m-met-kr-half.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1086472618,,,,,1903669,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Metallic Extreme Half 24 Karat (M/MET/24/HALF),,3599,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-metallic-extreme-half-24-karat-m-met-24-half.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1086576593,6670405,KELA,Подставка под ложку KELA Cuchara (16945),859,1853736,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Підставка для ложок Kela Cuchara 15х20 см (16945),,601,1,https://comfy.ua/podstavka-dlja-lozhek-kela-cuchara-15h20-sm-16945.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1086577150,6627563,TEAM,"""SSD накопитель TEAM 2.5"""" SATA 256GB CX2 TLC (T253X6256G0C101)""",1825,1885598,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> SSD диски >> SSD диски Team",team,"""SSD-накопичувач внутрішній Team CX2 256GB 2.5"""" SATAIII 3D TLC (T253X6256G0C101)""",,1679,1,https://comfy.ua/ssd-nakopitel-vnutrennij-team-cx2-256gb-2-5-sataiii-3d-tlc-t253x6256g0c101.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1086579075,,,,,1888764,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,"""Сумка для ноутбуку Trust BOLOGNA 16"""" ECO GREEN (24450)""",,499,1,https://comfy.ua/sumka-dlja-noutbuka-trust-bologna-16-eco-green-24450.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1086579076,,,,,1888763,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Trust",trust,"""Сумка для ноутбуку Trust BOLOGNA 16"""" ECO RED (24449)""",,499,1,https://comfy.ua/sumka-dlja-noutbuka-trust-bologna-16-eco-red-24449.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1086606100,,,,,1898249,"Аудио, фото и видео >> Наушники",asus,Гарнітура бездротова ігрова Asus TUF Gaming H1 Wireless Black,,3299,1,https://comfy.ua/garnitura-besprovodnaja-igrovaja-asus-tuf-gaming-h1-wireless-black.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1086611144,6771907,PHILIPS,Машинка для стрижки PHILIPS HC3525/15 серии 3000,1299,1903415,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Philips,philips,Машинка для стрижки волосся Philips HC3525/15,,1299,1,https://comfy.ua/mashinka-dlja-strizhki-volos-philips-hc3525-15.html,1799,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1086617211,,,,,.1904743,Техника для дома >> Климатическая техника,ade,Метеостанція ADE WS 1701,,1835,1,https://comfy.ua/meteostancija-ade-ws-1701.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1086621729,6807786,TEFAL,Мясорубка TEFAL NE105838,3099,1903418,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Tefal,tefal,М'ясорубка Tefal NE105838,,3099,1,https://comfy.ua/mjasorubka-tefal-ne105838.html,3999,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1086625923,7078442,GAMESSOFTWARE,Игра GAMESSOFTWARE PS5 Elden Ring (3391892017946),2499,1903436,Игровые консоли и гейминг >> Игры,playstation,Ігровий диск PS5 Elden Ring,,1399,1,https://comfy.ua/igrovoj-disk-ps5-playstation-elden-ring-ps5-russian-subtitles.html,2499,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1086628797,,,,,1889823,Посуда >> Для напитков >> Чашки >> Чашки Wizarding World,wizarding-world,Чашка Wizarding World Карта мародерів 330 мл (WW-1027),,269,1,https://comfy.ua/chashka-wizarding-world-karta-maroderov-330-ml-ww-1027.html,419,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1086629075,,,,,1889826,Посуда >> Для напитков >> Чашки >> Чашки Wizarding World,wizarding-world,Чашка Wizarding World Сортувальний Капелюх - Гафелпаф 330 мл (WW-1153-03),,269,1,https://comfy.ua/chashka-wizarding-world-sortirovochnaja-shljapa-gafelpaf-330-ml-ww-1153-03.html,419,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1086629125,,,,,1889824,Посуда >> Для напитков >> Чашки >> Чашки Wizarding World,wizarding-world,Чашка Wizarding World Сортувальний Капелюх - Грифіндор 330 мл (WW-1153-01),,269,1,https://comfy.ua/chashka-wizarding-world-sortirovochnaja-shljapa-griffindor-330-ml-ww-1153-01.html,419,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1086629301,,,,,1889825,Посуда >> Для напитков >> Чашки >> Чашки Wizarding World,wizarding-world,Чашка Wizarding World Сортувальний Капелюх - Рейвенклов 330 мл (WW-1153-02),,269,1,https://comfy.ua/chashka-wizarding-world-sortirovochnaja-shljapa-rejvenklov-330-ml-ww-1153-02.html,419,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1086629700,,,,,1889827,Посуда >> Для напитков >> Чашки >> Чашки Wizarding World,wizarding-world,Чашка Wizarding World Сортувальний Капелюх - Слизерин 330 мл (WW-1153-04),,245,1,https://comfy.ua/chashka-wizarding-world-sortirovochnaja-shljapa-slizerin-330-ml-ww-1153-04.html,419,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1086630211,6999594,WELL DONE,Сковорода для блинов Well Done MarbleStone 24 см Grey (WD-1064A),339,1892341,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода для млинців Well Done WD-1064А 24 см,,339,1,https://comfy.ua/skovoroda-dlja-blinov-well-done-wd-1064a-24-sm.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1086630271,,,,,1892327,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода універсальна Well Done WD-1016B 26 см,,405,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1016b-26-sm.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1086630273,,,,,1892330,Посуда >> Для приготовления,well-done,Сковорода універсальна Well Done WD-1018W 28 см,,439,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1018w-28-sm.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1086630490,6774211,COLOR WAY,Светодиодная гирлянда COLORWAY Smart LED RGB WiFi+Bluetooth 60 LED (IP65) 10 м Multicolored (CW-GS-60L10UMC),1305,1882842,"Дом, отдых и зоотовары >> New Year >> Новогодние гирлянды >> Новогодние гирлянды Colorway",colorway,Гірлянда лінійна Colorway 60LED 10 m WiFi Bluetooth (CW-GS-60L10UMC),,1305,1,https://comfy.ua/girljanda-linejnaja-colorway-60led-10-m-wifi-bluetooth-cw-gs-60l10umc.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1086631127,6873445,WELL DONE,Сковорода Well Done с антипригарным покрытием Marble Stone 26 см (WD-1036N),679,1892334,Посуда >> Для приготовления >> Сковороды >> Сковороды Well Done,well-done,Сковорода універсальна Well Done WD-1036N 26 см,,589,1,https://comfy.ua/skovoroda-universal-naja-well-done-wd-1036n-26-sm.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1086669499,6842222,SEAGATE,Внешний жесткий диск SEAGATE 4TB USB 3.0 Expansion Black (STKM4000400),5960,1898258,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Seagate",seagate,Жорсткий диск зовнішній Seagate Expansion 4TB Black (STKM4000400),,5109,1,https://comfy.ua/zhestkij-disk-vneshnij-seagate-expansion-4tb-black-stkm4000400.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1086778483,,,,,1773533,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Liebherr,liebherr,Холодильник вбудований Liebherr ICe 5103,,42799,1,https://comfy.ua/holodil-nik-vstraivaemyj-liebherr-ice-5103.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1086778515,6774062,BAMIX,Блендер BAMIX DeLux M200 Anthracite,12855,1904318,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix DeLux M200 Anthracite (1010.056),,12855,1,https://comfy.ua/blender-pogruzhnoj-bamix-delux-m200-anthracite-1010-056.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1086779489,,,,,1905314,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! Harry Potter Dobby 6561 (FUN1266),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-harry-potter-dobby-6561-fun1266.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
1086779542,6774063,BAMIX,Блендер BAMIX SwissLine М200 Anthracite (1000.023),16355,1904315,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Swiss Line М200 Anthracite (1000.023),,16355,1,https://comfy.ua/blender-pogruzhnoj-bamix-swiss-line-m200-anthracite-1000-023.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1086779630,6792352,BOSCH,Пылесос BOSCH BGS41POW2,11999,1877336,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch BGS41POW2,,11999,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-kontejnerom-i-meshkom-bosch-bgs41pow2.html,18499,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1086779631,6774058,BAMIX,Блендер BAMIX Mono M200 White (1020.021),8249,1904319,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Mono M200 White (1020.021),,10999,1,https://comfy.ua/blender-pogruzhnoj-bamix-mono-m200-white-1020-021.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1086779668,,,,,1905315,Comfy KIDS >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,Колекційна фігурка FUNKO POP! Harry Potter Albus Dumbledore 5863 (FUN1267),,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-pop-harry-potter-albus-dumbledore-5863-fun1267.html,,06.11.2025 1:17,,"вул. Соборна, 42",Фастів,0
