1088882859,column,column,column,column,1909567,Детские товары >> Прогулки и поездки,madpax,__madpax_rex_full_jackpot_mhmjacfull,column,2999,1,httpscomfyuacatalogproductviewid3354873,column,05112025_2112,column,__42,Фастів,0
1088882859,,,,,1909567,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Rex Full Jackpot (M/HM/JAC/FULL),,2999,1,https://comfy.ua/catalog/product/view/id/3354873,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1088883373,7081414,NOVEEN,Проточный водонагреватель NOVEEN IWH350 (70873),1999,1907773,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Noveen,noveen,Водонагрівач проточний Noveen IWH350,,2099,1,https://comfy.ua/vodonagrevatel-protochnyj-noveen-iwh350.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1088884185,,,,,1095188,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Exo Full Purple (KAA24484642),,2225,1,https://comfy.ua/catalog/product/view/id/3354773,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1088884263,,,,,1909557,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Gator Half LUXE Purple (KAB24485064),,1725,1,https://comfy.ua/catalog/product/view/id/3356313,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1088884276,,,,,1909546,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Gator Full LUXE Purple (KAA24485047),,2199,1,https://comfy.ua/catalog/product/view/id/3355003,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1088884322,,,,,1909556,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Gator Half LUXE Blue (KAB24485065),,1725,1,https://comfy.ua/catalog/product/view/id/3356223,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1088893564,,,,,1880270,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",mymedia,Флеш USB MyMedia 64GB USB 2.0 Black (69263),,205,1,https://comfy.ua/catalog/product/view/id/3345853,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1088908193,,,,,1909554,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Exo Full Green (KAA24484639),,2225,1,https://comfy.ua/catalog/product/view/id/3356743,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1088908206,,,,,1909566,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Moppets Full Fur-Real Pink  (M/FUR/PNK/FULL),,3999,1,https://comfy.ua/catalog/product/view/id/3357153,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1088908384,,,,,.1903250,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Anti-Shock for Apple iPhone 13 Pro Max Clear (706952),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-apple-iphone-13-pro-max-clear-706952.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1088908397,,,,,.1903272,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Anti-Shock for Xiaomi Redmi Note 10 Pro Clear (706976),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-xiaomi-redmi-note-10-pro-clear-706976.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1088909615,6738947,TEAM,SSD накопитель TEAM 1TB MP33 Pro M.2 (TM8FPD001T0C101),4559,.1885613,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",team,SSD-накопичувач внутрішній Team M.2 PCIe 3.0 x4 1TB 3D MP33 Pro 2280 TLC (TM8FPD001T0C101),,2899,1,https://comfy.ua/ssd-nakopitel-vnutrennij-team-m-2-pcie-3-0-x4-1tb-3d-mp33-pro-2280-tlc-tm8fpd001t0c101.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1088910566,6789477,ARDESTO,Форма для выпечки Мини Ardesto Gemini (AR2501G),125,1883231,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для випічки Ardesto Gemini 12x5 см Gray (AR2501G),,116,1,https://comfy.ua/forma-dlja-vypechki-ardesto-gemini-12x5-sm-gray-ar2501g.html,175,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1088910573,6789478,ARDESTO,Форма для выпечки Мини Ardesto Gemini (AR2502G),169,1883232,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для випічки Ardesto Gemini 16x4 см Gray (AR2502G),,169,1,https://comfy.ua/forma-dlja-vypechki-ardesto-gemini-16x4-sm-gray-ar2502g.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1088910575,6789466,ARDESTO,Форма для выпечки Ardesto Gemini 18 см (AR2503G),206,1883233,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для випічки Ardesto Gemini 18 см Gray (AR2503G),,206,1,https://comfy.ua/forma-dlja-vypechki-ardesto-gemini-18-sm-gray-ar2503g.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1088910676,6789485,ARDESTO,Форма для запекания ARDESTO BLACK MARS 1.5+0.3 л (AR2415BG),355,1885729,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Ardesto,ardesto,Форма для приготування Ardesto Black Mars 1.5 л (AR2415BG),,355,1,https://comfy.ua/forma-dlja-prigotovlenija-ardesto-black-mars-1-5-l-ar2415bg.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1088911175,6619321,VIOLET HOUSE,Корзина VIOLET HOUSE Виолетта 0028 POWDER 8 л,299,1869385,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",violet-house,Корзина для зберігання VIOLET HOUSE 0028 Виолетта Powder д/порош.с/кр.8 л,,379,1,https://comfy.ua/korzina-dlja-hranenija-violet-house-0028-violetta-powder-d-porosh-s-kr-8-l.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1088912205,,,,,1907770,Детские товары >> Прогулки и поездки,peg-perego,Адаптер для коляски Peg-Perego Team (IKCS0017),,3549,1,https://comfy.ua/catalog/product/view/id/3358703,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1088912275,,,,,1044797,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Bubble Full Neon Aqua (KAA24484818),,2399,1,https://comfy.ua/catalog/product/view/id/3358663,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1088912523,,,,,1036186,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Rex Half Heavy Metal Spike Blue (KZ24483959),,2399,1,https://comfy.ua/catalog/product/view/id/3358623,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1088915525,,,,,1170743,Техника для кухни >> Крупная техника,artel,Плита газова ARTEL Apetito 10-G Brown,,12615,1,https://comfy.ua/catalog/product/view/id/3358803,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1088917137,6721898,VALERA,Фен VALERA SWISS SILENT JET 7700 ROTOCORD (SXJ 7700 D RC),4204,1911991,Красота и здоровье >> Уход за волосами >> Фены >> Фены Valera,valera,Фен Valera Swiss Silent Jet 7700 Rotocord (SXJ 7700 D RC),,4205,1,https://comfy.ua/fen-valera-swiss-silent-jet-7700-rotocord-sxj-7700-d-rc.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1088920487,,,,,1910851,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Сумка для ноутбуку 2E TopLoad Classic 14'' (2E-CBT6814BK),,899,1,https://comfy.ua/catalog/product/view/id/3345873,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1088920490,,,,,1910852,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Сумка для ноутбуку 2E TopLoad Classic 17'' (2E-CBT6817BK),,999,1,https://comfy.ua/catalog/product/view/id/3345913,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1088920509,,,,,1170745,Техника для кухни >> Крупная техника,artel,Плита газова ARTEL Apetito 10-G White,,12489,1,https://comfy.ua/catalog/product/view/id/3358853,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1088920833,,,,,.1897424,Игровые консоли и гейминг >> Комплектующие для игровых ПК,1stplayer,Блок живлення для ПК 1stPlayer PS-750FK 750W,,2099,1,https://comfy.ua/blok-pitanija-dlja-pk-1stplayer-ps-750fk-750w.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1088921297,,,,,.1875740,Смартфоны и телефоны >> Аксессуары для смартфонов,2e,Тримач для мобільного пристрою 2E 2E-CH01-04 Black,,99,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-2e-2e-ch01-04-black.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1088924274,,,,,1870579,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora Blanco Square 165 мм (V165S),,75,1,https://comfy.ua/salatnik-vittora-blanco-square-165-mm-v165s.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1088924275,,,,,.1870577,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora Blanco Square 215 мм (V-215S),,76,1,https://comfy.ua/tarelka-desertnaja-vittora-blanco-square-215-mm-v-215s.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1088924302,,,,,.1870580,Посуда >> Для сервировки,vittora,Салатник Vittora Blanco Square190 мм (V190S),,84,1,https://comfy.ua/salatnik-vittora-blanco-square190-mm-v190s.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1088924303,,,,,.1870575,Посуда >> Для сервировки,vittora,Салатник Vittora 175 мм (V-175PB),,95,1,https://comfy.ua/salatnik-vittora-175-mm-v-175pb.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1088924304,,,,,.1870578,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora Blanco Square 240 мм (V-240S),,98,1,https://comfy.ua/tarelka-obedennaja-vittora-blanco-square-240-mm-v-240s.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1088946234,6907047,PERFELLI,Вытяжка PERFELLI BIET 5854 WH 1200 LED,6999,1911328,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIET 5854 WH 1200 LED,,6999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-biet-5854-wh-1200-led.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
1088946268,6893162,PERFELLI,Вытяжка PERFELLI TL 6316 WH 700 LED,3299,1911343,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli TL 6316 WH 700 LED,,3559,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-tl-6316-wh-700-led.html,3999,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1088946305,6571151,ADLER,Яйцеварка ADLER AD 4459,449,1688674,Техника для кухни >> Мелкая техника,adler,Яйцеварка Adler AD 4459,,749,1,https://comfy.ua/jajcevarka-adler-ad-4459.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
