1089099012,column,column,column,column,1909546,______________madpax,madpax,__madpax_gator_full_luxe_purple_kaa24485047,column,2199,1,httpscomfyuarjukzakshkolnyjmadpaxgatorfullluxepurplekaa24485047html,column,05112025_2112,column,__42,Фастів,0
1089099012,,,,,1909546,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Gator Full LUXE Purple (KAA24485047),,2199,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-gator-full-luxe-purple-kaa24485047.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1089099042,,,,,1044792,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Exo Full Red (KAA24484637),,2225,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-exo-full-red-kaa24484637.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1089099077,,,,,1909576,Comfy KIDS >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Scale Full Hi-Ho Silver (M/SCA/SIL/FULL),,3299,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-scale-full-hi-ho-silver-m-sca-sil-full.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089099080,,,,,1909577,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Artipacks Full Heart 2 Heart (M/ART/HEA/FULL),,3299,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-artipacks-full-heart-2-heart-m-art-hea-full.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089107944,,,,,1892341,Посуда >> Для приготовления,well-done,Сковорода для млинців Well Done WD-1064А 24 см,,339,1,https://comfy.ua/catalog/product/view/id/3300703,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1089108086,,,,,1892330,Посуда >> Для приготовления,well-done,Сковорода універсальна Well Done WD-1018W 28 см,,439,1,https://comfy.ua/catalog/product/view/id/3300973,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1089108229,,,,,1892334,Посуда >> Для приготовления,well-done,Сковорода універсальна Well Done WD-1036N 26 см,,589,1,https://comfy.ua/catalog/product/view/id/3300903,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1089122678,,,,,.1910851,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Сумка для ноутбуку 2E TopLoad Classic 14'' (2E-CBT6814BK),,899,1,https://comfy.ua/sumka-dlja-noutbuka-2e-topload-classic-14-2e-cbt6814bk.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1089122679,,,,,.1910852,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",2e,Сумка для ноутбуку 2E TopLoad Classic 17'' (2E-CBT6817BK),,999,1,https://comfy.ua/sumka-dlja-noutbuka-2e-topload-classic-17-2e-cbt6817bk.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1089123450,7092139,VERBATIM,Флеш-драйв MyMedia MyUSB 64GB Black (69263),163,1880270,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",mymedia,Флеш USB MyMedia 64GB USB 2.0 Black (69263),,205,1,https://comfy.ua/flesh-usb-verbatim-mymedia-64gb-usb-2-0-black-69263.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1089183155,,,,,1913008,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,playstation,Геймпад PlayStation DualSense Galactic Purple,,3599,1,https://comfy.ua/catalog/product/view/id/3355543,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1089183156,,,,,1913010,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,playstation,Геймпад PlayStation DualSense Starlight Blue,,3599,1,https://comfy.ua/catalog/product/view/id/3354963,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1089183157,,,,,1913009,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,playstation,Геймпад PlayStation DualSense Nova Pink,,3599,1,https://comfy.ua/catalog/product/view/id/3355313,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
