1089349187,6828167,ДОБРА ГОСПОДАРОЧКА,______120__95__40__4820086521536,22,1882033,"Детские товары >> Уход, купание и гигиена",dobragospodarochka,_____120__95__40__4820086521536,column,24,1,httpscomfyuacatalogproductviewid3373523,34,05112025_2039,column,__42,Фастів,0
1089349187,6828167,ДОБРА ГОСПОДАРОЧКА,Губка для купания ДОБРА ГОСПОДАРОЧКА Котик 120 х 95 х 40 мм (4820086521536),22,1882033,"Детские товары >> Уход, купание и гигиена",dobra-gospodarochka,Дитяча мочалка Добра господарочка Котик 120 х 95 х 40 мм (4820086521536),,24,1,https://comfy.ua/catalog/product/view/id/3373523,34,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1089353435,,,,,.1897470,Игровые консоли и гейминг >> Комплектующие для игровых ПК,thermaltake,Корпус Thermaltake Divider 300 TG Mid Tower Chassis Black (CA-1S2-00M1WN-00) без БЖ,,3719,1,https://comfy.ua/korpus-thermaltake-divider-300-tg-mid-tower-chassis-black-ca-1s2-00m1wn-00-bez-bp.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1089355405,,,,,1915614,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Razer",razer,Килимок для миші ігровий Razer Pro Glide XXL (RZ02-03332300-R3M1),,1999,1,https://comfy.ua/kovrik-dlja-myshi-razer-pro-glide-xxl-rz02-03332300-r3m1.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1089362218,,,,,1892327,Посуда >> Для приготовления,well-done,Сковорода універсальна Well Done WD-1016B 26 см,,405,1,https://comfy.ua/catalog/product/view/id/3301103,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1089370455,,,,,.1882597,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",mymedia,Флеш USB MyMedia 8GB USB 2.0 Black (69260),,125,1,https://comfy.ua/flesh-usb-mymedia-8gb-usb-2-0-black-69260.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1089393832,,,,,1870572,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220BW Черно біле соцвіття 220 мм,,95,1,https://comfy.ua/catalog/product/view/id/3270313,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1089393833,,,,,1870574,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220PB Рожевий букет 220 мм,,95,1,https://comfy.ua/catalog/product/view/id/3270633,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1089395163,7170235,PERFELLI,Вытяжка PERFELLI BI 5453 I 850 LED Strip,3799,1911327,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5453 I 850 LED Strip,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5453-i-850-led-strip.html,5149,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1089395530,6824045,PERFELLI,Вытяжка PERFELLI BI 5652 I 1000 LED,3999,1911831,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5652 I 1000 LED,,3999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5652-i-1000-led.html,5299,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1089395531,6824044,PERFELLI,Вытяжка PERFELLI BI 5652 BL 1000 LED,3999,1911832,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5652 BL 1000 LED,,3999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5652-bl-1000-led.html,5299,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
