1089456312,7170238,perfelli,_perfelli_bi_7453_i_850_led,4499,1911866,__________perfelli,perfelli,__perfelli_bi_7453_i_850_led,column,4967,1,httpscomfyuavytjazhkavstraivaemajaperfellibi7453i850ledhtml,5399,05112025_2058,column,__42,Фастів,0
1089456312,7170238,PERFELLI,Вытяжка PERFELLI BI 7453 I 850 LED,4499,1911866,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 7453 I 850 LED,,4967,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-7453-i-850-led.html,5399,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1089456313,6825545,PERFELLI,Вытяжка PERFELLI BI 7652 BL 1000 LED,5058,1911320,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 7652 BL 1000 LED,,5439,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-7652-bl-1000-led.html,6399,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1089456314,6825546,PERFELLI,Вытяжка PERFELLI BI 7652 I 1000 LED,5439,1911332,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 7652 I 1000 LED,,5439,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-7652-i-1000-led.html,6399,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1089456315,6825547,PERFELLI,Вытяжка PERFELLI BI 7652 WH 1000 LED,5439,1911814,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 7652 WH 1000 LED,,5439,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-7652-wh-1000-led.html,6399,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1089456942,6842015,PERFELLI,Вытяжка PERFELLI BI 7653 I 1000 LED,5178,1911869,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 7653 I 1000 LED,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-7653-i-1000-led.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1089469383,6825548,PERFELLI,Вытяжка PERFELLI BIC 6654 I 1000 LED,6999,1911837,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIC 6654 I 1000 LED,,6999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bic-6654-i-1000-led.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1089469565,7170239,PERFELLI,Вытяжка PERFELLI BIC 9654 I 1000 LED,8999,1911838,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIC 9654 I 1000 LED,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bic-9654-i-1000-led.html,10899,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1089469635,6824049,PERFELLI,Вытяжка PERFELLI BISP 5673 WH 1000 LED Strip,7999,1911841,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BISP 5673 WH 1000 LED Strip,,7999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bisp-5673-wh-1000-led-strip.html,14999,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
1089469700,,,,,1910894,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D10 White,,799,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d10-white.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1089469701,,,,,1908668,Дом и отдых >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer,gt-racer,Стілець кухоний GT Racer X-D10 Beige,,799,1,https://comfy.ua/stul-kuhonnyj-gt-racer-gt-racer-x-d10-beige.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1089470869,6824047,PERFELLI,Вытяжка PERFELLI BIS 5633 I 1000 LED,7499,1911824,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 5633 I 1000 LED,,7499,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-5633-i-1000-led.html,12499,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1089471050,6824048,PERFELLI,Вытяжка PERFELLI BISP 5673 BL 1000 LED Strip,7999,1911881,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BISP 5673 BL 1000 LED Strip,,7999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bisp-5673-bl-1000-led-strip.html,14999,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1089471051,6842020,PERFELLI,Вытяжка PERFELLI BIS 7633 I 1000 LED,7999,1911839,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 7633 I 1000 LED,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-7633-i-1000-led.html,12999,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1089471053,,,,,1911854,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli TG 9635 I 1000 LED,,12999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-tg-9635-i-1000-led.html,16299,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1089471054,6842024,PERFELLI,Вытяжка PERFELLI BIS 9633 I 1000 LED,9494,1911840,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BIS 9633 I 1000 LED,,10999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bis-9633-i-1000-led.html,14999,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1089491523,,,,,1909124,"Дом, отдых и зоотовары >> Мебель >> Столы компьютерные >> Столы компьютерные 1stPlayer",1stplayer,Стіл компьютерний 1stPlayer Moto-E 1460 Black,,10999,1,https://comfy.ua/stol-dlja-noutbuka-1stplayer-moto-e-1460-black.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1089491524,,,,,.1909125,"Дом, отдых и зоотовары >> Мебель",1stplayer,Стіл компьютерний 1stPlayer Moto-E 1675 Black,,12999,1,https://comfy.ua/stol-dlja-noutbuka-1stplayer-moto-e-1675-black.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1089492018,,,,,1870744,Посуда >> Кухонные аксессуары,gusto,Прес для часнику Gusto GT-6401,,109,1,https://comfy.ua/catalog/product/view/id/3283803,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1089498695,,,,,1873104,Посуда >> Кухонные аксессуары,gusto,Шумовка Gusto GT-5601 Gusto,,72,1,https://comfy.ua/catalog/product/view/id/3270693,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1089505315,,,,,1885876,Бытовая химия >> Средства для посудомоечных машин,sodasan,Таблетка для посудомийної машини Sodasan органічні 25 шт. (4019886024280),,425,1,https://comfy.ua/catalog/product/view/id/3270373,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1089521106,,,,,.1916939,"Аудио, фото и видео >> Аксессуары для фото, видео",toshiba,Батарейка тип CR2016 Toshiba CR2016 BL 5 шт. (00152701),,129,1,https://comfy.ua/batarejka-tip-cr2016-toshiba-cr2016-bl-5-sht-00152701.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
