1090508271,3182300,vinzer,_vinzer_26__50006,2691,1874855,__________vinzer,vinzer,__vinzer_premier_26__50006,column,2691,1,httpscomfyuachajnikmetallicheskijvinzerpremier26l50006html,column,05112025_1903,column,__42,Фастів,0
1090508271,3182300,VINZER,"Чайник VINZER 2,6 л (50006)",2691,1874855,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Vinzer,vinzer,Чайник металевий Vinzer Premier 2.6 л (50006),,2691,1,https://comfy.ua/chajnik-metallicheskij-vinzer-premier-2-6-l-50006.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1090508272,6090178,VINZER,Чайник VINZER SUPERIA (50009),2459,1874892,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические Vinzer,vinzer,Чайник металевий Vinzer Superia 2.6 л (50009),,2694,1,https://comfy.ua/chajnik-metallicheskij-vinzer-superia-2-6-l-50009.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
1090508418,6660042,PEPPER,Нож для овощей PEPPER Labris 7.6 см (PR-4004-5),363,1870554,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,"Ніж для овочів Pepper 7,6 см (PR-4004-5)",,363,1,https://comfy.ua/nozh-dlja-ovoschej-pepper-7-6-sm-pr-4004-5.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1090508419,6660047,PEPPER,Нож для овощей PEPPER Maximus 7.6 см (PR-4005-5),297,1870556,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Pepper,pepper,"Ніж для овочів Pepper 7,6 см (PR-4005-5)",,340,1,https://comfy.ua/nozh-dlja-ovoschej-pepper-7-6-sm-pr-4005-5.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1090508552,,,,,.1871913,Посуда >> Нарезка и измельчение,pepper,Ніж для овочів Pepper Okinawa 7.6 см (PR-4006-5),,378,1,https://comfy.ua/nozh-dlja-ovoschej-pepper-okinawa-7-6-sm-pr-4006-5.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1090508553,,,,,.1871909,Посуда >> Нарезка и измельчение,pepper,Ніж кухонний Pepper Okinawa 12.7 см (PR-4006-4),,389,1,https://comfy.ua/nozh-kuhonnyj-pepper-okinawa-12-7-sm-pr-4006-4.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1090509178,6775566,BEURER,Триммер BEURER HL 16,1177,1925623,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Beurer,beurer,Грумер жіночий Beurer HL 16,,1179,1,https://comfy.ua/grumer-zhenskij-beurer-hl-16.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1090509196,,,,,.1871637,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora V-190EM Wave Східні мотиви 190 мм,,67,1,https://comfy.ua/tarelka-desertnaja-vittora-v-190em-wave-vostochnye-motivy-190-mm.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1090509197,,,,,1871641,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Тарілка десертна Vittora V-190AF Wave Акварельні квіти 190 мм,,67,1,https://comfy.ua/tarelka-desertnaja-vittora-v-190af-wave-akvarel-nye-cvety-190-mm.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1090509207,7092140,MYMEDIA,Флеш-драйв MYMEDIA MyUSB 32GB Black (69262),146,1784074,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",mymedia,Флеш USB MyMedia 32GB USB 2.0 Black (69262),,155,1,https://comfy.ua/flesh-usb-mymedia-32gb-usb-2-0-black-69262.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1090509211,,,,,.1871639,Посуда >> Для сервировки,vittora,Салатник Vittora V-155EM Wave Східні мотиви 155 мм,,81,1,https://comfy.ua/salatnik-vittora-v-155em-wave-vostochnye-motivy-155-mm.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
1090509212,,,,,.1871685,Посуда >> Для сервировки,vittora,Салатник Vittora V-155AF Wave Акварельні квіти 155 мм,,81,1,https://comfy.ua/salatnik-vittora-v-155af-wave-akvarel-nye-cvety-155-mm.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1090509226,,,,,.1856429,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623318 Delicia 28 см,,1699,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623318-delicia-28-sm.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1090509242,,,,,1871686,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora V-175AF Wave Акварельні квіти 175 мм,,95,1,https://comfy.ua/salatnik-vittora-v-175af-wave-akvarel-nye-cvety-175-mm.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1090509243,,,,,.1871638,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220EM Wave Східні мотиви 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-v-220em-wave-vostochnye-motivy-220-mm.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1090509288,,,,,1922037,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",matrix,Акумулятор для ДБЖ Matrix 12V 150AH (NP150-12),,11339,1,https://comfy.ua/akkumuljator-dlja-ibp-matrix-12v-150ah-np150-12.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1090509742,,,,,1871684,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220AF Wave Акварельні квіти 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-v-220af-wave-akvarel-nye-cvety-220-mm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1090509747,,,,,1871687,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora V-225S Blanco Square 225 мм,,130,1,https://comfy.ua/salatnik-vittora-v-225s-blanco-square-225-mm.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1090512967,,,,,1871688,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Vittora,vittora,Салатник Vittora V-265S Blanco Square 265 мм,,175,1,https://comfy.ua/salatnik-vittora-v-265s-blanco-square-265-mm.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1090513038,,,,,1873086,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Gusto",gusto,Друшляк Gusto GT-5616-24 Gusto 24 см,,110,1,https://comfy.ua/durshlag-gusto-gt-5616-24-gusto-24-sm.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1090513039,,,,,.1873088,Посуда >> Кухонные аксессуары,gusto,Друшляк Gusto GT-5615-22 Gusto 22 см,,117,1,https://comfy.ua/durshlag-gusto-gt-5615-22-gusto-22-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1090514694,6789466,ARDESTO,Форма для выпечки Ardesto Gemini 18 см (AR2503G),206,1883233,Посуда >> Для запекания и выпечки,ardesto,Форма для випічки Ardesto Gemini 18 см Gray (AR2503G),,206,1,https://comfy.ua/catalog/product/view/id/3344273,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1090514817,,,,,1913893,Посуда >> Кухонные аксессуары,gusto,Щипці кухонні Gusto GT-5207,,101,1,https://comfy.ua/schipcy-kuhonnye-gusto-gt-5207.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1090514920,,,,,1870579,Посуда >> Для сервировки,vittora,Салатник Vittora Blanco Square 165 мм (V165S),,75,1,https://comfy.ua/catalog/product/view/id/3345543,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1090514924,6314272,DEWALT,Набор бит и магнитных держателей DEWALT DT71502,518,1920267,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты DeWALT,dewalt,Біта для викрутки DeWALT 14 пр. (DT71502),,609,1,https://comfy.ua/nabor-bit-dlja-otvertki-dewalt-14-pr-dt71502.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
1090514925,,,,,.1919724,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",svc,Джерело безперебійного живлення SVC 1000VA (VP-1000-LCD),,2995,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-1000va-vp-1000-lcd.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1090514926,7125399,SVC,ИБП SVC VP-1250-LCD,3703,1919725,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания SVC",svc,Джерело безперебійного живлення SVC 1250VA (VP-1250-LCD),,4095,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-1250va-vp-1250-lcd.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1090514930,,,,,1870580,Посуда >> Для сервировки,vittora,Салатник Vittora Blanco Square190 мм (V190S),,84,1,https://comfy.ua/catalog/product/view/id/3345613,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1090514944,,,,,1870575,Посуда >> Для сервировки,vittora,Салатник Vittora 175 мм (V-175PB),,95,1,https://comfy.ua/catalog/product/view/id/3345463,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1090514965,,,,,.1919726,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",svc,Джерело безперебійного живлення SVC 1500VA (VP-1500-LCD),,5209,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-1500va-vp-1500-lcd.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1090514979,7125390,SVC,ИБП SVC RT-2KSB RM 2000ВА/2000Вт,14812,1919729,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания SVC",svc,Джерело безперебійного живлення SVC RM 2000VA (RT-2KSB),,16065,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-rm-2000va-rt-2ksb.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1090514980,7125392,SVC,ИБП SVC On-Line RM (RT-3KSB),21971,1919730,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания SVC",svc,Джерело безперебійного живлення SVC RM 3000VA (RT-3KSB),,22345,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-svc-rm-3000va-rt-3ksb.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1090533020,,,,,1920281,Техника для дома >> Крупная техника,tesy,Водонагрівач Tesy GCA 0715 G01 RC,,3765,1,https://comfy.ua/vodonagrevatel-tesy-gca-0715-g01-rc.html,6435,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1090533059,6789755,IIYAMA,Монитор IIYAMA X4373UHSU-B1,25990,1915971,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы IIYAMA",iiyama,Монітор IIYAMA X4373UHSU-B1,,25989,1,https://comfy.ua/monitor-iiyama-x4373uhsu-b1.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1090536478,,,,,.1917325,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",d-link,Коммутатор локальної мережі (Switch) D-Link DGS-1100-05V2,,1535,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-d-link-dgs-1100-05v2.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1090545516,,,,,1880266,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE605X,,3199,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re605x.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1090546090,,,,,.1917617,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфона Armorstandart Supreme Icon 3D for Apple iPhone 13 Pro Max Black (ARM60016),,599,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-icon-3d-for-apple-iphone-13-pro-max-black-arm60016.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1090576674,,,,,.1914845,Инструменты и автотовары >> Электроинструменты,forte2,Полірувальна шліфмашина Forte DS-225-VCLВ,,7669,1,https://comfy.ua/poliroval-naja-shlifmashina-forte-ds-225-vclv.html,,05.11.2025 21:27,,"вул. Соборна, 42",Фастів,0
