1094506353,column,column,column,column,1907892,Посуда >> Для напитков,noveen,_noveen_tb811_white_400_,column,499,1,httpscomfyuatermobutylkanoveentb811white400mlhtml,column,05112025_1920,column,__42,Фастів,0
1094506353,,,,,1907892,Посуда >> Для напитков,noveen,Термопляшка Noveen TB811 White 400 мл,,499,1,https://comfy.ua/termobutylka-noveen-tb811-white-400-ml.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1094506354,,,,,1907891,Посуда >> Для напитков,noveen,Термопляшка Noveen TB802 Silver 400 мл,,399,1,https://comfy.ua/termobutylka-noveen-tb802-silver-400-ml.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1094508707,,,,,1911998,Посуда >> Для напитков >> Термопосуда >> Термопосуда YES,yes,Термочашка YES Pink Heart 420 мл (707336),,595,1,https://comfy.ua/termokruzhka-yes-pink-heart-420-ml-707336.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1094514261,7052020,FRANKE,Мойка FRANKE Centro Бежевый (114.0630.467),10079,1854580,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Franke",franke,Мийка кухонна Franke Centro CNG 611-78 TL Бежевий (114.0630.467),,10079,1,https://comfy.ua/mojka-kuhonnaja-franke-centro-cng-611-78-tl-bezhevyj-114-0630-467.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1094540508,,,,,1918239,Посуда >> Для приготовления >> Сковороды >> Сковороды Fiskars,fiskars,Сковорода універсальна Fiskars Norden 26 см (1026569),,9625,1,https://comfy.ua/skovoroda-universal-naja-fiskars-norden-26-sm-1026569.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1094569323,,,,,1940137,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку Taf Toys,taf-toys,Брязкальце Taf Toys Сонний місяць (12065),,299,1,https://comfy.ua/pogremushka-taf-toys-sonnyj-mesjac-12065.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1094587824,6786693,BONECO,Увлажнитель воздуха BONECO U250,4999,1941814,Техника для дома >> Климатическая техника >> Увлажнители воздуха >> Увлажнители воздуха Boneco,boneco,Зволожувач повітря Boneco U250,,4999,1,https://comfy.ua/uvlazhnitel-vozduha-boneco-u250.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1094588810,,,,,1885138,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Vitrinor,vitrinor,Форма для приготування Vitrinor Cerice Pierre 24 см (2111544),,515,1,https://comfy.ua/forma-dlja-prigotovlenija-vitrinor-cerice-pierre-24-sm-2111544.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1094588811,,,,,1885140,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Vitrinor,vitrinor,Форма для приготування Vitrinor Cerice Pierre 30 см (2111693),,549,1,https://comfy.ua/forma-dlja-prigotovlenija-vitrinor-cerice-pierre-30-sm-2111693.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1094590713,,,,,1855493,Посуда >> Для запекания и выпечки,pepper,Форма для приготування Pepper Black Ice Greblon C2 32x21x11 см (PR-6007),,3417,1,https://comfy.ua/forma-dlja-prigotovlenija-pepper-black-ice-greblon-c2-32x21x11-sm-pr-6007.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1094590975,6812113,GORENJE,Вытяжка GORENJE BHP623E8X,9299,1926141,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gorenje,gorenje,Витяжка вбудована Gorenje BHP 623 E8X,,9299,1,https://comfy.ua/vytjazhka-vstraivaemaja-gorenje-bhp-623-e8x.html,9899,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1094591312,7088155,DE BUYER,"Кастрюля DE BUYER Prima Matera 1,8 л Copper (6242.16)",27477,1070487,Посуда >> Для приготовления >> Кастрюли >> Кастрюли de Buyer,de-buyer,"Каструля de Buyer 1,8 л 6242.16",,27477,1,https://comfy.ua/kastrjulja-de-buyer-1-8-l-6242-16.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1094591594,7088186,DE BUYER,"Ковш DE BUYER Affinity 1,2 л (3706.14)",7319,1071314,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 14 см 3706.14,,7319,1,https://comfy.ua/kovsh-de-buyer-14-sm-3706-14.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1094592399,7088207,DE BUYER,"Ковш DE BUYER Inocuivre 1,8 л Copper (6406.16)",14314,1071328,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Ківш de Buyer 16см 6406.16,,14314,1,https://comfy.ua/kovsh-de-buyer-16sm-6406-16.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1094593517,,,,,1936052,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл Green (190460108),,335,1,https://comfy.ua/termokruzhka-tavialo-460-ml-green-190460108.html,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1094593518,,,,,1936053,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл Pink (190460106),,311,1,https://comfy.ua/termokruzhka-tavialo-460-ml-pink-190460106.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1094593519,,,,,1936051,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл Black (190460101),,425,1,https://comfy.ua/termokruzhka-tavialo-460-ml-black-190460101.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1094593520,,,,,1936050,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл Mint (190460105),,395,1,https://comfy.ua/termokruzhka-tavialo-460-ml-mint-190460105.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1094593521,,,,,.1936049,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл Blue (190460104),,395,1,https://comfy.ua/termokruzhka-tavialo-460-ml-blue-190460104.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1094593522,,,,,1936048,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл White (190460102),,395,1,https://comfy.ua/termokruzhka-tavialo-460-ml-white-190460102.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
