1095047924,6855056,lil_woodzeez,__lil_woodzeez__wz6608z,1054,1942772,______________lil_woodzeez,lilwoodzeez,___lil_woodzeez__wz6608z,column,699,1,httpscomfyuakollekcionnyefigurkililwoodzeezteatrwz6608zhtml,1899,06112025_113,column,__42,Фастів,0
1095047924,6855056,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Театр (WZ6608Z),1054,1942772,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Театр (WZ6608Z),,699,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-teatr-wz6608z.html,1899,06.11.2025 1:13,,"вул. Соборна, 42",Фастів,0
1095047934,,,,,1942724,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования IHeartArt,iheartart,Набір для малювання IHeartArt Акварель-колаж (8004),,405,1,https://comfy.ua/nabor-dlja-risovanija-iheartart-akvarel-kollazh-8004.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1095048058,6576570,BLACK&DECKER,Пылесос BLACK&DECKER BHHV520BFP,6099,1942733,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Black&Decker,blackdecker,Пилосос ручний для дому Black&Decker BHHV520BFP,,6099,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-black-decker-bhhv520bfp.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1095048060,,,,,1942725,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования IHeartArt,iheartart,Набір для малювання IHeartArt Батік-колаж (8007),,699,1,https://comfy.ua/nabor-dlja-risovanija-iheartart-batik-kollazh-8007.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1095048062,6855053,LI'L WOODZEEZ,Игровой набор LI'L WOODZEEZ Цветочный магазин маленький (WZ6621Z),880,1942770,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційна фігурка Li'l Woodzeez Квітковий магазин (маленький) (WZ6621Z),,999,1,https://comfy.ua/kollekcionnaja-figurka-li-l-woodzeez-cvetochnyj-magazin-malen-kij-wz6621z.html,1189,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
1095048075,6802490,STARK,Пылесос STARK VC-200-20 Li-ion,4445,1941416,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Stark,stark,Пилосос для сухого прибирання без мішка Stark VC-2000-20 Li-ion (225020020),,3935,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-stark-vc-2000-20-li-ion-225020020.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1095110846,6718094,KRAUFF,Кастрюля KRAUFF Charmant 1.9 л (26-238-027),711,1880839,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauff,krauff,"Каструля Krauff 26-238-027 1,9л",,685,1,https://comfy.ua/kastrjulja-krauff-26-238-027-1-9l.html,1184,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1095110847,,,,,1888827,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vitrinor,vitrinor,Каструля Vitrinor K2 з кришкою 24 см (2111184),,975,1,https://comfy.ua/kastrjulja-vitrinor-k2-s-kryshkoj-24-sm.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1095111196,6775369,SENCOR,Машинка для стрижки SENCOR SHP 460CH,649,1941568,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Sencor,sencor,Машинка для стрижки волосся Sencor SHP 460CH,,649,1,https://comfy.ua/mashinka-dlja-strizhki-volos-sencor-shp-460ch.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1095209054,,,,,1941951,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Подставки под ноутбуки >> Подставки под ноутбуки Trust",trust,Підставка під ноутбук охолоджуюча Trust GXT 1126 Aura RGB Black (24192),,1399,1,https://comfy.ua/podstavka-pod-noutbuk-trust-gxt-1126-aura-rgb-black-24192.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1095317790,,,,,1941967,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verbatim,"""SSD-накопичувач внутрішній Verbatim SSD -Vi550 S3 2.5"""" SSD 1TB 7 mm SATA III (49353)""",,3025,1,https://comfy.ua/ssd-nakopitel-vnutrennij-verbatim-ssd-vi550-s3-2-5-ssd-1tb-7-mm-sata-iii-49353.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1095339566,,,,,.1934142,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,SSD-накопичувач внутрішній Transcend 370 16GB SSD mSATA (TS16GMSA370),,559,1,https://comfy.ua/ssd-nakopitel-vnutrennij-transcend-370-16gb-ssd-msata-ts16gmsa370.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1095344050,6911166,PEPPER,Сковорода PEPPER Cherry Lava-Stone 20 см Burgundy (PR-2109-20),619,1884004,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Cherry Lava-Stone 20x4.5 cм (PR-2109-20),,619,1,https://comfy.ua/skovoroda-universal-naja-pepper-cherry-lava-stone-20x4-5-cm-pr-2109-20.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1095344058,6911165,PEPPER,Сковорода PEPPER Cherry Lava-Stone 24 см Burgundy (PR-2109-24),687,1884005,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Cherry Lava-Stone 24x5.0 cм (PR-2109-24),,687,1,https://comfy.ua/skovoroda-universal-naja-pepper-cherry-lava-stone-24x5-0-cm-pr-2109-24.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1095344100,6911164,PEPPER,Сковорода PEPPER Cherry Lava-Stone 26 см Burgundy (PR-2109-26),679,1884006,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Cherry Lava-Stone 26x5.2 cм (PR-2109-26),,679,1,https://comfy.ua/skovoroda-universal-naja-pepper-cherry-lava-stone-26x5-2-cm-pr-2109-26.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1095348932,6911163,PEPPER,Сковорода PEPPER Cherry Lava-Stone 28 см Burgundy (PR-2109-28),682,1884007,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Cherry Lava-Stone 28x5.4 cм (PR-2109-28),,682,1,https://comfy.ua/skovoroda-universal-naja-pepper-cherry-lava-stone-28x5-4-cm-pr-2109-28.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1095348933,6911169,PEPPER,Сковорода PEPPER Emerald Titanium Pro 26 см Green (PR-2107-26),1015,1883973,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Emerald 26x5.0 cм Titanium Pro (PR-2107-26),,879,1,https://comfy.ua/skovoroda-universal-naja-pepper-emerald-26x5-0-cm-titanium-pro-pr-2107-26.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1095349422,,,,,1942744,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Крепления для телевизоров >> Крепления для телевизоров iTECH,itech,Кріплення для телевізора iTECH PLB-100,,2390,1,https://comfy.ua/kreplenie-dlja-televizora-itech-plb-100.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1095349423,6911168,PEPPER,Сковорода PEPPER Emerald Titanium Pro 28cм Green (PR-2107-28),886,1883974,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода універсальна Pepper Emerald 28x5.0 cм Titanium Pro (PR-2107-28),,886,1,https://comfy.ua/skovoroda-universal-naja-pepper-emerald-28x5-0-cm-titanium-pro-pr-2107-28.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1095349425,6911167,PEPPER,Сковорода Вок PEPPER Emerald 26cм Green (PR-2108-26),1115,1883975,Посуда >> Для приготовления >> Сковороды >> Сковороды Pepper,pepper,Сковорода ВОК Pepper Emerald 26x8.0 cм Titanium Pro (PR-2108-26),,1115,1,https://comfy.ua/skovoroda-vok-pepper-emerald-26x8-0-cm-titanium-pro-pr-2108-26.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
