1095869184,6792381,delonghi,_delonghi_cgh920d,6899,1826066,__________delonghi,delonghi,__delonghi_cgh920d,column,6899,1,httpscomfyuagrilbarbekjujelektricheskijdelonghicgh920dhtml,column,05112025_1942,column,__42,Фастів,0
1095869184,6792381,DELONGHI,Гриль DELONGHI CGH920D,6899,1826066,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Delonghi,delonghi,Гриль-барбекю електричний Delonghi CGH920D,,6899,1,https://comfy.ua/gril-barbekju-jelektricheskij-delonghi-cgh920d.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1095869190,6785731,ELEYUS,Вытяжка ELEYUS BREEZE 700 50 BG,3799,1898299,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS BREEZE 700 50 BG,,3799,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-breeze-700-50-bg.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1095873752,6580644,EMOS,Удлиннитель EMOS P19510 4 розетки 10 м 10 А 3x1 мм? Black (P19510),1035,1941927,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS на котушці із з/к 4гн.помаранч. 10м P19510 3*1,0",,1149,1,https://comfy.ua/udlinitel-220v-emos-4-r-10-m-p19510.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1095889990,,,,,1941981,Посуда >> Для напитков >> Стаканы >> Стаканы La Rochere,la-rochere,"Склянка La Rochere 616301 0,16 л",,389,1,https://comfy.ua/stakan-la-rochere-616301-0-16-l.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1095890645,6802201,2E,"""Проекционный экран 2E 16:9 162"""" 3.6x2 м (0169162E)""",24300,1941960,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекционные экраны >> Проекционные экраны 2E,2e,"Екран настінний ручний 2E 16:9, 162 (0169162E)",,25035,1,https://comfy.ua/jekran-nastennyj-ruchnoj-2e-16-9-162-0169162e.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1095890654,6821265,RYOBI,Воздуходувка RYOBI RBV3000CSV (5133002188),4799,1933061,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Ryobi,ryobi,Садовий пилосос Ryobi RBV3000CSV (5133002188),,4399,1,https://comfy.ua/sadovyj-pylesos-ryobi-rbv3000csv-5133002188.html,4799,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1095893214,,,,,1944725,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные MSI",msi,Миша дротова ігрова MSI Clutch GM11 White,,1299,1,https://comfy.ua/mysh-provodnaja-igrovaja-msi-clutch-gm11-white.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1095893362,,,,,1944715,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Logitech",logitech,Килимок для миші Logitech Mouse Pad Studio Series - Darker Rose (956-000050),,629,1,https://comfy.ua/kovrik-dlja-myshi-logitech-mouse-pad-studio-series-darker-rose-956-000050.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1095893363,,,,,1944716,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Logitech",logitech,Килимок для миші Logitech Mouse Pad Studio Series - Blue Grey (956-000051),,629,1,https://comfy.ua/kovrik-dlja-myshi-logitech-mouse-pad-studio-series-blue-grey-956-000051.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1095893364,,,,,1944717,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Logitech",logitech,Килимок для миші Logitech Desk Mat Studio Series - Mid Grey (956-000052),,1399,1,https://comfy.ua/kovrik-dlja-myshi-logitech-desk-mat-studio-series-mid-grey-956-000052.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
1095893365,,,,,1944718,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Logitech",logitech,Килимок для миші Logitech Desk Mat Studio Series - Lavender (956-000054),,1399,1,https://comfy.ua/kovrik-dlja-myshi-logitech-desk-mat-studio-series-lavender-956-000054.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1095898184,6795706,ACER,Проектор ACER X1328Wi (MR.JTW11.001),18809,1939060,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Acer,acer,Проектор Acer X1328Wi (MR.JTW11.001),,18809,1,https://comfy.ua/proektor-acer-x1328wi-mr-jtw11-001.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
