1096627153,column,column,column,column,1890959,____________tvs,tvs,___tvs_24__9465124003h901,column,899,1,httpscomfyuakryshkadljaposudytvs24sm9465124003h901html,column,05112025_2016,column,__42,Фастів,0
1096627153,,,,,1890959,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды TVS,tvs,Кришка для посуду TVS 24 см (9465124003H901),,899,1,https://comfy.ua/kryshka-dlja-posudy-tvs-24-sm-9465124003h901.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1096627154,,,,,1890957,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды TVS,tvs,Кришка для посуду TVS 28 см (9465128003F201),,1029,1,https://comfy.ua/kryshka-dlja-posudy-tvs-28-sm-9465128003f201.html,1469,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1096662761,,,,,1752043,Красота и здоровье >> Косметика для тела,missha,Засіб для засмаги Missha All Around Эссенция SPF45/PA+++ 50 мл (8809581452398),,799,1,https://comfy.ua/sredstvo-dlja-zagara-missha-all-around-jessencija-spf45-pa-50-ml-8809581452398.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1096664485,6771726,TVS,Кастрюля TVS Mineralia Eco Induction 2.6 л Grey (BS480202910201),2779,1890972,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TVS,tvs,Каструля TVS Mineralia Eco Induction 20 см 2.6 л (BS480202910201),,2779,1,https://comfy.ua/kastrjulja-tvs-mineralia-eco-induction-20-sm-2-6-l-bs480202910201.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1096668657,6767557,GUSTO,Щипцы кухонные Gusto GT-5607 25 см (103621),70,1873106,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Gusto,gusto,Щипці кухонні Gusto GT-5607 25 см,,78,1,https://comfy.ua/schipcy-kuhonnye-gusto-gt-5607-gusto-25-sm.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1096745204,6792813,VIMAR,Миксер VIMAR VX-412R,849,1909469,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Vimar,vimar,Міксер Vimar VX-412R,,849,1,https://comfy.ua/mikser-vimar-vx-412r.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1096745205,6792814,VIMAR,Миксер VIMAR VX-414B,993,1909470,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Vimar,vimar,Міксер Vimar VX-414B,,849,1,https://comfy.ua/mikser-vimar-vx-414b.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1096745214,6812148,ELECTROLUX,Foodproc/Foodproc ELECTROLUX E5KM1-4BPT,10999,1945966,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Electrolux,electrolux,Планетарний міксер Electrolux E5KM1-4BPT,,10999,1,https://comfy.ua/planetarnyj-mikser-electrolux-e5km1-4bpt.html,12899,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1096755648,,,,,.1881983,Техника для дома >> Климатическая техника,galactic,Кондиціонер спліт GALACTIC GKZ09HF-S,,19779,1,https://comfy.ua/kondicioner-split-galactic-gkz09hf-s.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1096763647,,,,,.1881984,Техника для дома >> Климатическая техника,galactic,Кондиціонер спліт GALACTIC GKZ18HF-S,,36075,1,https://comfy.ua/kondicioner-split-galactic-gkz18hf-s.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1096763723,,,,,.1881985,Техника для дома >> Климатическая техника,galactic,Кондиціонер спліт GALACTIC GKZ24HF-S,,48709,1,https://comfy.ua/kondicioner-split-galactic-gkz24hf-s.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1096771256,,,,,1944780,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Мережевий зарядний пристрій Luxe Cube Dynamic 18W 1USBх3A Black (4446689880896),,569,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-luxe-cube-dynamic-18w-1usbh3a-black-4446689880896.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1096771257,,,,,1944781,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Мережевий зарядний пристрій Luxe Cube Dynamic 18W 1USBх3A White (4446689880643),,569,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-luxe-cube-dynamic-18w-1usbh3a-white-4446689880643.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1096828495,,,,,1944752,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для лазерних принтерів/БФП HP 150A Black (W1500A),,2825,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-hp-150a-black-w1500a.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1096828506,,,,,1741259,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg бродилка """"Чарівний ліс"""", укр (30215)""",,67,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-brodilka-volshebnyj-les-rus-30215.html,,06.11.2025 0:34,,"вул. Соборна, 42",Фастів,0
1097427020,6869490,TEFAL,Нож сантоку TEFAL Comfort 12 см (K2213644),309,1941875,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal Comfort + чохол 12 см (K2213644),,309,1,https://comfy.ua/nozh-kuhonnyj-tefal-comfort-chehol-12-sm-k2213644.html,379,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1097613660,,,,,1875715,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Мильна вечірка - лебідь (укр) (32108),,139,1,https://comfy.ua/massa-dlja-lepki-strateg-myl-naja-vecherinka-lebed-ukr-32108.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1097613750,,,,,1873605,Детские товары >> Творчество и развитие,strateg,Ліплення з тіста Strateg Містер тісто 7 кольорів (укр) (71807),,76,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-7-cvetov-ukr-71807.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1097613978,,,,,1875714,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Мильна вечірка - блакитний динозавр (укр) (32107),,139,1,https://comfy.ua/massa-dlja-lepki-strateg-myl-naja-vecherinka-goluboj-dinozavr-ukr-32107.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1097614059,,,,,1873603,Детские товары >> Творчество и развитие,strateg,Ліплення з тіста Strateg Містер тісто 18 кольорів (укр) (71804),,139,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-18-cvetov-ukr-71804.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1097614095,,,,,1875713,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg Мильна вечірка - рожевий динозавр (укр) (32106),,135,1,https://comfy.ua/massa-dlja-lepki-strateg-myl-naja-vecherinka-rozovyj-dinozavr-ukr-32106.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1097614313,,,,,1873600,Детские товары >> Творчество и развитие,strateg,Ліплення з тіста Strateg Містер тісто 14 кольорів (укр) (71801),,129,1,https://comfy.ua/lepka-iz-testa-strateg-mister-testo-14-cvetov-ukr-71801.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1097614624,6788844,JBL,Портативная акустика JBL Flip 6 Red (JBLFLIP6RED),5799,1949028,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Flip 6 Red (JBLFLIP6RED),,5799,1,https://comfy.ua/portativnaja-akustika-jbl-flip-6-red-jblflip6red.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1097614948,,,,,1873592,Детские товары >> Творчество и развитие,strateg,Маса для ліплення Strateg La petite desserts ( 71312),,145,1,https://comfy.ua/massa-dlja-lepki-strateg-la-petite-desserts-71312.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1097614982,7057058,STRATEG,Настольная игра STRATEG Игривые бельчата (30852),239,1873461,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Грайливі більчата (укр) (30852),,199,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-5-7-let-strateg-igrivye-bel-chatye-ukr-30852.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1097615138,6788838,JBL,Портативная акустика JBL Flip 6 Black (JBLFLIP6BLKEU),4799,1949024,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Flip 6 Black (JBLFLIP6BLKEU),,5799,1,https://comfy.ua/portativnaja-akustika-jbl-flip-6-black-jblflip6blkeu.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1100047181,6740833,TRAMONTINA,Набор ножей TRAMONTINA Plenus Black 8 пр (23498/032),1208,1944368,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Набір ножів Tramontina Plenus Black 8 пр. (23498/032),,1208,1,https://comfy.ua/nabor-nozhej-tramontina-plenus-black-8-pr-23498-032.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1100520757,6725452,ALPINE,Автоусилитель ALPINE BBX-F1200,6499,1806035,Инструменты и автотовары >> Автотовары >> Автотовары Alpine,alpine,Автопідсилювач Alpine BBX-F1200,,6499,1,https://comfy.ua/avtousilitel-alpine-bbx-f1200.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1100522045,6725475,ALPINE,Автоусилитель ALPINE MRV-M250,5109,1808184,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Alpine,alpine,Автопідсилювач Alpine MRV-M250,,5109,1,https://comfy.ua/avtousilitel-alpine-mrv-m250.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1100527873,,,,,1806019,Инструменты и автотовары >> Автотовары,vibe,Автопідсилювач Vibe POWERBOX150.4М-V0,,10269,1,https://comfy.ua/avtousilitel-vibe-powerbox150-4m-v0.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1100528896,,,,,1805930,Инструменты и автотовары >> Автотовары,vibe,Автопідсилювач Vibe POWERBOX250.2-V0,,5939,1,https://comfy.ua/avtousilitel-vibe-powerbox250-2-v0.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1100590212,,,,,.1945930,Техника для дома >> Климатическая техника,noveen,Конвектор Noveen CH7100 LCD Smart,,2899,1,https://comfy.ua/konvektor-noveen-ch7100-lcd-smart.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1100804299,6740819,TRAMONTINA,Набор ножей TRAMONTINA Plenus Light Grey 3 пр (23498/312),209,1944361,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Набір ножів Tramontina Plenus Light Grey 3 пр. (23498/312),,209,1,https://comfy.ua/nabor-nozhej-tramontina-plenus-light-grey-3-pr-23498-312.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1100980479,,,,,1890965,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды TVS,tvs,Кришка для посуду TVS 16 см (94651160034201),,319,1,https://comfy.ua/kryshka-dlja-posudy-tvs-16-sm-94651160034201.html,569,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1100980833,,,,,1890964,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды TVS,tvs,Кришка для посуду TVS 16 см (94651160035201),,869,1,https://comfy.ua/kryshka-dlja-posudy-tvs-16-sm-94651160035201.html,1079,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1101806054,6836192,BEURER,Фильтра для очистителя воздуха для Beurer MK 500,1244,1943334,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Beurer,beurer,Фільтр для очищувача повітря Beurer для MK 500,,1245,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-beurer-dlja-mk-500.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1102973464,,,,,1941464,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель патч-корд ProfCable CAT5e 1 m (ProfCable7-100),,17,1,https://comfy.ua/kabel-patch-kord-profcable-cat5e-1-m-profcable7-100.html,35,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1102979775,,,,,1941867,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",profcable,Кабель USB type A - USB type B ProfCable USB 2.0 type A - USB type B 1.5 м (ProfCable12-150),,99,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-profcable-usb-2-0-type-a-usb-type-b-1-5-m-profcable12-150.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
