1124082757,column,column,column,column,1949681,Посуда >> Для напитков,vincent,_vincent_living_coral_035__vc1527lc,column,259,1,httpscomfyuatermokruzhkavincentlivingcoral035lvc1527lchtml,column,05112025_1904,column,__42,Фастів,0
1124082757,,,,,1949681,Посуда >> Для напитков,vincent,Термочашка Vincent Living Coral 0.35 л (VC-1527LC),,259,1,https://comfy.ua/termokruzhka-vincent-living-coral-0-35-l-vc-1527lc.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1124082758,,,,,.1949687,Посуда >> Для напитков,vincent,Термочашка Vincent Purple Powder 0.45 л (VC-1526PP),,279,1,https://comfy.ua/termokruzhka-vincent-purple-powder-0-45-l-vc-1526pp.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1124082760,,,,,1949683,Посуда >> Для напитков,vincent,Термочашка Vincent Maroon 0.35 л (VC-1528M),,289,1,https://comfy.ua/termokruzhka-vincent-maroon-0-35-l-vc-1528m.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1126493592,,,,,1944753,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP 730 130-ml Gray DesignJet Ink (P2V66A),,4905,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-730-130-ml-gray-designjet-ink-p2v66a.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1126614859,,,,,.1949652,Посуда >> Для приготовления,vincent,Ківш Vincent 14 см 1.15 л (VC-3167-14),,385,1,https://comfy.ua/kovsh-vincent-14-sm-1-15-l-vc-3167-14.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1126614892,,,,,1949671,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Vincent,vincent,Ківш Vincent 14 см 1.25 л (VC-3168-14),,420,1,https://comfy.ua/kovsh-vincent-14-sm-1-25-l-vc-3168-14.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1127234558,6794325,LOGITECH,Мышь LOGITECH Signature M650 L Wireless Graphite (910-006236),1999,1960253,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Signature M650 L Wireless Mouse Graphite (910-006236),,1999,1,https://comfy.ua/mysh-besprovodnaja-logitech-signature-m650-l-wireless-mouse-graphite-910-006236.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,1
1127234563,6794326,LOGITECH,Мышь LOGITECH Signature M650 L Wireless Rose (910-006237),1999,1960254,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Signature M650 L Wireless Mouse Rose (910-006237),,1999,1,https://comfy.ua/mysh-besprovodnaja-logitech-signature-m650-l-wireless-mouse-rose-910-006237.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1127234569,6794328,LOGITECH,Мышь Logitech Signature M650 L Wireless Mouse LEFT Graphite (910-006239),1999,1960256,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Signature M650 L Left Wireless Mouse Graphite (910-006239),,1999,1,https://comfy.ua/mysh-besprovodnaja-logitech-signature-m650-l-left-wireless-mouse-graphite-910-006239.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1127234573,6794322,LOGITECH,Мышь LOGITECH Signature M650 Wireless Graphite (910-006253),1999,1960258,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Signature M650 Wireless Mouse Graphite (910-006253),,1999,1,https://comfy.ua/mysh-besprovodnaja-logitech-signature-m650-wireless-mouse-graphite-910-006253.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,1
1127234577,6794324,LOGITECH,Мышь LOGITECH Signature M650 Wireless Off-White (910-006255),1999,1960260,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech Signature M650 Wireless Mouse Off-White (910-006255),,1999,1,https://comfy.ua/mysh-besprovodnaja-logitech-signature-m650-wireless-mouse-off-white-910-006255.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1127880128,,,,,1950297,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mercusys,Підсилювач бездротового сигнала Mercusys ME10,,499,1,https://comfy.ua/usilitel-besprovodnogo-signala-mercusys-me10.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1131261347,6672565,LEOV,Бойлер LEOV LUB Small 5 l,3600,1765594,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LUB Small 5 l,,3599,1,https://comfy.ua/vodonagrevatel-leov-lub-small-5-l.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1131377058,6790004,GORENJE,Духовой шкаф GORENJE BO 6737 E02XK (BO3CO6C02-1),12999,1962216,Техника для кухни >> Крупная техника,gorenje,Духова шафа електрична Gorenje BO6737E02XK,,12999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bo6737e02xk.html,14499,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1131404014,6710904,TRAMONTINA,Детский набор TRAMONTINA Baby Le Petit 2 пр Gray (23797/604),802,1958465,Comfy KIDS >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Tramontina,tramontina,Дитяча ложечка Tramontina Baby Le Petit набір 2 пр. (слинявчик + ложка) Gray (23797/604),,960,1,https://comfy.ua/detskaja-lozhechka-tramontina-baby-le-petit-nabor-2-pr-sljunjavchik-lozhka-gray-23797-604.html,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
1134054737,6886051,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK20ZS-WB/SRC20ZS-W,46619,1939167,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK20ZS-WB/SRC20ZS-W,,46619,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk20zs-wb-src20zs-w.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1134054750,6886052,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK20ZS-WT/SRC20ZS-W,47981,1939166,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK20ZS-WT/SRC20ZS-W,,47949,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk20zs-wt-src20zs-w.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1134063203,6886053,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK25ZS-WB/SRC25ZS-W,50059,1939168,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK25ZS-WB/SRC25ZS-W,,50059,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk25zs-wb-src25zs-w.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1134074418,6886055,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK35ZS-WB/SRC35ZS-W,59779,1939170,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK35ZS-WB/SRC35ZS-W,,59779,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk35zs-wb-src35zs-w.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1134074419,6886056,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK35ZS-WT/SRC35ZS-W,61528,1939169,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK35ZS-WT/SRC35ZS-W,,61509,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk35zs-wt-src35zs-w.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1134074421,,,,,.1939173,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK20ZSX-WT/SRC20ZSX-W,,78175,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk20zsx-wt-src20zsx-w.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1134081627,6886057,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK50ZS-WB/SRC50ZS-W,82205,1939172,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK50ZS-WB/SRC50ZS-W,,84559,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk50zs-wb-src50zs-w.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1134081636,6886058,MITSUBISHI HEAVY,Кондиционер MITSUBISHI HEAVY SRK50ZS-WT/SRC50ZS-W,82205,1939171,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Heavy,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK50ZS-WT/SRC50ZS-W,,82205,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk50zs-wt-src50zs-w.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1134081708,,,,,.1939174,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK35ZSX-WT/SRC35ZSX-W,,96585,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk35zsx-wt-src35zsx-w.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1134081747,,,,,.1864020,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK50ZSX-W/SRC50ZSX-W,,106875,1,https://comfy.ua/kondicioner-split-mitsubishi-srk50zsx-w-src50zsx-w.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1135806440,,,,,1962922,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Синій (PW-001-165),,718,1,https://comfy.ua/catalog/product/view/id/3651383,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1135815120,,,,,1962924,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Котик  Be mine (ПД-0350),,275,1,https://comfy.ua/catalog/product/view/id/3651573,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1135909056,,,,,1962921,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-синій (PW-001-164),,718,1,https://comfy.ua/catalog/product/view/id/3651353,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1136043044,,,,,1962920,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-жовтий (PW-001-124),,718,1,https://comfy.ua/catalog/product/view/id/3651293,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1136048550,,,,,1962919,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Темно-рожевий (PW-001-123),,718,1,https://comfy.ua/catalog/product/view/id/3651243,837,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1136062262,,,,,1962680,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Mimi: Любов та фламінго (LD5/049),,1119,1,https://comfy.ua/catalog/product/view/id/3651273,,06.11.2025 0:49,,"вул. Соборна, 42",Фастів,0
1136222237,,,,,1962923,Детские товары >> Детская комната и безопасность,tega-baby,Ящик для іграшок Tega Baby Сірий (PW-001-106),,718,1,https://comfy.ua/catalog/product/view/id/3651413,837,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1136347605,,,,,.1872619,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Тримач для мобільного пристрою PowerPlant HB390021,,1499,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-powerplant-hb390021.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1136347613,,,,,.1872620,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Тримач для мобільного пристрою PowerPlant HB390038,,1199,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-powerplant-hb390038.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1136659827,,,,,1962930,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Панда Be mine (ПД-0351),,275,1,https://comfy.ua/catalog/product/view/id/3651903,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1136775417,,,,,1962926,"Дом, отдых и зоотовары >> Текстиль",tigres,Подушка декоративна дитяча Tigres Панда Today is your day (ПД-0301),,295,1,https://comfy.ua/catalog/product/view/id/3651823,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1137219801,,,,,1962674,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Mimi: Полуничне морозиво (LD4/084),,1199,1,https://comfy.ua/catalog/product/view/id/3652443,,06.11.2025 0:35,,"вул. Соборна, 42",Фастів,0
1137416446,,,,,1962676,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Yoyo: Елегантність (LD2/040),,1149,1,https://comfy.ua/catalog/product/view/id/3652113,,06.11.2025 0:18,,"вул. Соборна, 42",Фастів,0
