1155300720,column,column,column,column,1960222,____________________samsung,samsung,___samsung_typec_to_typec_cable_black_epdx310jbrgru,column,799,1,httpscomfyuakabelsinhronizaciidannyhsamsungtypectotypeccableblackepdx310jbrgruhtml,column,05112025_1733,column,__42,Фастів,0
1155300720,,,,,1960222,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Samsung",samsung,Кабель синхронізації даних Samsung Type-C to Type-C Cable Black (EP-DX310JBRGRU),,799,1,https://comfy.ua/kabel-sinhronizacii-dannyh-samsung-type-c-to-type-c-cable-black-ep-dx310jbrgru.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1155300910,,,,,1960224,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Samsung",samsung,Кабель синхронізації даних Samsung Type-C to Type-C Cable White (EP-DX510JWRGRU),,999,1,https://comfy.ua/kabel-sinhronizacii-dannyh-samsung-type-c-to-type-c-cable-white-ep-dx510jwrgru.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1155537160,,,,,.1682006,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Кріплення для телевізора Sonorous PL 2510-B-HBLK,,10949,1,https://comfy.ua/kreplenie-dlja-televizora-sonorous-pl-2510-b-hblk.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1155537187,,,,,.1682008,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Кріплення для телевізора Sonorous PL 2700-BLK-SLV,,17949,1,https://comfy.ua/kreplenie-dlja-televizora-sonorous-pl-2700-blk-slv.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1155940766,6708572,NEOR,Саундбар NEOR SR100 Plus,2901,.1962033,Телевизоры и мультимедиа >> Мультимедиа и звук,neor,Саундбар Neor SR100 Plus,,3715,1,https://comfy.ua/saundbar-neor-sr100-plus.html,3995,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1155968155,6710909,TRAMONTINA,Набор столовых приборов TRAMONTINA Baby Le Petit Orange 2 шт (23797/402),134,1945215,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Tramontina,tramontina,Набір столових приборів Tramontina Baby Le Petit X 2 пр. Orange (23797/402),,134,1,https://comfy.ua/nabor-stolovyh-priborov-tramontina-baby-le-petit-x-2-pr-orange-23797-402.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1155968161,6710906,TRAMONTINA,Набор столовых приборов TRAMONTINA Baby Le Petit Gray 2 шт (23797/602),134,1945214,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Tramontina,tramontina,Набір столових приборів Tramontina Baby Le Petit X 2 пр.Gray (23797/602),,134,1,https://comfy.ua/nabor-stolovyh-priborov-tramontina-baby-le-petit-x-2-pr-gray-23797-602.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1155978883,6710903,TRAMONTINA,Набор детских столовых приборов TRAMONTINA Baby Friends X2 2 пр. (23797/905),244,1944413,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір столових приборів Tramontina Baby Friends X 2 пр. (23797/905),,273,1,https://comfy.ua/nabor-stolovyh-priborov-tramontina-baby-friends-x-2-pr-23797-905.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1156023535,6710899,TRAMONTINA,Детский набор столовых приборов TRAMONTINA Baby Lirous X2 (23797/909),233,1944411,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір столових приборів Tramontina Baby Lirous X 2 пр. (23797/909),,269,1,https://comfy.ua/nabor-stolovyh-priborov-tramontina-baby-lirous-x-2-pr-23797-909.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1156023620,6710898,TRAMONTINA,Набор детских приборов TRAMONTINA Baby Lirous 3 пр (23797/910),319,1944410,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір столових приборів Tramontina Baby Lirous X 3 пр. (23797/910),,323,1,https://comfy.ua/nabor-stolovyh-priborov-tramontina-baby-lirous-x-3-pr-23797-910.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
