1230012054,6812072,ardesto,__ardesto_sck898r,342,1968038,____________ardesto,ardesto,__ardesto_sck898r_brown,column,399,1,httpscomfyuavesykuhonnyeardestosck898rbrownhtml,column,05112025_1745,column,__42,Фастів,0
1230012054,6812072,ARDESTO,Весы кухонные ARDESTO SCK-898R,342,1968038,Техника для кухни >> Мелкая техника >> Весы кухонные >> Весы кухонные Ardesto,ardesto,Ваги кухонні Ardesto SCK-898R Brown,,399,1,https://comfy.ua/vesy-kuhonnye-ardesto-sck-898r-brown.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1230426766,,,,,1970724,Красота и здоровье >> Уход за полостью рта,philips,Зубна щітка електрична Philips HX6877/28,,4699,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-hx6877-28.html,8599,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,2
1230493515,6996294,HOLMER,Утюг HOLMER HIT-2020,439,1972920,Техника для дома >> Мелкая техника >> Утюги >> Утюги Holmer,holmer,Праска Holmer HIT-2020,,439,1,https://comfy.ua/utjug-holmer-hit-2020.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1230509527,7170869,PERFELLI,Варочная поверхность PERFELLI HGM 61427 WH,4859,1911858,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня газова Perfelli HGM 61427 WH,,4859,1,https://comfy.ua/varochnaja-panel-gazovaja-perfelli-hgm-61427-wh.html,5289,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1230555007,7170870,PERFELLI,Варочная поверхность PERFELLI HGM 61637 WH RETRO,6377,1911842,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Perfelli,perfelli,Варильна поверхня газова Perfelli HGM 61637 WH RETRO,,6379,1,https://comfy.ua/varochnaja-panel-gazovaja-perfelli-hgm-61637-wh-retro.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1230557914,,,,,.1946462,Посуда >> Для сервировки,gusto,Набір чайних ложок Gusto Silver 3 шт. (GT-S024-3),,102,1,https://comfy.ua/nabor-chajnyh-lozhek-gusto-silver-3-sht-gt-s024-3.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1230557919,,,,,.1946463,Посуда >> Для сервировки,gusto,Набір чайних ложок Gusto Mercury 3 шт. (GT-S034-3),,102,1,https://comfy.ua/nabor-chajnyh-lozhek-gusto-mercury-3-sht-gt-s034-3.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1230580620,,,,,1950280,Посуда >> Кухонные аксессуары,lessner,Ніж консервний Lessner Savoy 17 см (10217),,339,1,https://comfy.ua/nozh-konservnyj-lessner-savoy-17-sm-10217.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1231203969,,,,,.1967519,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",wacom,Графічний планшет Wacom Intuos M Black (CTL-6100K-B),,4699,1,https://comfy.ua/graficheskij-planshet-wacom-intuos-m-black-ctl-6100k-b.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1231267950,7041921,TOLSEN,Ножовка TOLSEN по гипсокартону 150 мм (31013),219,1884538,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Tolsen",tolsen,Ножівка Tolsen 150 мм (31013),,229,1,https://comfy.ua/nozhovka-tolsen-150-mm-31013.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
