1238393595,column,column,column,column,1967918,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_ryzen_5_3600_rtx_3050_8gb_164_ryzen53600rtx30508gb164,column,25434,1,httpscomfyuasistemnyjblokqubeqbryzen53600rtx30508gb164ryzen53600rtx30508gb164html,29235,05112025_1832,column,__42,Фастів,0
1238393595,,,,,.1967918,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 164 (Ryzen53600RTX30508GB164),,25434,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-164-ryzen53600rtx30508gb164.html,29235,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1238393617,,,,,.1963235,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 1610 (i510400FRTX30508GB1610),,29379,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-1610-i510400frtx30508gb1610.html,33769,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,0
1238393631,,,,,.1967713,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1611 (Ryzen53600RTX30508GB1611),,27079,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1611-ryzen53600rtx30508gb1611.html,31125,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1238486629,,,,,.1963220,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 162 (i312100FRX66008GB162),,29379,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-162-i312100frx66008gb162.html,33769,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1238486634,,,,,.1963248,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 324 (i510400FRTX30508GB324),,30293,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-324-i510400frtx30508gb324.html,34819,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1238486685,,,,,.1963104,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RTX 3050 8GB 1622 (i312100FRTX30508GB1622),,30293,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rtx-3050-8gb-1622-i312100frtx30508gb1622.html,34819,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1238486693,,,,,.1963243,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 1642 (i510400FRTX30508GB1642),,30985,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-1642-i510400frtx30508gb1642.html,35615,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1238486710,,,,,.1965271,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 12400F RTX 3050 8GB 162 (i512400FRTX30508GB162),,28906,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-12400f-rtx-3050-8gb-162-i512400frtx30508gb162.html,33225,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238486815,,,,,.1963106,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RTX 3050 8GB 1641 (i312100FRTX30508GB1641),,30985,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rtx-3050-8gb-1641-i312100frtx30508gb1641.html,35615,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1238486827,,,,,.1967915,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 1621 (Ryzen53600RTX30508GB1621),,27514,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-1621-ryzen53600rtx30508gb1621.html,31625,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1238520110,,,,,.1963099,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RTX 3050 8GB 1610 (i312100FRTX30508GB1610),,29597,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rtx-3050-8gb-1610-i312100frtx30508gb1610.html,34019,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1238520250,,,,,.1963224,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i3 12100F RX 6600 8GB 164 (i312100FRX66008GB164),,30510,1,https://comfy.ua/sistemnyj-blok-qube-qb-i3-12100f-rx-6600-8gb-164-i312100frx66008gb164.html,35069,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238520261,,,,,.1963247,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400F RTX 3050 8GB 3221 (i510400FRTX30508GB3221),,32377,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400f-rtx-3050-8gb-3221-i510400frtx30508gb3221.html,37215,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
1238520282,,,,,.1967922,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB Ryzen 5 3600 RTX 3050 8GB 322 (Ryzen53600RTX30508GB322),,27079,1,https://comfy.ua/sistemnyj-blok-qube-qb-ryzen-5-3600-rtx-3050-8gb-322-ryzen53600rtx30508gb322.html,31125,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
