1258348535,column,column,column,column,1977429,___________huion,huion,__huion_inspiroy_rte100,column,2499,1,httpscomfyuagraficheskijplanshethuioninspiroyrte100html,column,05112025_1721,column,__42,Фастів,0
1258348535,,,,,1977429,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Inspiroy RTE-100,,2499,1,https://comfy.ua/graficheskij-planshet-huion-inspiroy-rte-100.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1258349688,,,,,1977322,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas 24 Plus (GS2402)+перчатка,,44999,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-24-plus-gs2402.html,49999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1258349689,,,,,1977320,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas Pro 24 (4K) (GT2401)+перчатка,,62999,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-24-4k-gt2401.html,69999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1258352030,6826297,BEURER,Электробритва Beurer HL 36,2139,1962051,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Beurer,beurer,Грумер жіночий Beurer HL 36,,2139,1,https://comfy.ua/grumer-zhenskij-beurer-hl-36.html,2677,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1258352033,6803827,BAMIX,Блендер Bamix Baking M200 кремовый (1051.023),17542,1980236,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Bamix,bamix,Блендер заглибний Bamix Baking M200 Cream (1051.023),,23389,1,https://comfy.ua/blender-pogruzhnoj-bamix-baking-m200-cream-1051-023.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1258352036,6796963,CECOTEC,Утюг CECOTEC Fast&Furious 5055 Pro,1699,1969625,Техника для дома >> Мелкая техника >> Утюги >> Утюги Cecotec,cecotec,Праска Cecotec Fast&Furious 5055 Pro (CCTC-05570),,1699,1,https://comfy.ua/utjug-cecotec-fast-furious-5055-pro-cctc-05570.html,1999,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1258352039,,,,,.1978519,Техника для кухни >> Мелкая техника,tescoma,Електричний чайник tescoma 908610 GrandCHEF 1.2 л,,3499,1,https://comfy.ua/jelektricheskij-chajnik-tescoma-908610-grandchef-1-2-l.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1258352056,6687234,GELIUS,Гарнитура GELIUS Pro BlackDots Black (GP-TWS010B),499,1960462,"Аудио, фото и видео >> Наушники >> Наушники Gelius",gelius,Навушники вкладиші бездротові TWS Gelius Pro Reddots TWS Earbuds GP-TWS010 Black (00000082297),,499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-gelius-pro-reddots-tws-earbuds-gp-tws010-black-00000082297.html,699,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1258352056,6639088,GELIUS,Гарнитура GELIUS Pro Reddots TWS Earbuds GP-TWS010 Black,599,1960462,"Аудио, фото и видео >> Наушники >> Наушники Gelius",gelius,Навушники вкладиші бездротові TWS Gelius Pro Reddots TWS Earbuds GP-TWS010 Black (00000082297),,499,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-gelius-pro-reddots-tws-earbuds-gp-tws010-black-00000082297.html,699,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1258352090,,,,,1977335,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Funko,funko,"""Колекційна фігурка FUNKO """"Batman 1989"""" - JOKER WITH HAT WITH CHASE (47709)""",,845,1,https://comfy.ua/kollekcionnaja-figurka-funko-batman-1989-joker-with-hat-with-chase-47709.html,,06.11.2025 1:22,,"вул. Соборна, 42",Фастів,0
