1258728027,6885492,electrolux,_electrolux_e6tb16st,4499,1975861,__________electrolux,electrolux,__electrolux_e6tb16st,column,4499,1,httpscomfyuablenderstacionarnyjelectroluxe6tb16sthtml,column,05112025_1946,column,__42,Фастів,0
1258728027,6885492,ELECTROLUX,Блендер ELECTROLUX E6TB1-6ST,4499,1975861,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Electrolux,electrolux,Блендер стаціонарний Electrolux E6TB1-6ST,,4499,1,https://comfy.ua/blender-stacionarnyj-electrolux-e6tb1-6st.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1258728033,,,,,1982153,Comfy KIDS >> Творчество и развитие >> 3D-творчество >> 3D-творчество 2E,2e,3D-ручка 2E SL 900 Pink (2E-SL-900PK),,849,1,https://comfy.ua/3d-ruchka-2e-sl-900-pink-2e-sl-900pk.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1258728039,6857151,VENTOLUX,Встраиваемый холодильник VENTOLUX BRF 177-243FF,21999,1980381,Техника для кухни >> Крупная техника,ventolux,Холодильник вбудований Ventolux BRF 177-243FF,,21999,1,https://comfy.ua/holodil-nik-vstraivaemyj-ventolux-brf-177-243ff.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1258728044,,,,,1980799,Детские товары >> Подгузники и пеленание,lionelo,Набір пелюшок Lionelo Rainbow Bamboo Box Multicolor,,599,1,https://comfy.ua/nabor-pelenok-lionelo-rainbow-bamboo-box-multicolor.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1258728061,,,,,.1982168,Детские товары >> Игрушки,trefl,Пазли (8 +) Trefl Панорама - На берегу озера Шлірзе 1000 ел. (29035),,329,1,https://comfy.ua/pazly-kartonnye-8-trefl-panorama-na-beregu-ozera-shlirze-1000-jel-29035.html,,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
1258728066,,,,,1980798,Детские товары >> Подгузники и пеленание,lionelo,Набір пелюшок Lionelo Dino Bamboo Box Multicolor,,599,1,https://comfy.ua/nabor-pelenok-lionelo-dino-bamboo-box-multicolor.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1258728069,,,,,1981723,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Djeco,djeco,Фломастери Djeco кисті двосторонні Класика 10 шт. (DJ08800),,455,1,https://comfy.ua/flomastery-djeco-kisti-dvuhstoronnie-klassika-10-sht-dj08800.html,537,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1258728078,,,,,1982154,Comfy KIDS >> Творчество и развитие >> 3D-творчество >> 3D-творчество 2E,2e,3D-ручка 2E SL 900 White (2E-SL-900WH),,849,1,https://comfy.ua/3d-ruchka-2e-sl-900-white-2e-sl-900wh.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1258728080,,,,,1982152,Comfy KIDS >> Творчество и развитие >> 3D-творчество >> 3D-творчество 2E,2e,3D-ручка 2E SL 900 Blue (2E-SL-900BL),,849,1,https://comfy.ua/3d-ruchka-2e-sl-900-blue-2e-sl-900bl.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1258728084,,,,,1982174,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,Пазли (8 +) Trefl Панорама - Колізей на світанку 1000 ел. (29030),,305,1,https://comfy.ua/pazly-kartonnye-8-trefl-panorama-kolizej-na-rassvete-1000-jel-29030.html,,06.11.2025 0:52,,"вул. Соборна, 42",Фастів,0
1258728088,,,,,1982167,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"Пазли (8 +) Trefl Панорама - Гронінген, (Нідерланди) 1000 ел.  (29034)",,275,1,https://comfy.ua/pazly-kartonnye-8-trefl-panorama-groningen-niderlandy-1000-jel-29034.html,,06.11.2025 0:44,,"вул. Соборна, 42",Фастів,0
1258788452,,,,,1954409,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические BerlingerHaus,berlingerhaus,Чайник металевий BerlingerHaus BH 6831N,,1259,1,https://comfy.ua/chajnik-metallicheskij-berlingerhaus-bh-6831n.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1258788516,,,,,976883,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Simax,simax,"Форма для приготування Simax 1,5 л (s6906)",,487,1,https://comfy.ua/forma-dlja-prigotovlenija-simax-1-5-l-s6906.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1258791592,,,,,1962760,Посуда >> Для приготовления >> Сковороды >> Сковороды Lessner,lessner,Сковорода універсальна Lessner Chocolate Line 20 см (88364-20),,535,1,https://comfy.ua/skovoroda-universal-naja-lessner-chocolate-line-20-sm-88364-20.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1258792179,6803890,RAZER,Мышь RAZER DeathAdder Essential 2021 Black (RZ01-03850100-R3M1),1399,1975717,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Razer",razer,Миша дротова ігрова Razer Death Adder Essential 2021 Black (RZ01-03850100-R3M1),,1399,1,https://comfy.ua/mysh-provodnaja-igrovaja-razer-death-adder-essential-2021-black-rz01-03850100-r3m1.html,,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,3
