1258996646,column,column,column,column,1986110,Детские товары >> Прогулки и поездки,lionelo,___lionelo_frode_grey_stone,column,2399,1,httpscomfyuakonvertdljakoljaskilionelofrodegreystonehtml,column,05112025_2100,column,__42,Фастів,0
1258996646,,,,,1986110,Детские товары >> Прогулки и поездки,lionelo,Конверт для коляски Lionelo Frode Grey Stone,,2399,1,https://comfy.ua/konvert-dlja-koljaski-lionelo-frode-grey-stone.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1258996647,6854746,ASUS,Монитор ASUS VG277Q1A (90LM0741-B01170),14999,1984435,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",asus,Монітор Asus VG277Q1A (90LM0741-B01170),,11969,1,https://comfy.ua/monitor-asus-vg277q1a-90lm0741-b01170.html,13999,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1258996648,,,,,1986106,Детские товары >> Кормление >> Подогреватели детских бутылочек >> Подогреватели детских бутылочек Lionelo,lionelo,Підігрівач дитячих пляшечок дорожній Lionelo Thermup Go Pink Baby,,1299,1,https://comfy.ua/podogrevatel-detskih-butylochek-stacionarnyj-lionelo-thermup-go-pink-baby.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1259020382,,,,,1975866,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway 1USB AUTO ID 2A 10W Black+ cable Type C (CW-CHS012CC-BK),,249,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-1usb-auto-id-2a-10w-black-cable-type-c-cw-chs012cc-bk.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1259021492,,,,,1975869,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Мережевий зарядний пристрій Colorway 1USB Quick Charge 3.0 18W Black+ cable Type C (CW-CHS013QCC-BK),,359,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-colorway-1usb-quick-charge-3-0-18w-black-cable-type-c-cw-chs013qcc-bk.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,1
1259106527,,,,,.1950902,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax Spiral Orange 20 см (WL-669322 / A),,435,1,https://comfy.ua/tarelka-supovaja-wilmax-spiral-orange-20-sm-wl-669322-a.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1259106532,,,,,.1950899,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax Spiral Green 20 см (WL-669522 / A),,435,1,https://comfy.ua/tarelka-supovaja-wilmax-spiral-green-20-sm-wl-669522-a.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1259106537,,,,,.1950896,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax Spiral Blue 20 см (WL-669622 / A),,445,1,https://comfy.ua/tarelka-supovaja-wilmax-spiral-blue-20-sm-wl-669622-a.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1259113768,,,,,.1950900,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax Spiral Green 27см (WL-669526 / A),,259,1,https://comfy.ua/tarelka-supovaja-wilmax-spiral-green-27sm-wl-669526-a.html,801,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1259113769,,,,,.1950901,Посуда >> Для сервировки,wilmax,Тарілка супова Wilmax Spiral Green 28.5 см (WL-669528 / A),,299,1,https://comfy.ua/tarelka-supovaja-wilmax-spiral-green-28-5-sm-wl-669528-a.html,969,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1259113825,,,,,1962035,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",makkon,Картридж для лазерних принтерів/БФП Makkon HP CLJP СF351A (130A) 1k cyan (MN-HP-SF351A),,389,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-makkon-hp-cljp-sf351a-130a-1k-cyan-mn-hp-sf351a.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1259114136,6745396,GORENJE,Вытяжка GORENJE TH64E3BG (HQ60TG7),5999,1866202,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gorenje,gorenje,Витяжка вбудована Gorenje TH64E3BG,,5999,1,https://comfy.ua/vytjazhka-vstraivaemaja-gorenje-th64e3bg.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1259114141,6797051,PHILIPS,Выпрямитель PHILIPS BHS510/00 серии 5000,2299,1974534,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Philips,philips,Вирівнювач волосся Philips BHS510/00,,2299,1,https://comfy.ua/vyprjamitel-volos-philips-bhs510-00.html,2899,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,3
1259114194,,,,,1974377,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for Apple iPhone 11 Camera cover Transparent (ARM61046),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-apple-iphone-11-camera-cover-transparent-arm61046.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1259114198,,,,,1974393,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Air for Apple iPhone 13 Pro Max Camera cover Transparent (ARM61254),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-air-for-apple-iphone-13-pro-max-camera-cover-transparent-arm61254.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1259114720,6642037,ELEYUS,Вытяжка ELEYUS GEMINI 800 LED 52 WH,9059,1980027,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка вбудована ELEYUS GEMINI 800 LED 52 WH/,,9059,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-gemini-800-led-52-wh.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1259119541,,,,,1954407,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические BerlingerHaus,berlingerhaus,Чайник металевий BerlingerHaus BH 1078N,,1229,1,https://comfy.ua/chajnik-metallicheskij-berlingerhaus-bh-1078n.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1259119542,,,,,1954406,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические BerlingerHaus,berlingerhaus,Чайник металевий BerlingerHaus BH 1077N,,1287,1,https://comfy.ua/chajnik-metallicheskij-berlingerhaus-bh-1077n.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1259119543,,,,,1954405,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические BerlingerHaus,berlingerhaus,Чайник металевий BerlingerHaus BH 1076N,,1269,1,https://comfy.ua/chajnik-metallicheskij-berlingerhaus-bh-1076n.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1259119544,,,,,1954404,Посуда >> Для напитков >> Чайники металлические >> Чайники металлические BerlingerHaus,berlingerhaus,Чайник металевий BerlingerHaus BH 1075N,,1218,1,https://comfy.ua/chajnik-metallicheskij-berlingerhaus-bh-1075n.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1259122635,,,,,1982159,Техника для кухни >> Мелкая техника,grunhelm,Міксер з чашею Grunhelm GRM662В,,1529,1,https://comfy.ua/mikser-s-chashej-grunhelm-grm662v.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1259123212,,,,,1950883,Посуда >> Для сервировки,wilmax,Блюдце Wilmax 14 см (WL-996099 / A),,90,1,https://comfy.ua/bljudce-wilmax-14-sm-wl-996099-a.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1259124767,6768260,ARDESTO,"Банка ARDESTO Fresh 0,5 л (AR1305SF)",125,1863883,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 500 мл (AR1305SF),,125,1,https://comfy.ua/emkost-dlja-hranenija-ardesto-fresh-500-ml-ar1305sf.html,215,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
1259158631,6809164,AENO,Электрочайник AENO EK3,1399,1984446,Техника для кухни >> Мелкая техника,aeno,Електричний чайник AENO EK3 (AEK0003),,1399,1,https://comfy.ua/catalog/product/view/id/3808243,2259,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1259158662,,,,,1974527,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6 S-FTP 0.5 m (DK-1644-005/B) Blue,,77,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-s-ftp-0-5-m-dk-1644-005-b-blue.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1259158663,,,,,1974528,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель патч-корд Digitus CAT 6 S-FTP 0.5 m (DK-1644-005/BL) Black,,77,1,https://comfy.ua/kabel-patch-kord-digitus-cat-6-s-ftp-0-5-m-dk-1644-005-bl-black.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
1259179340,,,,,1962628,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель HDMI Cablexpert HDMI - HDMI v.2.1 2 m (CCB-HDMI8K-2M),,599,1,https://comfy.ua/kabel-hdmi-cablexpert-hdmi-hdmi-v-2-1-2-m-ccb-hdmi8k-2m.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1259241383,6801955,GRUNHELM,Мультиварка GRUNHELM MC-16T,2799,1975772,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Grunhelm,grunhelm,Мультиварка Grunhelm MC-16T,,3099,1,https://comfy.ua/mul-tivarka-grunhelm-mc-16t.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1259241401,,,,,.1986112,Детские товары >> Детский транспорт,lionelo,Шолом Lionelo Helmet White,,1199,1,https://comfy.ua/shlem-lionelo-helmet-white-1.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1259241402,6804345,ECG,Пылесос ECG VP S 3010 (РН017255),4209,1986276,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ECG,ecg,Пилосос для сухого прибирання з мішком ECG VP S 3010,,4209,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-ecg-vp-s-3010.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1259241409,6809164,AENO,Электрочайник AENO EK3,1399,1984446,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические AENO,aeno,Електричний чайник AENO EK3 (AEK0003),,1399,1,https://comfy.ua/jelektricheskij-chajnik-aeno-ek3-aek0003.html,2259,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1259241413,6806858,ELECTROLUX,Пылесос ELECTROLUX EL61H4SW,7099,1975860,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання без мішка Electrolux EL61H4SW,,7099,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-electrolux-el61h4sw.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1259241422,6796769,PHILIPS,Пылесос PHILIPS FC9557/09,9199,1983718,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Philips,philips,Пилосос для сухого прибирання без мішка Philips FC9557/09,,9199,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-philips-fc9557-09.html,11199,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1259241430,6805801,ASTOR,Электрочайник ASTOR ННВ-2120G,539,1962440,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Astor,astor,Електричний чайник Astor ННВ2120G,,539,1,https://comfy.ua/jelektricheskij-chajnik-astor-nnv2120g.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1259241459,6871363,ASUS,Монитор ASUS VP32UQ Black (90LM06S0-B01E70),16599,1984437,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus VP32UQ (90LM06S0-B01E70),,16599,1,https://comfy.ua/monitor-asus-vp32uq-90lm06s0-b01e70.html,17599,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,0
1259241523,6807720,ROTEX,Термопот ROTEX RTP452-S,1749,1978068,Техника для кухни >> Мелкая техника,rotex,Термопот Rotex RTP452-S,,1749,1,https://comfy.ua/termopot-rotex-rtp452-s.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
1259241531,6807719,ROTEX,Термопот ROTEX RTP352-S,1699,1978067,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Rotex,rotex,Термопот Rotex RTP352-S,,1699,1,https://comfy.ua/termopot-rotex-rtp352-s.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1259351275,,,,,.1547684,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV4235,,1479,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv4235.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1259387079,,,,,.1538801,Телевизоры и мультимедиа >> Аксессуары для ТВ,eagle,Кріплення для телевізора Eagle TV1051,,4699,1,https://comfy.ua/kreplenie-dlja-televizora-eagle-tv1051.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1259421045,6799319,KARCHER,Пылесос KARCHER WD 5 V-25/6/22 YYY (1.628-300.0),7499,1969466,Техника для дома >> Мелкая техника,karcher,Пилосос для сухого прибирання з мішком Karcher WD 5 V-25/5/22 (1.628-300.0),,7499,1,https://comfy.ua/catalog/product/view/id/3814103,8299,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1259423403,,,,,1982727,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Автомобільний зарядний пристрій Promate Drivegear-20w Black,,399,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-promate-drivegear-20w-black.html,499,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1259460277,,,,,1955045,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Lessner,lessner,Набір посуду Lessner 55859 Apple 6 пр.,,1599,1,https://comfy.ua/nabor-posudy-lessner-55859-apple-6-pr.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1259469210,6804343,ECG,Бутербродница ECG S 4232 (РН017253),1409,1986274,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ECG,ecg,Бутербродниця ECG S 4232,,1409,1,https://comfy.ua/buterbrodnica-ecg-s-4232.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1259469214,6804342,ECG,Бутербродница ECG S 3173 (РН017252),2079,1986273,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ECG,ecg,Бутербродниця ECG S 3173,,2079,1,https://comfy.ua/buterbrodnica-ecg-s-3173.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1259474609,,,,,1955071,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Lessner,lessner,Набір посуду Lessner 55877-set6 6 пр.,,3095,1,https://comfy.ua/nabor-posudy-lessner-55877-set6-6-pr.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
