1259622575,6375675,sigikid,__sigikid_215_24441sk,247,1254156,____________sigikid,sigikid,__sigikid_rainbow_rabbit_24441sk,column,300,1,httpscomfyuatarelkaobedennajasigikidrainbowrabbit24441skhtml,column,05112025_2026,column,__42,Фастів,0
1259622575,6375675,SIGIKID,Тарелка десертная SIGIKID 21.5см (24441SK),247,1254156,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Rainbow Rabbit 24441SK,,300,1,https://comfy.ua/tarelka-obedennaja-sigikid-rainbow-rabbit-24441sk.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1259622576,6375671,SIGIKID,Салатник SIGIKID 15 см (24774SK),240,1254158,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка супова Sigikid Sammy Samoa 24774SK,,292,1,https://comfy.ua/tarelka-supovaja-sigikid-sammy-samoa-24774sk.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1259622577,,,,,.1951697,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Orange 23 см (WL-669319 / A),,375,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-orange-23-sm-wl-669319-a.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1259622579,,,,,1951695,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Green 23 см (WL-669519 / A),,389,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-green-23-sm-wl-669519-a.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1259622666,,,,,.1951693,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Yellow 23 см (WL-669419 / A),,315,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-yellow-23-sm-wl-669419-a.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1259622667,,,,,.1951691,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Red 23 см (WL-669219 / A),,315,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-red-23-sm-wl-669219-a.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1259622669,,,,,.1951687,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Lavander 23 см (WL-669719 / A),,375,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-lavander-23-sm-wl-669719-a.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1259622670,,,,,.1951685,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Blue 23 см (WL-669619 / A),,390,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-blue-23-sm-wl-669619-a.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1259622671,,,,,.1951683,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Yellow 25.5 см (WL-669414 / A),,315,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiralyellow-25-5-sm-wl-669414-a.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1259622672,6375722,SIGIKID,Тарелка десертная SIGIKID 21.5 см (24815SK),267,1254152,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Arrows 24815SK,,324,1,https://comfy.ua/tarelka-obedennaja-sigikid-arrows-24815sk.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1259622673,6375725,SIGIKID,Тарелка десертная SIGIKID 21.5 см (24777SK),267,1254154,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Finky Pinky 24777SK,,324,1,https://comfy.ua/tarelka-obedennaja-sigikid-finky-pinky-24777sk.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1259622674,6375723,SIGIKID,Тарелка десертная SIGIKID 21.5 см (24772SK),267,1254157,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Sigikid,sigikid,Тарілка обідня Sigikid Sammy Samoa 24772SK,,324,1,https://comfy.ua/tarelka-obedennaja-sigikid-sammy-samoa-24772sk.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1259622742,,,,,.1951698,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Orange 28 см (WL-669320 / A),,379,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-orange-28-sm-wl-669320-a.html,628,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1259622744,,,,,.1951694,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Yellow 28 см (WL-669420 / A),,399,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-yellow-28-sm-wl-669420-a.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
1259622748,,,,,.1951686,Посуда >> Для сервировки,wilmax,Тарілка обідня Wilmax Spiral Blue 28 см (WL-669620 / A),,399,1,https://comfy.ua/tarelka-obedennaja-wilmax-spiral-blue-28-sm-wl-669620-a.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1259623631,6375617,SIGIKID,Стакан SIGIKID 24817SK,194,1254189,Посуда >> Для напитков >> Стаканы >> Стаканы Sigikid,sigikid,Склянка Sigikid Arrows 24817SK,,235,1,https://comfy.ua/stakan-sigikid-arrows-24817sk.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1259642847,,,,,1987942,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные A4tech",a4tech,Миша бездротова A4tech FB12 Black USB,,479,1,https://comfy.ua/mysh-besprovodnaja-a4tech-fb12-black-usb.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1259645798,,,,,1988526,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры A4tech",a4tech,Клавіатура + миша бездротова A4tech FG1012 Black USB,,949,1,https://comfy.ua/klaviatura-mysh-besprovodnaja-a4tech-fg1012-black-usb.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
