1259822052,column,column,column,column,1973950,Инструменты и автотовары >> Ручные инструменты,knipex,__knipex_cobolt_71_41_200,column,2775,1,httpscomfyuanozhnicyarmaturnyeknipexcobolt7141200html,column,05112025_2159,column,__42,Фастів,0
1259822052,,,,,1973950,Инструменты и автотовары >> Ручные инструменты,knipex,Ножиці арматурні KNIPEX CoBolt (71 41 200),,2775,1,https://comfy.ua/nozhnicy-armaturnye-knipex-cobolt-71-41-200.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1259822053,,,,,1973965,Инструменты и автотовары >> Ручные инструменты,king-tony,Ножиці арматурні KING TONY 30'' (6131-30),,2959,1,https://comfy.ua/nozhnicy-armaturnye-king-tony-30-6131-30.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1259822055,,,,,1973946,Инструменты и автотовары >> Ручные инструменты,knipex,Ножиці арматурні KNIPEX CoBolt (71 22 200),,2949,1,https://comfy.ua/nozhnicy-armaturnye-knipex-cobolt-71-22-200.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1259822056,,,,,.1973966,Инструменты и автотовары >> Ручные инструменты,king-tony,Ножиці арматурні KING TONY 42'' (6131-42),,6019,1,https://comfy.ua/nozhnicy-armaturnye-king-tony-42-6131-42.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
1259823344,6801957,GRUNHELM,Гриль GRUNHELM G1622,1899,1975778,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Grunhelm,grunhelm,Гриль-барбекю електричний Grunhelm G1622,,1899,1,https://comfy.ua/gril-barbekju-jelektricheskij-grunhelm-g1622.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1259823350,6801956,GRUNHELM,Гриль GRUNHELM G1866,1999,1975775,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Grunhelm,grunhelm,Гриль-барбекю електричний Grunhelm G1866,,1999,1,https://comfy.ua/gril-barbekju-jelektricheskij-grunhelm-g1866.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1259825317,6824109,DARIO,Весы напольные DARIO DFS-2818F Branch,452,1984440,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Dario,dario,Ваги підлогові Dario DFS-2818F Branch,,455,1,https://comfy.ua/vesy-napol-nye-dario-dfs-2818f-branch.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1259825387,6801954,GRUNHELM,Весы напольные elec GRUNHELM BES- PAT20,339,1982236,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Grunhelm,grunhelm,Ваги підлогові Grunhelm BES- PAT20,,379,1,https://comfy.ua/vesy-napol-nye-grunhelm-bes-pat20.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1259825527,,,,,1982230,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов BeCover,becover,Ремінець для фітнес-браслету BeCover for Xiaomi Redmi Smart Band Pro White (707176),,179,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-becover-for-xiaomi-redmi-smart-band-pro-white-707176.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1259826072,,,,,.1718648,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asrock,Материнська плата ASRock A520M-HVS Socket AM4,,2199,1,https://comfy.ua/materinskaja-plata-asrock-a520m-hvs-socket-am4.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
