1314496130,column,column,column,column,1830485,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_usb_type_a__usb_type_b_ugreen_us135_usba_20__usbb_20_15_m_black_10350,column,189,1,httpscomfyuakabelusbtypeausbtypebugreenus135usba20usbb2015mblack10350html,column,05112025_1756,column,__42,Фастів,0
1314496130,,,,,1830485,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель USB type A - USB type B UGREEN US135 USB-A 2.0 - USB-B 2.0 1.5 m Black (10350),,189,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-ugreen-us135-usb-a-2-0-usb-b-2-0-1-5-m-black-10350.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1314496135,,,,,2000413,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель Optical UGREEN AV122 Toslink-Toslink Optical 1 m (708900),,239,1,https://comfy.ua/kabel-opticheskij-ugreen-av122-toslink-toslink-optical-1-m-708900.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1314496139,,,,,1989974,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",ugreen,Хаб USB UGREEN CM219 4-port 15см USB 3.0 Gray (50985),,649,1,https://comfy.ua/hab-usb-ugreen-cm219-4-port-15sm-usb-3-0-gray-50985.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1314496140,,,,,2000917,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель Optical UGREEN AV122 Toslink-Toslink Optical 2 m (70892),,299,1,https://comfy.ua/kabel-opticheskij-ugreen-av122-toslink-toslink-optical-2-m-70892.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1314496142,,,,,1989972,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Хаб USB UGREEN CM473 4-port 1м USB 2.0 Gray (20841),,899,1,https://comfy.ua/hab-usb-ugreen-cm473-4-port-1m-usb-2-0-gray-20841.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1314499723,7088063,PEUGEOT,Мельница для соли PEUGEOT Fidji 15 см (33811),4593,1958709,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 15 см 33811,,5560,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-15-sm-33811.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1314502303,6811061,GOODRAM,Флеш-драйв GOODRAM 64GB USB 3.0 Eco Friendly Retail (UME3-0640EFR11),229,2012556,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Goodram",goodram,Флеш USB Goodram 64GB USB 3.0 UME3 Eco Friendly (UME3-0640EFR11),,279,1,https://comfy.ua/flesh-usb-goodram-64gb-usb-3-0-ume3-eco-friendly-ume3-0640efr11.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1314503622,,,,,1983429,Посуда >> Для приготовления,berghoff,Кришка для посуду Berghoff 3950322 LEO STONE 20 см,,619,1,https://comfy.ua/kryshka-dlja-posudy-berghoff-3950322-leo-stone-20-sm.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1314503623,,,,,1983430,Посуда >> Для приготовления,berghoff,Кришка для посуду Berghoff 3950324 LEO STONE 28 см,,829,1,https://comfy.ua/kryshka-dlja-posudy-berghoff-3950324-leo-stone-28-sm.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1314508111,6622786,GUSTO,Ложка GUSTO GT-5206,94,1974329,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Gusto,gusto,Ложка кухарська Gusto 100753,,62,1,https://comfy.ua/lozhka-povarskaja-gusto-100753.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1314540969,6854803,SKYDOLPHIN,Гарнитура SKYDOLPHIN SR24 Metal Gray (HF-000462),199,2013342,"Аудио, фото и видео >> Наушники >> Наушники SkyDolphin",skydolphin,Навушники вкладиші дротові SkyDolphin SR24 Metal Gray (HF-000462),,199,1,https://comfy.ua/naushniki-vkladyshi-provodnye-skydolphin-sr24-metal-gray-hf-000462.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1314540995,6854801,SKYDOLPHIN,Наушники SKYDOLPHIN SR19 White (HF-000408),79,2013341,"Аудио, фото и видео >> Наушники >> Наушники SkyDolphin",skydolphin,Навушники вкладиші дротові SkyDolphin SR19 White (HF-000408),,79,1,https://comfy.ua/naushniki-vkladyshi-provodnye-skydolphin-sr19-white-hf-000408.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1314541000,6854807,SKYDOLPHIN,Гарнитура SKYDOLPHIN TWS SL24 White (BTE-000179),719,2013348,"Аудио, фото и видео >> Наушники >> Наушники SkyDolphin",skydolphin,Навушники вкладиші бездротові TWS SkyDolphin SL24 White (BTE-000179),,719,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-skydolphin-sl24-white-bte-000179.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1314572131,6796117,TECHNICS,Гарнитура TECHNICS ANC Hi-Res Wireless Black (EAH-A800G-K),12999,1994453,"Аудио, фото и видео >> Наушники",technics,Навушники повнорозмірні бездротові Technics EAH-A800G-K,,10999,1,https://comfy.ua/catalog/product/view/id/3928623,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1314573221,6787673,FIRST,Фен FIRST 5654-9-BA,646,2012538,Красота и здоровье >> Уход за волосами >> Фены >> Фены First,first,Фен First FA-5654-9-BA,,629,1,https://comfy.ua/fen-first-fa-5654-9-ba.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1314573222,6787664,FIRST,Фен FIRST Austria 5654-9-SI,797,2012539,Красота и здоровье >> Уход за волосами >> Фены >> Фены First,first,Фен First FA-5654-9-SI,,589,1,https://comfy.ua/fen-first-fa-5654-9-si.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1314590253,6788562,DEFENDER,Кресло DEFENDER Pilot Black/Red (64354),7401,1999968,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Defender",defender,Крісло для геймерів Defender Pilot Black/Red (64354),,6229,1,https://comfy.ua/kreslo-dlja-gejmerov-defender-pilot-black-red-64354.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
