1327718913,column,column,column,column,1999951,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,__cablexpert_ftp_cat6_3__gray_ppb63m,column,199,1,httpscomfyuakabelpatchkordcablexpertftpcat63mgrayppb63mhtml,column,05112025_1845,column,__42,Фастів,0
1327718913,,,,,1999951,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель патч-корд Cablexpert FTP Cat6 3 м Gray (PPB6-3M),,199,1,https://comfy.ua/kabel-patch-kord-cablexpert-ftp-cat6-3-m-gray-ppb6-3m.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1327718998,,,,,1999952,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель патч-корд Cablexpert FTP Cat6 5 м Gray (PPB6-5M),,299,1,https://comfy.ua/kabel-patch-kord-cablexpert-ftp-cat6-5-m-gray-ppb6-5m.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,2
1327718999,,,,,1999949,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель патч-корд Cablexpert FTP Cat6 20 м Gray (PPB6-20M),,559,1,https://comfy.ua/kabel-patch-kord-cablexpert-ftp-cat6-20-m-gray-ppb6-20m.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1327743799,,,,,.2000195,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Підставка під ноутбук охолоджуюча Gembird NBS-2F15-05,,429,1,https://comfy.ua/podstavka-pod-noutbuk-gembird-nbs-2f15-05.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1327873066,7170423,PERFELLI,Вытяжка PERFELLI CQE 4692 I 1000 LED,17599,1970741,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli CQE 4692 I 1000 LED,,17599,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-cqe-4692-i-1000-led.html,21999,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1327873067,7170422,PERFELLI,Вытяжка PERFELLI CGS 9632 I 1000 LED,18399,1970740,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli CGS 9632 I 1000 LED,,18399,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-cgs-9632-i-1000-led.html,22999,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1327873112,7170424,PERFELLI,Вытяжка PERFELLI CRE 3673 I 1000 LED,19999,1970742,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli CRE 3673 I 1000 LED,,19999,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-cre-3673-i-1000-led.html,25999,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1327873114,7170425,PERFELLI,Вытяжка PERFELLI CSE 4685 I 1000 LED,16899,1970743,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli CSE 4685 I 1000 LED,,16899,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-cse-4685-i-1000-led.html,25999,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1327899597,,,,,.2000930,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",cablexpert,Хаб USB Cablexpert A-CM-COMBO2-01,,649,1,https://comfy.ua/hab-usb-cablexpert-a-cm-combo2-01.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1327915690,,,,,1186943,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Elica,elica,Варильна поверхня  електрична Elica NIKOLATESLA BL/A/83,,86999,1,https://comfy.ua/harkov/varochnaja-panel-jelektricheskaja-elica-nikolatesla-bl-a-83.html,99999,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1327981441,,,,,2004614,Техника для кухни >> Крупная техника,grunhelm,Витяжка декоративна Grunhelm GVN 325 W,,3499,1,https://comfy.ua/vytjazhka-dekorativnaja-grunhelm-gvn-325-w.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1328008051,6740924,RINGEL,Кастрюля RINGEL Hanover 2.3 л (RG-2005/1-18),645,2033787,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Hanover 18 см 2.3 л (RG-2005/1-18),,942,1,https://comfy.ua/kastrjulja-ringel-hanover-18-sm-2-3-l-rg-2005-1-18.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1328008052,6740925,RINGEL,Кастрюля RINGEL Hanover 3.5 л (RG-2005/1-20),751,2033788,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Hanover 20 см 3.5 л (RG-2005/1-20),,751,1,https://comfy.ua/kastrjulja-ringel-hanover-20-sm-3-5-l-rg-2005-1-20.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1328008053,6740926,RINGEL,Кастрюля RINGEL Hanover 4.5 л (RG-2005/1-22),869,2033789,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ringel,ringel,Каструля Ringel Hanover 22 см 4.5 л (RG-2005/1-22),,869,1,https://comfy.ua/kastrjulja-ringel-hanover-22-sm-4-5-l-rg-2005-1-22.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1328012779,,,,,1866908,"Детские товары >> Уход, купание и гигиена",tega-baby,Дитяча ванночка Tega Baby Комфорт 2 в 1 анатомічна Світло-рожева (TG-011-104),,515,1,https://comfy.ua/detskaja-vannochka-tega-baby-komfort-2-v-1-anatomicheskaja-svetlo-rozovaja-tg-011-104.html,609,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1328013133,6672600,LEOV,Бойлер LEOV LV Slim Dry 30 l,7499,1760851,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Leov,leov,Водонагрівач Leov LV Slim Dry 30 l,,7535,1,https://comfy.ua/vodonagrevatel-leov-lv-slim-dry-30-l.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1328021887,,,,,2032185,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Intaleo,intaleo,"Автомобільний зарядний пристрій Intaleo CCG482 (2USB4,8A) Gray",,249,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-intaleo-ccg482-2usb4-8a-gray.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
1328030754,6672571,LEOV,Бойлер LEOV LV 30 l,5449,1761669,Техника для дома >> Крупная техника,leov,Водонагрівач Leov LV 30 l,,5449,1,https://comfy.ua/vodonagrevatel-leov-lv-30-l.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1328663413,6627862,BOSCH,Пылесос BOSCH BWD421POW,13999,2035574,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос миючий з аквафільтром Bosch BWD421POW,,13999,1,https://comfy.ua/pylesos-mojuschij-s-akvafil-trom-bosch-bwd421pow.html,15549,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1328670591,6819927,LG,Телевизор LG 32LQ63006LA,9999,2036793,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры LG,lg,Телевізор LG 32LQ63006LA,,9999,1,https://comfy.ua/televizor-lg-32lq63006la.html,11999,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1328670603,6819928,LG,Телевизор LG 32LQ630B6LA,8999,2036792,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры LG,lg,Телевізор LG 32LQ630B6LA,,8999,1,https://comfy.ua/televizor-lg-32lq630b6la.html,9999,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,1
1328670784,,,,,.1986041,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC 120 (90RC0050-M0UAY0),,4069,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-120-90rc0050-m0uay0.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1328670786,,,,,.1986046,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC II 240 ARGB (90RC00E1-M0UAY0),,6199,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-ii-240-argb-90rc00e1-m0uay0.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1328670787,,,,,.1986043,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Strix LC 240 RGB (90RC0062-M0UAY0),,4869,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-strix-lc-240-rgb-90rc0062-m0uay0.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1328670788,,,,,.1986040,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Водяна система охолодження Asus ROG Ryuo 2x120 мм Aura OLED (90RC0040-M0UAY0),,5399,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-asus-rog-ryuo-2x120-mm-aura-oled-90rc0040-m0uay0.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
1328671112,6819929,LG,Телевизор LG 32LQ63806LC,11999,2036794,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры LG,lg,Телевізор LG 32LQ63806LC,,11999,1,https://comfy.ua/televizor-lg-32lq63806lc.html,12499,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1328671224,,,,,.2034334,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ATX без блока живлення Moonlight FRGB-White,,2079,1,https://comfy.ua/korpus-gamemax-atx-bez-bloka-pitanija-moonlight-frgb-white.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1328671234,,,,,.2035287,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Meshify 2 Compact Black TG DT (FD-C-MES2C-02),,8049,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-meshify-2-compact-black-tg-dt-fd-c-mes2c-02.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1328710322,,,,,1382640,Техника для кухни >> Мелкая техника,severin,Цитрус-прес Severin CP 3534,,2759,1,https://comfy.ua/odessa/citrus-press-severin-cp-3534.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1328712219,,,,,1664793,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Interline,interline,Варильна поверхня Domino Interline HGG 734 FGT BA,,4999,1,https://comfy.ua/varochnaja-panel-domino-interline-hgg-734-fgt-ba-harakteristiki.html,5799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1331275331,6499105,TRAMONTINA,Набор ножей TRAMONTINA Affilata 7 пр (23699/054),2218,2037222,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Набір ножів Tramontina Affilata 7 пр. (23699/054),,2233,1,https://comfy.ua/nabor-nozhej-tramontina-affilata-7-pr-23699-054.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1331285630,6792796,VILGRAND,Мясорубка VILGRAND V203-BRMG Black,2459,1713768,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки ViLgrand,vilgrand,М'ясорубка ViLgrand V203-BRMG Black,,2459,1,https://comfy.ua/mjasorubka-vilgrand-v203-brmg-black.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1331294763,6324589,GUNTER & HAUER,Духовой шкаф GUNTER & HAUER EOK 4502,23999,1200846,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gunter&Hauer,gunterhauer,Духова шафа електрична Gunter & Hauer EOK 4502,,23999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gunter-hauer-eok-4502.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1331392231,6852244,GRANADO,Варочная поверхность GRANADO GGH 62-114 Black Glass (GGH1621145),9589,2031337,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели GRANADO,granado,Варильна поверхня газова GRANADO GGH 62-114 Black Glass,,9590,1,https://comfy.ua/varochnaja-panel-gazovaja-granado-ggh-61-114-black-glass.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1331827985,,,,,2033121,Техника для кухни >> Крупная техника,vestfrost,Посудомийна машина вбудована Vestfrost BDW6012IL,,16299,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-vestfrost-bdw6012il.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1331940490,6852219,GRANADO,Вытяжка GRANADO Telde 602-700 Black (GCH216211),2990,2031317,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 602-700 Black,,2990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-602-700-black.html,3990,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1331940494,6852226,GRANADO,Вытяжка GRANADO Palamos 3603-700 White,4589,2031325,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Palamos 3603-700 White,,4589,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-palamos-3603-700-white.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1331940495,6852227,GRANADO,Вытяжка GRANADO Palamos 3603-700 Inox,4343,2031332,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Palamos 3603-700 Inox,,4590,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-palamos-3603-700-inox.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1331940496,6852225,GRANADO,Вытяжка GRANADO Palamos 3603-700 Black,4589,2031333,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Palamos 3603-700 Black,,4589,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-palamos-3603-700-black.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1331940506,6852220,GRANADO,Вытяжка GRANADO Telde 602-700 White (GCH226255),2990,2031318,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 602-700 White,,2990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-602-700-white.html,3990,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1331940509,6852221,GRANADO,Вытяжка GRANADO Telde 602-700 Inox (GCH236277),2990,2031319,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 602-700 Inox,,2990,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-602-700-inox.html,3990,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1331941821,6852213,GRANADO,Вытяжка GRANADO Telde 603-700 Black (GCH246311),3989,2031320,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Black,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-black.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1331941823,6852214,GRANADO,Вытяжка GRANADO Telde 603-700 White (GCH256355),3989,2031321,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 White,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-white.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1331941829,6852215,GRANADO,Вытяжка GRANADO Telde 603-700 Inox (GCH266377),3989,2031322,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки GRANADO,granado,Витяжка вбудована GRANADO Telde 603-700 Inox,,3989,1,https://comfy.ua/vytjazhka-vstraivaemaja-granado-telde-603-700-inox.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
