1334518174,column,column,column,column,2047416,"Дом, отдых и зоотовары >> Декор для дома",ideyka,___ideyka_______40x50__kho2857,column,295,1,httpscomfyuakartinaponomeramidejkazvjozdnajanochcvinsentvangog40x50smkho2857html,column,05112025_2011,column,__42,Фастів,0
1334518174,,,,,2047416,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Зоряна ніч © Вінсент Ван Гог"""" 40x50 см (KHO2857)""",,295,1,https://comfy.ua/kartina-po-nomeram-idejka-zvjozdnaja-noch-c-vinsent-van-gog-40x50-sm-kho2857.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1334518597,6805875,GORENJE,Мясорубка GORENJE MG1802SJW (MG2014DC) (739980),5299,2043571,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Gorenje,gorenje,М'ясорубка Gorenje MG1802SJW (MG2014DC),,5099,1,https://comfy.ua/mjasorubka-gorenje-mg1802sjw-mg2014dc.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1334518598,6805874,GORENJE,Мясорубка GORENJE MG2502SJX (MG3014DC) (740012),6684,2043570,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Gorenje,gorenje,М'ясорубка Gorenje MG2502SJX (MG3014DC),,6209,1,https://comfy.ua/mjasorubka-gorenje-mg2502sjx-mg3014dc.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1334519408,6673316,OSCAR,Сковорода Oscar Grand 26 см (OSR-1103-26),679,2043956,Посуда >> Для приготовления,oscar,Сковорода універсальна OSCAR Grand 26 см (OSR-1103-26),,765,1,https://comfy.ua/skovoroda-universal-naja-oscar-grand-26-sm-osr-1103-26.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1334519420,6673317,OSCAR,Сковорода OSCAR GRAND 28 см (OSR-1103-28),699,2043957,Посуда >> Для приготовления >> Сковороды >> Сковороды OSCAR,oscar,Сковорода універсальна OSCAR Grand 28 см (OSR-1103-28),,797,1,https://comfy.ua/skovoroda-universal-naja-oscar-grand-28-sm-osr-1103-28.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
1334544672,,,,,2047435,"Дом, отдых и зоотовары >> Декор для дома",ideyka,"""Картина за номерами Ideyka """"Дівчина з перловою сережкою © Ян Вермер"""" 40x50 см (KHO4817)""",,295,1,https://comfy.ua/kartina-po-nomeram-idejka-devushka-s-zhemchuzhnoj-serjozhkoj-c-jan-vermer-40x50-sm-kho4817.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1334648357,6656975,OSCAR,Лопатка OSCAR Grand (OSR-5007/13-2),195,2043942,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OSCAR,oscar,Лопатка кухонна OSCAR Grand (OSR-5007/13-2),,195,1,https://comfy.ua/lopatka-kuhonnaja-oscar-grand-osr-5007-13-2.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1334669391,6656970,OSCAR,Шумовка OSCAR Grand (OSR-5007/6),199,2043939,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OSCAR,oscar,Шумовка OSCAR Grand (OSR-5007/6),,199,1,https://comfy.ua/shumovka-oscar-grand-osr-5007-6.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1334675554,6656969,OSCAR,Ложка OSCAR Grand (OSR-5007/3),195,2041324,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OSCAR,oscar,Ложка кухарська OSCAR Grand (OSR-5007/3),,195,1,https://comfy.ua/lozhka-povarskaja-oscar-grand-osr-5007-3.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1334693246,6656981,OSCAR,Нож для овощей OSCAR Grand 8.5 см (OSR-11000-1),75,2041322,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы OSCAR,oscar,Ніж для овочів OSCAR Grand 8.5 см (OSR-11000-1),,84,1,https://comfy.ua/nozh-dlja-ovoschej-oscar-grand-8-5-sm-osr-11000-1.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1334708518,,,,,2033589,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE A4 Aluminum Gray (QBA4I_WGNU3),,5999,1,https://comfy.ua/korpus-qube-a4-aluminum-gray-qba4i-wgnu3.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1334708523,,,,,.2033578,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE V9 Aluminum Black (QBV9M_WBNU3),,2999,1,https://comfy.ua/korpus-qube-v9-aluminum-black-qbv9m-wbnu3.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1334709346,,,,,2033587,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE A4 Aluminum Silver (QBA4I_WSNU3),,4999,1,https://comfy.ua/korpus-qube-a4-aluminum-silver-qba4i-wsnu3.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
