1335320551,6673318,oscar,_oscar_chef_28x28__black_osr810128,815,2043926,________oscar,oscar,__oscar_chef_28__osr810128,column,815,1,httpscomfyuaskovorodagriloscarchef28smosr810128html,column,05112025_2106,column,__42,Фастів,0
1335320551,6673318,OSCAR,Сковорода-гриль OSCAR Chef 28x28 см Black (OSR-8101-28),815,2043926,Посуда >> Для приготовления >> Сковороды >> Сковороды OSCAR,oscar,Сковорода гриль OSCAR Chef 28 см (OSR-8101-28),,815,1,https://comfy.ua/skovoroda-gril-oscar-chef-28-sm-osr-8101-28.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1335320872,,,,,1984449,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Western Digital",western-digital,Жорсткий диск зовнішній Western Digital 3.5'' 16TB My Book Desktop (WDBBGB0160HBK-EESN),,17339,1,https://comfy.ua/zhestkij-disk-vneshnij-western-digital-3-5-16tb-my-book-desktop-wdbbgb0160hbk-eesn.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1335320873,,,,,1984450,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Western Digital",western-digital,Жорсткий диск зовнішній Western Digital 3.5'' 18TB My Book Desktop (WDBBGB0180HBK-EESN),,18879,1,https://comfy.ua/zhestkij-disk-vneshnij-western-digital-3-5-18tb-my-book-desktop-wdbbgb0180hbk-eesn.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1335321597,6915718,GEMBIRD,Мышь GEMBIRD MUSGW-6BL-01 Black (MUSGW-6BL-01),379,2050094,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Gembird",gembird,Миша бездротова ігрова Gembird MUSGW-6BL-01,,295,1,https://comfy.ua/mysh-besprovodnaja-igrovaja-gembird-musgw-6bl-01.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1335403867,,,,,2051321,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Точка доступу MikroTik RBOMNITIKUPA-5HND,,3719,1,https://comfy.ua/tochka-dostupa-mikrotik-rbomnitikupa-5hnd.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1335424673,6806806,KINGSTON,Флеш-драйв KINGSTON DT Exodia M 64GB USB 3.2 Blue (DTXM/64GB),199,2051320,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Kingston",kingston,Флеш USB Kingston DataTraveler Exodia M 64GB Black/Blue (DTXM/64GB),,209,1,https://comfy.ua/flesh-usb-kingston-datatraveler-exodia-m-64gb-black-blue-dtxm-64gb.html,,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,2
1335424678,,,,,2051323,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",kingston,Флеш USB Kingston DataTraveler Exodia M 128GB Black/Red (DTXM/128GB),,329,1,https://comfy.ua/flesh-usb-kingston-datatraveler-exodia-m-128gb-black-red-dtxm-128gb.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,2
1335445368,6809158,AENO,Очиститель воздуха AENO AP2S,5699,1984444,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха AENO,aeno,Очищувач повітря AENO AP2S (AAP0002S),,5699,1,https://comfy.ua/ochistitel-vozduha-aeno-ap2s-aap0002s.html,13799,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1335445909,,,,,1709624,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Lanka Novelties,lanka-novelties,"Фігурки тварини Lanka Novelties Ящірка Плащеносная, 55 см (21550)",,399,1,https://comfy.ua/figurka-zhivotnogo-lanka-novelties-jascherica-plaschenosnaja-55-sm-21550.html,,06.11.2025 1:18,,"вул. Соборна, 42",Фастів,0
1335447546,6807650,XIAOMI,Медиаплеер XIAOMI Mi TV Stick 4K - EU (AN),2299,2052114,Телевизоры и мультимедиа >> Мультимедиа и звук >> Медиаплееры >> Медиаплееры Xiaomi,xiaomi,Стаціонарний медіаплеєр Xiaomi Mi TV Stick 4K,,2299,1,https://comfy.ua/stacionarnyj-mediapleer-xiaomi-mi-tv-stick-4k.html,2599,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
