1350762551,6626079,haisser,_haisser_23506_94646,257,2049418,____________haisser,haisser,__haisser_25__23506,column,329,1,httpscomfyuanozhstroitelnyjhaisser25mm23506html,column,05112025_2125,column,__42,Фастів,0
1350762551,6626079,HAISSER,Нож HAISSER 23506 (94646),257,2049418,Инструменты и автотовары >> Ручные инструменты >> Ножи строительные >> Ножи строительные Haisser,haisser,Ніж будівельний Haisser 25 мм (23506),,329,1,https://comfy.ua/nozh-stroitel-nyj-haisser-25-mm-23506.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1350762553,6528893,NEO TOOLS,Нож NEO Tools с фиксатором (63-026),639,2042490,Инструменты и автотовары >> Ручные инструменты >> Ножи строительные >> Ножи строительные Neo Tools,neo-tools,Ніж будівельний Neo Tools 63-026,,639,1,https://comfy.ua/nozh-stroitel-nyj-neo-tools-63-026.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1350762592,,,,,.2040989,Инструменты и автотовары >> Ручные инструменты,topex,Ключ торцевий TOPEX 24х290 мм (35D177),,249,1,https://comfy.ua/kljuch-torcevoj-topex-24h290-mm-35d177.html,,05.11.2025 22:39,,"вул. Соборна, 42",Фастів,0
1350762595,,,,,.1998105,Инструменты и автотовары >> Ручные инструменты,haisser,"""Ключ-трiскачка Haisser 3/8"""" та 1/4"""" 72 зуби""",,389,1,https://comfy.ua/kljuch-treschetka-haisser-3-8-i-1-4-72-zuba.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1350762596,,,,,.1998106,Инструменты и автотовары >> Ручные инструменты,haisser,"""Ключ-трiскачка Haisser 1/4"""" 72 зуба""",,389,1,https://comfy.ua/kljuch-treschetka-haisser-1-4-72-zuba-1.html,,05.11.2025 22:40,,"вул. Соборна, 42",Фастів,0
1350763344,,,,,.1998102,Инструменты и автотовары >> Ручные инструменты,haisser,Набір ключів Haisser Г-подібних HEX S2 1.5-10 мм 9 шт.,,549,1,https://comfy.ua/nabor-kljuchej-haisser-g-obraznyj-hex-s2-1-5-10-mm-9-sht.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
1350763345,6797521,TOLSEN,Ключ разводной TOLSEN 0 - 35 мм (15004),361,1999733,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Tolsen,tolsen,Развідний ключ Tolsen 300 мм (15004),,425,1,https://comfy.ua/razvodnoj-kljuch-tolsen-300-mm-15004.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1350772513,,,,,.1979222,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA Samsung Galaxy S22 матова (DV-SM-S22M),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-samsung-galaxy-s22-matovaja-dv-sm-s22m.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1350772618,,,,,2045919,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфона DEVIA Xiaomi Redmi Note 11/Note 11S (DV-XM-RMNT11-11s),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-xiaomi-redmi-note-11-note-11s-dv-xm-rmnt11-11s.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1350774698,,,,,1999719,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм -3.5 мм UGREEN AV134 AUX 3.5мм - TRSx2 M/F 0.25 m Black (20816),,199,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-ugreen-av134-aux-3-5mm-trsx2-m-f-0-25-m-black-20816.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1350774706,,,,,1977066,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Nimble USB-Lightning 0.23m Black (CALMBJ-B01),,139,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-nimble-usb-lightning-0-23m-black-calmbj-b01.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1350774951,,,,,1977050,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Superior Fast Charging USB-C-Lightning 1m Black (CATLYS-A01),,209,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-superior-fast-charging-usb-c-lightning-1m-black-catlys-a01.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
