1353919978,column,column,column,column,2082817,"Дом, отдых и зоотовары >> Текстиль",ekopups,______premium__70140255___70140,column,955,1,httpscomfyuanamatrasnikdetskijjekopupsnepromokaemyjcheholpremiumrazmer70h140h255smbelyjpnamch70140bhtml,column,05112025_1939,column,__42,Фастів,0
1353919978,,,,,.2082817,"Дом, отдых и зоотовары >> Текстиль",eko-pups,Наматрацник дитячий ЕКО ПУПС непромокальний чохол Premium розмір 70х140х25.5 см білий (ПНАМЧ70140б),,955,1,https://comfy.ua/namatrasnik-detskij-jeko-pups-nepromokaemyj-chehol-premium-razmer-70h140h25-5-sm-belyj-pnamch70140b.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1354260462,,,,,2069717,Техника для кухни >> Крупная техника,zirtal,Витяжка вбудована Zirtal GRUPPO 5 BL TOUCH,,3217,1,https://comfy.ua/vytjazhka-vstraivaemaja-zirtal-gruppo-5-bl-touch.html,5499,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1354280700,6811728,VENTOLUX,Вытяжка VENTOLUX PUNTO 520/279 BG (1000) TRC,6133,2086523,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка вбудована Ventolux PUNTO 520/279 BG (1000) TRC,,6135,1,https://comfy.ua/vytjazhka-vstraivaemaja-ventolux-punto-520-279-bg-1000-trc.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1354295375,,,,,2077420,Смарт-часы и гаджеты >> Электротранспорт,segway,Електросамокат Segway Ninebot MAX G30LE,,29999,1,https://comfy.ua/jelektrosamokat-segway-ninebot-max-g30le-white.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1354297905,,,,,2001855,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G Canon 046 LBP650/MF730 series 1249C002 Cyan (G&G-046C),,775,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-canon-046-lbp650-mf730-series-1249c002-cyan-g-g-046c.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1354306798,,,,,2080593,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Promate,promate,Мережевий зарядний пристрій Promate Biplug-2 White,,399,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-promate-biplug-2-white.html,499,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1354309972,,,,,2080586,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Promate,promate,Автотримач Promate Magmount-xl Black,,599,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-promate-magmount-xl-black.html,799,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1354316198,,,,,.2035313,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE Jonsplus i400-G Silver,,9999,1,https://comfy.ua/korpus-qube-jonsplus-i400-g-silver.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1354654716,,,,,2088865,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Hator",hator,Килимок для миші ігровий Hator Tonn Evo S (HTP-011),,179,1,https://comfy.ua/kovrik-dlja-myshi-hator-tonn-evo-s-htp-011.html,249,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
1354654721,,,,,2059529,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Адаптеры Bluetooth >> Адаптеры Bluetooth TP-Link",tp-link,Адаптер мережі Bluetooth USB TP-Link UB400,,279,1,https://comfy.ua/adapter-seti-bluetooth-usb-tp-link-ub400.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
1354655343,,,,,2088864,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Hator",hator,Килимок для миші ігровий Hator Tonn Evo M (HTP-021),,349,1,https://comfy.ua/kovrik-dlja-myshi-hator-tonn-evo-m-htp-021.html,449,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1354655345,,,,,2088863,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Hator",hator,Килимок для миші ігровий Hator Tonn Evo L (HTP-031),,799,1,https://comfy.ua/kovrik-dlja-myshi-hator-tonn-evo-l-htp-031.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1354655349,,,,,2088866,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Hator",hator,Килимок для миші ігровий Hator Tonn Evo XXL (HTP-041),,1199,1,https://comfy.ua/kovrik-dlja-myshi-hator-tonn-evo-xxl-htp-041.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1354655866,,,,,2043554,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Bollire,bollire,Френч-прес Bollire BR-3304 1.0 л,,1016,1,https://comfy.ua/french-press-bollire-br-3304-1-0-l.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1354690158,,,,,2085868,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",promate,Перехідник Promate HDMI-VGA Prolink-h2v Black,,499,1,https://comfy.ua/perehodnik-promate-hdmi-vga-prolink-h2v-black.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1354696884,,,,,2000509,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,"Перехідник Digitus USB-C - HDMA UHD 4K, M/F, 0.15 m (DA-70852)",,829,1,https://comfy.ua/perehodnik-hdmi-digitus-usb-c-hdma-uhd-4k-m-f-0-15-m-da-70852.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1354754620,,,,,2079720,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки Promate",promate,Портативна акустика Promate Capsule-2.Black,,799,1,https://comfy.ua/portativnaja-akustika-promate-capsule-2-black.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1354754754,6820495,BENQ,Монитор BENQ PD3205U (9H.LKGLA.TBE),27489,2086817,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы BenQ",benq,Монітор BenQ PD3205U (9H.LKGLA.TBE) Dark Grey,,27489,1,https://comfy.ua/monitor-benq-pd3205u-9h-lkgla-tbe-dark-grey.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
