1355473320,6909716,saturn,_saturn_ste7778,3555,2086856,__________saturn,saturn,_saturn_ste7778,column,3555,1,httpscomfyuahlebopechsaturnstes7778html,column,05112025_1929,column,__42,Фастів,0
1355473320,6909716,SATURN,Хлебопечь SATURN ST-EС7778,3555,2086856,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Saturn,saturn,Хлібопічка Saturn ST-EС7778,,3555,1,https://comfy.ua/hlebopech-saturn-st-es7778.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1361231957,,,,,2090680,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Веб-камера для комп'ютера Trust Teza 4K Ultra HD Black (24280),,5599,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-trust-teza-4k-ultra-hd-black-24280.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1361240313,7008516,PROFIT M,Сушилка PROFIT M ЕСП-02 Grey,3999,1464532,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов PROFITM,profitm,Сушарка для фруктів та овочів PROFITM ЕСП-02(сір),,3999,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-profitm-esp-02-ser.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1361240319,7008520,PROFIT M,Сушилка PROFIT M ЕСП-01G,5299,1464531,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов PROFITM,profitm,Сушарка для фруктів та овочів PROFITM ЕСП-01(чорн),,4599,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-profitm-esp-01-chern.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1361361720,6756748,RAZER,Гарнитура Razer Kaira Pro for Xbox White (RZ04-03470300-R3M1),7999,1975722,Игровые консоли и гейминг >> Аксессуары для игровых консолей >> Гарнитуры для консолей >> Гарнитуры для консолей Razer,razer,Гарнітура для консолі Razer Kaira Pro for Xbox WL/BT White (RZ04-03470300-R3M1),,7999,1,https://comfy.ua/garnitura-dlja-konsoli-razer-kaira-pro-for-xbox-wl-bt-white-rz04-03470300-r3m1.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1361800798,6824180,ASEL,Электропечь ASEL AF 50-23 Grey (РН018085),4165,2086568,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ASEL,asel,Піч електрична ASEL AF 50-23 Grey,,4165,1,https://comfy.ua/pech-jelektricheskaja-asel-af-50-23-grey.html,,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
1362216464,6812301,ECG,Мясорубка ECG MG 2510 Power,4199,2084744,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки ECG,ecg,М'ясорубка ECG MG 2510 Power,,4199,1,https://comfy.ua/mjasorubka-ecg-mg-2510-power.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1362804449,6812315,ECG,Рисоварка ECG RZ 19,1735,2088765,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки ECG,ecg,Мультиварка ECG RZ 19,,1735,1,https://comfy.ua/mul-tivarka-ecg-rz-19.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1363233740,6870833,PANASONIC,Электробритва PANASONIC ES-LV9U-K820,16999,2085885,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Panasonic,panasonic,Бритва Panasonic ES-LV9U-K820,,13727,1,https://comfy.ua/britva-panasonic-es-lv9u-k820.html,16999,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1363627662,,,,,2086573,Техника для дома >> Крупная техника,vestfrost,Пральна машина Vestfrost MWM108T3IAMY,,15555,1,https://comfy.ua/stiral-naja-mashina-vestfrost-mwm108t3iamy.html,17999,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
