1392170553,column,column,column,column,2094533,____________lionelo,lionelo,____lionelo_zanna_pink_bubblegum,column,5299,1,httpscomfyuastulchikdljakormlenijaklassicheskijlionelozannapinkbubblegumhtml,column,05112025_2105,column,__42,Фастів,0
1392170553,,,,,2094533,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Lionelo,lionelo,Стільчик для годування класичний Lionelo Zanna Pink Bubblegum,,5299,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-lionelo-zanna-pink-bubblegum.html,,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1392170926,,,,,.2094240,Детские товары >> Кормление,peg-perego,Стільчик-качалка для годування Peg-Perego Tatamia Follow Me Wonder Grey (плямостійкий сірий),,14489,1,https://comfy.ua/stul-chik-kachalka-dlja-kormlenija-peg-perego-tatamia-follow-me-wonder-grey-pjatnostojkij-seryj.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1392199373,6885305,GUSTO,Набор кастрюль GUSTO Lets Cook 6 пр Black (GT-T-3-LCB),1748,2098068,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Gusto,gusto,Набір посуду Gusto GT-T-3-LCB Давайте готувати чорна,,1748,1,https://comfy.ua/nabor-posudy-gusto-gt-t-3-lcb-davajte-gotovit-chernyj.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1392290246,6814016,REMINGTON,Выпрямитель REMINGTON S5901 Coconut Smooth,1699,2095870,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Remington,remington,Вирівнювач волосся Remington S5901 Coconut Smooth,,1899,1,https://comfy.ua/vyprjamitel-volos-remington-s5901-coconut-smooth.html,2149,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1392496679,,,,,2001862,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для лазерних принтерів/БФП G&G HP 415A CLJ Pro M414/454/479 W2031A Cyan (G&G-415AC),,1165,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-hp-415a-clj-pro-m414-454-479-w2031a-cyan-g-g-415ac.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1392501383,,,,,1999942,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Cablexpert",cablexpert,Перехідник Cablexpert A-USB3C-VGA-01,,449,1,https://comfy.ua/perehodnik-cablexpert-a-usb3c-hdmivga-01.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1392501384,,,,,1999937,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Cablexpert",cablexpert,Перехідник Cablexpert USB-C на HDMI (A-USB3C-HDMI-01),,449,1,https://comfy.ua/perehodnik-cablexpert-usb-c-na-hdmi-a-usb3c-hdmi-01.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1392550714,6893154,PERFELLI,Вытяжка PERFELLI K 5202 BL 700 LED,3399,1987804,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка декоративна Perfelli K 5202 BL 700 LED,,3399,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-k-5202-bl-700-led.html,3999,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1392570576,6855028,YVOLUTION,Беговел YVOLUTION Yvelo Pink (N101054),2299,2095869,Детские товары >> Детский транспорт,yvolution,Біговел YVolution Yvelo Pink (N101054),,2999,1,https://comfy.ua/begovel-yvolution-yvelo-pink-n101054.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1392570788,7066862,LIONELO,Коляска прогулочная LIONELO IRMA GREEN FOREST (LO-IRMA GREEN FOREST),4156,2094530,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Irma Green Forest,,4179,1,https://comfy.ua/koljaska-progulochnaja-lionelo-irma-green-forest.html,,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
1392570789,,,,,2094527,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Plus Lovin,,7679,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-plus-lovin.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1392570790,,,,,2094526,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Annet Plus Dreamin,,7679,1,https://comfy.ua/koljaska-progulochnaja-lionelo-annet-plus-dreamin.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1392570876,6550867,VERTO,Лопата VERTO 130 см (15G012),799,1622005,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы VERTO",verto,Лопата VERTO 15G012,,1085,1,https://comfy.ua/lopata-verto-15g012.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1392570878,6855554,NEO TOOLS,Лопата тактическая саперная NEO Tools 5 в 1 (63-121),729,1879732,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы Neo Tools",neo-tools,Лопата Neo Tools 63-121,,729,1,https://comfy.ua/lopata-neo-tools-63-121.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1392570880,6855555,NEO TOOLS,Лопата тактическая Neo Tools 8 в 1 (63-122),1299,1879733,"Инструменты и автотовары >> Садовые инструменты >> Лопаты, грабли, вилы >> Лопаты, грабли, вилы Neo Tools",neo-tools,Лопата Neo Tools 63 см (63-122),,1299,1,https://comfy.ua/lopata-neo-tools-63-sm-63-122.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
1392571071,6806396,PHILIPS,Тостер PHILIPS Eco Conscious Edition HD2640/10,2999,2095865,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Philips,philips,Тостер Philips HD2640/10,,2999,1,https://comfy.ua/toster-philips-hd2640-10.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1392571174,,,,,2043138,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска універсальна 2 в 1 Lionelo Mika Blue Navy,,17759,1,https://comfy.ua/koljaska-universal-naja-2-v-1-lionelo-mika-blue-navy.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1392571176,,,,,2043141,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска універсальна 3 в 1 Lionelo Mika Grey Graphite,,20159,1,https://comfy.ua/koljaska-universal-naja-3-v-1-lionelo-mika-grey-graphite.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1392571177,,,,,2043139,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска універсальна 3 в 1 Lionelo Mika Blue Navy,,20159,1,https://comfy.ua/koljaska-universal-naja-3-v-1-lionelo-mika-blue-navy.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1392571391,,,,,2092115,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg патріотична """"Ой у Лузі…"""", укр (30986)""",,51,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-patrioticheskaja-oj-v-luge-ukr-30986.html,,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
1392571393,,,,,2092119,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg патріотична """"Все буде Україна"""", укр (30370)""",,51,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-patrioticheskaja-vse-budet-ukraina-ukr-30370.html,,06.11.2025 0:40,,"вул. Соборна, 42",Фастів,0
1392571394,,,,,2092118,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg патріотична «Скажи """"паляниця""""», укр (30236)""",,115,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-patrioticheskaja-skazhi-paljanica-ukr-30236.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1392571395,,,,,2092135,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg патріотична """"Доброго вечора ми з України"""", укр (30371)""",,72,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-patrioticheskaja-dobryj-vecher-my-iz-ukrainy-ukr-30371.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1392571397,7057048,STRATEG,"Настольная игра STRATEG Ты знаешь, что делать укр (30320)",187,2092129,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (18+) Strateg """"Ти знаєш що робити"""", укр (30320)""",,315,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-18-strateg-ty-znaesh-chto-delat-ukr-30320.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
1392571399,7057037,STRATEG,Настольная игра STRATEG Твоя правда мое действие укр (30233),133,2092126,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg """"Твоя правда моя дія"""", укр (30233)""",,245,1,https://comfy.ua/nastol-naja-igra-kartochnaja-12-strateg-tvoja-pravda-moe-dejstvie-ukr-30233.html,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
1392571400,,,,,2092120,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg """"Стань популярним блогером"""", укр (30399)""",,88,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-stan-populjarnym-bloggerom-ukr-30399.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1392571402,,,,,2092117,Comfy KIDS >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg """"Веселі пригоди"""", укр (30244)""",,88,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-veselye-prikljuchenija-ukr-30244.html,,06.11.2025 0:41,,"вул. Соборна, 42",Фастів,0
1392571403,,,,,2092133,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg розважальний тренінг українською мовою """"Емоційний інтелект""""(30237)""",,63,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-razvlekatel-nyj-trening-na-ukrainskom-jazyke-jemocional-nyj-intellekt-30237.html,,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
1392571412,,,,,2092127,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg """"Грибний всесвіт"""", укр (30337)""",,88,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-gribnaja-vselennaja-ukr-30337.html,,06.11.2025 1:31,,"вул. Соборна, 42",Фастів,0
1392571413,,,,,2092130,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (8+) Strateg """"BOO!ZOO"""", укр (30219)""",,72,1,https://comfy.ua/nastol-naja-igra-kartochnaja-8-strateg-boo-zoo-ukr-30219.html,,06.11.2025 1:32,,"вул. Соборна, 42",Фастів,0
1392571414,,,,,2092131,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (5-7 років) Strateg """"Несхожі звірі"""", укр (30223)""",,72,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-nepohozhie-zveri-ukr-30223.html,,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
1392571416,7057046,STRATEG,Настольная игра STRATEG Найдёшь пару (30221),175,2092138,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg """"Знайдеш пару?"""", укр (30221)""",,325,1,https://comfy.ua/nastol-naja-igra-razvivajuschaja-3-4-goda-strateg-najdesh-paru-ukr-30221.html,,05.11.2025 23:52,,"вул. Соборна, 42",Фастів,0
1392571417,,,,,2092139,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (12+) Strateg патріотична """"Мемчики та котики"""", укр (30729)""",,165,1,https://comfy.ua/nastol-naja-igra-obschenie-12-strateg-patrioticheskaja-memchiki-i-kotiki-ukr-30729.html,,05.11.2025 23:48,,"вул. Соборна, 42",Фастів,0
1392571550,6811107,PRESTIGIO,Набор для аэрации вина PRESTIGIO Electric Wine Dispenser (PWA104ASB),999,2073123,Посуда >> Для сервировки >> Принадлежности для бара >> Принадлежности для бара Prestigio,prestigio,Набір для бара Prestigio Battery Operated Electric Wine Dispenser (PWA104ASB),,1299,1,https://comfy.ua/nabor-dlja-bara-prestigio-battery-operated-electric-wine-dispenser-pwa104asb.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1392572510,,,,,2033722,Игровые консоли и гейминг >> Комплектующие для игровых ПК,goodram,Память DDR Goodram DDR4 8GB/3200 Iridium X Black (IR-X3200D464L16SA/8G),,989,1,https://comfy.ua/pamjat-ddr-goodram-ddr4-8gb-3200-iridium-x-black-ir-x3200d464l16sa-8g.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1392572513,,,,,2033748,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 8Gb 3200MHz Fury Beast (KF432C16BB/8),,1499,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-8gb-3200mhz-fury-beast-kf432c16bb-8.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1392572522,,,,,.1967518,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston 16Gb DDR4 3200MHz Fury Beast 2x8 (KF432C16BBK2/16),,2999,1,https://comfy.ua/pamjat-ddr-kingston-16gb-ddr4-3200mhz-fury-beast-2x8-kf432c16bbk2-16.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1392572529,,,,,2033754,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 32Gb 3600MHz Fury Beast 2x16 (KF436C18BBK2/32),,5999,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-32gb-3600mhz-fury-beast-2x16-kf436c18bbk2-32.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1392572534,,,,,.2033759,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR5 32Gb 5600MHz Fury Beast 2x16 (KF556C40BBK2-32),,7499,1,https://comfy.ua/pamjat-ddr-kingston-ddr5-32gb-5600mhz-fury-beast-2x16-kf556c40bbk2-32.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1392572535,,,,,.2033757,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR5 2x16GB/5200 Fury Beast Black (KF552C40BBK2-32),,7499,1,https://comfy.ua/pamjat-ddr-kingston-ddr5-2x16gb-5200-fury-beast-black-kf552c40bbk2-32.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1392572552,,,,,2033736,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 2x8GB/3600 Fury Beast Black (KF436C17BBK2/16),,3299,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-2x8gb-3600-fury-beast-black-kf436c17bbk2-16.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1392572763,,,,,.2033737,Игровые консоли и гейминг >> Комплектующие для игровых ПК,kingston,Память DDR Kingston DDR4 2x16GB/3200 Fury Beast Black (KF432C16BB1K2/32),,5599,1,https://comfy.ua/pamjat-ddr-kingston-ddr4-2x16gb-3200-fury-beast-black-kf432c16bb1k2-32.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1392574580,6815977,SENCOR,Электрочайник SENCOR SWK 1701BK,899,2102821,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 1701BK,,649,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-1701bk.html,899,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1392574581,6815976,SENCOR,Электрочайник SENCOR SWK 1700WH,687,2102820,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 1700WH,,649,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-1700wh.html,899,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1392574582,6815978,SENCOR,Электрочайник SENCOR SWK 1704RD,899,2102822,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Sencor,sencor,Електричний чайник Sencor SWK 1704RD,,649,1,https://comfy.ua/jelektricheskij-chajnik-sencor-swk-1704rd.html,899,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1392574583,6848569,MPM,Электрочайник MPM MCZ-85,599,2097719,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические MPM,mpm,Електричний чайник MPM MCZ-85,,599,1,https://comfy.ua/jelektricheskij-chajnik-mpm-mcz-85.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
