1392575912,6133063,mystery,__mystery_mf_46,1209,1805982,_________mystery,mystery,_mystery_mf_46,column,1209,1,httpscomfyuaavtoakustikamysterymf46html,column,05112025_2100,column,__42,Фастів,0
1392575912,6133063,MYSTERY,Автомобильная акустика MYSTERY MF 46,1209,1805982,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Mystery,mystery,Автоакустика Mystery MF 46,,1209,1,https://comfy.ua/avtoakustika-mystery-mf-46.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1392575913,5984476,MYSTERY,Автомобильная акустика MYSTERY MJ 630,1159,1805960,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика Mystery,mystery,Автоакустика Mystery MJ 630,,1159,1,https://comfy.ua/avtoakustika-mystery-mj-630.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1392629331,6812156,GORENJE,Мясорубка GORENJE MG1800BK,2539,1883462,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Gorenje,gorenje,М'ясорубка Gorenje MG1800BK,,3059,1,https://comfy.ua/mjasorubka-gorenje-mg1800bk.html,3599,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1392638405,6815962,SENCOR,Электропечь SENCOR SEO 2000BK 1650 Вт 20 л,4229,2102211,Техника для кухни >> Крупная техника,sencor,Піч електрична Sencor SEO 2000BK,,4229,1,https://comfy.ua/pech-jelektricheskaja-sencor-seo-2000bk.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
1392638414,,,,,.1985605,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,Корпус Cougar MG140 AIR RGB Black без БЖ,,2999,1,https://comfy.ua/korpus-cougar-mg140-air-rgb-black-bez-bzh.html,3399,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1392638415,,,,,.1985606,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,Корпус Cougar MG140 AIR RGB White без БЖ,,2999,1,https://comfy.ua/korpus-cougar-mg140-air-rgb-white-bez-bzh.html,3399,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1392638426,,,,,.1985598,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Корпус Asus TUF Gaming GT301 Black без БЖ (90DC0040-B49000),,4889,1,https://comfy.ua/korpus-asus-tuf-gaming-gt301-black-bez-bzh-90dc0040-b49000.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1392692461,6814741,ROWENTA,Фен ROWENTA CV591LF0,999,2052121,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV591LF0,,999,1,https://comfy.ua/fen-rowenta-cv591lf0.html,1399,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1392896740,6815952,SENCOR,Микроволновая печь SENCOR SMW5517WH,2999,2102816,Техника для кухни >> Крупная техника,sencor,Мікрохвильова піч (НВЧ) Sencor SMW5517WH,,3399,1,https://comfy.ua/mikrovolnovaja-pech-svch-sencor-smw5517wh.html,3999,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1392934669,,,,,.2096861,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",verico,Флеш USB Verico USB 4Gb Wanderer Purple (1UDOV-M4PE43-NN),,109,1,https://comfy.ua/flesh-usb-verico-usb-4gb-wanderer-purple-1udov-m4pe43-nn.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1393062775,6824064,MINOLA,Вытяжка MINOLA HBI 5202 I 700 LED,2599,2094540,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5202 IV 700 LED,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5202-iv-700-led.html,3099,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1393062775,6825556,MINOLA,Вытяжка MINOLA HBI 5202 IV 700 LED,2799,2094540,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5202 IV 700 LED,,2799,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5202-iv-700-led.html,3099,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1393062794,,,,,.2001525,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway for HP LJ Pro M102/M13 (CF217A) (CW-H217MC),,949,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-for-hp-lj-pro-m102-m13-cf217a-cw-h217mc.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1393062795,,,,,2001946,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Makkon",makkon,Картридж для лазерних принтерів/БФП Makkon HP CLJP CE410X (305X) (SE410X) 4k Black (MN-HP-SE410X),,729,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-makkon-hp-cljp-ce410x-305x-se410x-4k-black-mn-hp-se410x.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1393063355,,,,,1999245,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Фотобарабан HP 34A Original LaserJet Imaging Drum (Ultra M106w) (CF234A),,3615,1,https://comfy.ua/fotobaraban-hp-34a-original-laserjet-imaging-drum-ultra-m106w-cf234a.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1393063420,6848559,MPM,Машинка для стрижки MPM MMW-02,399,2097759,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки MPM,mpm,Машинка для стрижки волосся MPM MMW-02,,399,1,https://comfy.ua/mashinka-dlja-strizhki-volos-mpm-mmw-02.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1393125416,,,,,2041320,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Точка доступу MikroTik RB912R-2nD-LTm,,4309,1,https://comfy.ua/tochka-dostupa-mikrotik-rb912r-2nd-ltm.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
1394007978,6820877,BEKO,Морозильная камера BEKO RFNM200E20S,17399,2081833,Техника для кухни >> Крупная техника >> Морозильные камеры >> Морозильные камеры Beko,beko,Морозильна камера Beko RFNM200E20S,,17399,1,https://comfy.ua/morozil-naja-kamera-beko-rfnm200e20s.html,17899,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1394051398,,,,,1845184,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart CapsulePro Waterproof Floating Case Black (ARM59232),,399,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-capsulepro-waterproof-floating-case-black-arm59232.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,2
1394096912,,,,,2094543,Техника для дома >> Климатическая техника,noveen,Теплова завіса Noveen HC1500 LED,,2659,1,https://comfy.ua/teplovaja-zavesa-n-oveen-hc1500-led.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1394217981,6835429,PRIME TECHNICS,Вентилятор PRIME TECHNICS SFV 45 BR,1199,2102171,Техника для дома >> Климатическая техника >> Вентиляторы >> Вентиляторы Prime Technics,prime-technics,Вентилятор підлоговий Prime Technics SFV 45 BR,,1199,1,https://comfy.ua/ventiljator-napol-nyj-prime-technics-sfv-45-br.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1394218000,6812212,REMINGTON,Фен REMINGTON D5901 Coconut Smooth,1347,2096839,Красота и здоровье >> Уход за волосами >> Фены >> Фены Remington,remington,Фен Remington D5901 Coconut Smooth,,1499,1,https://comfy.ua/fen-remington-d5901-coconut-smooth.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1394232067,,,,,2094524,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Assmann",assmann,Кабель HDMI Assmann HDMI 2m (AK-330107-020-S),,199,1,https://comfy.ua/kabel-hdmi-assmann-hdmi-2m-ak-330107-020-s.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1394232867,6892272,FREGGIA,Варочная поверхность FREGGIA HH640VGTAN,10449,2096108,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Freggia,freggia,Варильна поверхня газова Freggia HH640VGTAN,,10449,1,https://comfy.ua/varochnaja-panel-gazovaja-freggia-hh640vgtan.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1394957448,6660872,KARCHER,Удалитель сорняков KARCHER WRE 18-55 (1.445-244.0),5999,1811024,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Karcher",karcher,Тример садовий Karcher WRE 18-55 (1.445-244.0),,2700,1,https://comfy.ua/trimmer-sadovyj-karcher-wre-18-55-1-445-244-0.html,5999,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1394960395,6832309,HANSGROHE,Дозатор для моющих средств Hansgrohe A71 500 мл Chrome (40468000),4525,2102189,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Hansgrohe,hansgrohe,Дозатор для мила Hansgrohe A71 Хром (40468000),,4525,1,https://comfy.ua/dozator-dlja-myla-hansgrohe-a71-hrom-40468000.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1394960396,6832307,HANSGROHE,Дозатор для моющих средств Hansgrohe A51 500 мл Steel (40448800),5995,2102188,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Hansgrohe,hansgrohe,Дозатор для мила Hansgrohe A51 Сталь (40448800),,5995,1,https://comfy.ua/dozator-dlja-myla-hansgrohe-a51-stal-40448800.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1394960397,6814419,HANSGROHE,Дозатор HANSGROHE A71 Black (40468670),5889,2102190,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Hansgrohe,hansgrohe,Дозатор для мила Hansgrohe A71 Black (40468670),,5889,1,https://comfy.ua/dozator-dlja-myla-hansgrohe-a71-black-40468670.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1395039114,6815301,PHILIPS,Эпилятор PHILIPS BRE740/90,7599,2079118,Красота и здоровье >> Уход за телом >> Эпиляторы >> Эпиляторы Philips,philips,Епілятор Philips BRE740/90,,7599,1,https://comfy.ua/jepiljator-philips-bre740-90.html,9999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1395072813,6815904,BORGIO,Плита газовая BORGIO GG 540 W MBBL,9339,2104727,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GG 540 W MBBL,,10369,1,https://comfy.ua/plita-gazovaja-borgio-gg-540-w-mbbl.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1395072814,6825553,BORGIO,Плита комбинированная BORGIO GE 522 B MBBLT (РН018403),9879,2104730,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GE 540 B MBBLT,,9979,1,https://comfy.ua/plita-gazovaja-borgio-ge-540-b-mbblt.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1395072814,6815903,BORGIO,Плита комбинированная BORGIO GE 540 B MBBLT,10499,2104730,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GE 540 B MBBLT,,9979,1,https://comfy.ua/plita-gazovaja-borgio-ge-540-b-mbblt.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1395072817,6815908,BORGIO,Плита газовая BORGIO GG 640 W MBBL,9604,2104729,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GG 640 W MBBL,,9579,1,https://comfy.ua/plita-gazovaja-borgio-gg-640-w-mbbl.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1395072818,6815907,BORGIO,Плита комбинированная BORGIO GE 640 B MBBLT,11589,2104732,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GE 640 B MBBLT,,11589,1,https://comfy.ua/plita-gazovaja-borgio-ge-640-b-mbblt.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1395072819,6815909,BORGIO,Плита комбинированная BORGIO GE 640 W MBBLT,11589,2104733,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GE 640 W MBBLT,,11589,1,https://comfy.ua/plita-gazovaja-borgio-ge-640-w-mbblt.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1395093934,6919726,NEO TOOLS,Отвертка NEO TOOLS PZ3 x 150 мм (04-185),195,1987529,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Neo Tools,neo-tools,Викрутка Neo Tools 04-185 PZ3x150 мм,,195,1,https://comfy.ua/otvertka-neo-tools-04-185-pz3x150-mm.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
1395101849,,,,,2106625,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Intaleo",intaleo,Кабель синхронізації даних Intaleo CBFLEXM2 Micro USB 2м Black (1283126521430),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-intaleo-cbflexm2-micro-usb-2m-black-1283126521430.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
