1395576083,column,column,column,column,2082114,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,__cobra_gaming_a3616h1s235f7916,column,29579,1,httpscomfyuasistemnyjblokcobragaminga3616h1s235f7916html,33999,05112025_1759,column,__42,Фастів,0
1395576083,,,,,.2082114,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S2.35.F7916),,29579,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s2-35-f7916.html,33999,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1395576084,,,,,.2082115,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S2.35.F7917W),,35147,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s2-35-f7917w.html,40399,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1395576085,,,,,.2082116,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S2.35.F7918),,30971,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s2-35-f7918.html,35599,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1395576086,,,,,.2082117,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S2.35.F7919W),,36539,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s2-35-f7919w.html,41999,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1395576087,,,,,.2082118,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S5.35.F7920),,30188,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s5-35-f7920.html,34699,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1395576088,,,,,.2082119,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H1S5.35.F7921W),,35843,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h1s5-35-f7921w.html,41199,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1395576089,,,,,.2082120,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S5.35.F7922),,31667,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s5-35-f7922.html,36399,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
1395576090,,,,,.2082121,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.32.H1S5.35.F7923W),,37235,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-32-h1s5-35-f7923w.html,42799,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1395576091,,,,,.2082122,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H2S2.35.F7924),,30014,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h2s2-35-f7924.html,34499,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1395576092,,,,,.2082123,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",cobra,Системний блок Cobra Gaming (A36.16.H2S2.35.F7925W),,35582,1,https://comfy.ua/sistemnyj-blok-cobra-gaming-a36-16-h2s2-35-f7925w.html,40899,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
