1397618849,6124352,vileda,_vileda_activemax_v0032_4023103000032,726,2079218,______________vileda,vileda,_vileda_active_max_4023103000032,column,1119,1,httpscomfyuashvabraviledaactivemax4023103000032html,column,05112025_1938,column,__42,Фастів,0
1397618849,6124352,VILEDA,Швабра Vileda ActiveMax (V0032) (4023103000032),726,2079218,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Vileda,vileda,Швабра Vileda Active Max (4023103000032),,1119,1,https://comfy.ua/shvabra-vileda-active-max-4023103000032.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1397619194,,,,,2113771,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (5-7 років) Strateg Звідки беруться друзі? укр (30238),,39,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-strateg-otkuda-berut-sja-druz-ja-ukr-30238.html,,05.11.2025 23:56,,"вул. Соборна, 42",Фастів,0
1397619209,,,,,2113772,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (8+) Strateg патріотична """"Знай наших"""", укр (30434)""",,119,1,https://comfy.ua/nastol-naja-igra-obschenie-8-strateg-patrioticheskaja-znaj-nashih-ukr-30434.html,,05.11.2025 23:56,,"вул. Соборна, 42",Фастів,0
1397659596,,,,,2049519,Техника для кухни >> Крупная техника,vestfrost,Холодильник Vestfrost CX263XB,,8999,1,https://comfy.ua/holodil-nik-vestfrost-cx263xb.html,10999,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,1
1397659879,6982552,TEFAL,Форма TEFAL Delibake 27 см Red (J1641474),539,2122232,Посуда >> Для запекания и выпечки,tefal,Форма для випічки Tefal J1641474 DeliBake 27 см,,539,1,https://comfy.ua/forma-dlja-vypechki-tefal-j1641474-delibake-27-sm-5031643.html,829,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1398079684,,,,,2122230,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели WetAir,wetair,Конвектор WetAir WCH-500EWW,,999,1,https://comfy.ua/konvektor-wetair-wch-500eww.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1398085578,,,,,.2107804,Игровые консоли и гейминг >> Комплектующие для игровых ПК,silver-stone,Водяна система охолодження Silver Stone IceGem 240P ARGB (SST-IG240P-ARGB),,6049,1,https://comfy.ua/vodjanaja-sistema-ohlazhdenija-silver-stone-icegem-240p-argb-sst-ig240p-argb.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1398086410,6730028,OSCAR,Крышка OSCAR Master 20 см (OSR-9000-20),121,2043609,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды OSCAR,oscar,Кришка для посуду OSCAR Master 20 см (OSR-9000-20),,121,1,https://comfy.ua/kryshka-dlja-posudy-oscar-master-20-sm-osr-9000-20.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1398086411,6730030,OSCAR,Крышка OSCAR Master 24 см (OSR-9000-24),152,2043611,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды OSCAR,oscar,Кришка для посуду OSCAR Master 24 см (OSR-9000-24),,152,1,https://comfy.ua/kryshka-dlja-posudy-oscar-master-24-sm-osr-9000-24.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1398086412,6730031,OSCAR,Крышка OSCAR Master 26 см (OSR-9000-26),170,2043612,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды OSCAR,oscar,Кришка для посуду OSCAR Master 26 см (OSR-9000-26),,170,1,https://comfy.ua/kryshka-dlja-posudy-oscar-master-26-sm-osr-9000-26.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1398086413,6730029,OSCAR,Крышка OSCAR Master 22 см (OSR-9000-22),144,2043610,Посуда >> Для приготовления >> Крышки для посуды >> Крышки для посуды OSCAR,oscar,Кришка для посуду OSCAR Master 22 см (OSR-9000-22),,144,1,https://comfy.ua/kryshka-dlja-posudy-oscar-master-22-sm-osr-9000-22.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1398089316,,,,,2125207,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRK620EABG4,,25999,1,https://comfy.ua/holodil-nik-gorenje-nrk620eabg4.html,29399,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
