1402005503,column,column,column,column,2139502,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,___tucano_sandy_1314_black_bfsan1314bk,column,1549,1,httpscomfyuacheholdljanoutbukatucanosandy1314blackbfsan1314bkhtml,column,05112025_2201,column,__42,Фастів,0
1402005503,,,,,2139502,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,Чохол для ноутбуку Tucano Sandy 13/14'' Black (BFSAN1314-BK),,1549,1,https://comfy.ua/chehol-dlja-noutbuka-tucano-sandy-13-14-black-bfsan1314-bk.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
1402005505,,,,,.2139503,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,Чохол для ноутбуку Tucano Sandy 13/14'' Bordeaux (BFSAN1314-BX),,1549,1,https://comfy.ua/chehol-dlja-noutbuka-tucano-sandy-13-14-bordeaux-bfsan1314-bx.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1402005506,,,,,2139504,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",tucano,Чохол для ноутбуку Tucano Sandy 13/14'' Khaki (BFSAN1314-VM),,1395,1,https://comfy.ua/chehol-dlja-noutbuka-tucano-sandy-13-14-khaki-bfsan1314-vm.html,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
1402006194,,,,,1849239,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot 13 см 34535,,5070,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-13-sm-34535.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1402006272,,,,,2139510,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков Tucano",tucano,Сумка для ноутбуку Tucano Hop 13/14'' Blue (BHOP13-B),,1299,1,https://comfy.ua/sumka-dlja-noutbuka-tucano-hop-13-14-blue-bhop13-b.html,,05.11.2025 22:14,,"вул. Соборна, 42",Фастів,0
1403099319,6811441,GORENJE,Духовой шкаф GORENJE BPSAX6747A08BG (B60O13PS5I01-2),27999,2139654,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BPSAX6747A08BG (B60O13PS5I01-2),,26599,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bpsax6747a08bg-b60o13ps5i01-2.html,29599,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1404195014,6812064,ATLANTIC,Конвектор ATLANTIC Bonjour Turbo Heat 15 CEG BL-Meca/Q1 1250W с комплектом подставок,1999,2135807,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Bonjour,bonjour,Конвектор Bonjour Turbo Heat 15 CEG BL-Meca/Q1 (1250W) з комплектом підставок,,1999,1,https://comfy.ua/konvektor-bonjour-turbo-heat-15-ceg-bl-meca-q1-1250w-z-komplektom-pidstavok.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,1
1404195015,6812065,ATLANTIC,Конвектор ATLANTIC Bonjour Turbo Heat 20 CEG BL-Meca/Q1 (1750W) с комплектом подставок,2299,2135808,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Bonjour,bonjour,Конвектор Bonjour Turbo Heat 20 CEG BL-Meca/Q1 (1750W) з комплектом підставок,,2299,1,https://comfy.ua/konvektor-bonjour-turbo-heat-20-ceg-bl-meca-q1-1750w-z-komplektom-pidstavok.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,1
1404203323,,,,,.2132617,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Материнська плата MSI B550-A PRO,,4599,1,https://comfy.ua/materinskaja-plata-msi-b550-a-pro.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1404203467,6873382,ESPERANZA,Сушилка ESPERANZA Appetissant EKD004,1169,2138331,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Esperanza,esperanza,Сушарка для фруктів та овочів Esperanza EKD004,,1169,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-esperanza-ekd004.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
