1407286299,6819744,anda_seat,_anda_seat_phantom_3_size_l_grey_ad18y06gf,12999,2137342,__________________anda_seat,andaseat,___anda_seat_phantom_3_size_l_grey_ad18y06gf,column,12999,1,httpscomfyuakreslodljagejmerovandaseatphantom3sizelgreyad18y06gfhtml,15999,05112025_1943,column,__42,Фастів,0
1407286299,6819744,ANDA SEAT,Кресло ANDA SEAT Phantom 3 Size L Grey (AD18Y-06-G-F),12999,2137342,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Anda Seat",anda-seat,Крісло для геймерів Anda Seat Phantom 3 Size L Grey (AD18Y-06-G-F),,12999,1,https://comfy.ua/kreslo-dlja-gejmerov-anda-seat-phantom-3-size-l-grey-ad18y-06-g-f.html,15999,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1407286300,6819742,ANDA SEAT,Кресло ANDA SEAT Phantom 3 Size L White (AD18Y-06-W-PV),13999,2137344,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Anda Seat",anda-seat,Крісло для геймерів Anda Seat Phantom 3 Size L White (AD18Y-06-W-PV),,12999,1,https://comfy.ua/kreslo-dlja-gejmerov-anda-seat-phantom-3-size-l-white-ad18y-06-w-pv.html,15999,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1407286302,6819738,ANDA SEAT,Кресло ANDA SEAT Kaiser 3 Size XL Grey Fabric (AD12YDC-XL-01-G-PVF),19999,2137336,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Anda Seat",anda-seat,Крісло для геймерів Anda Seat Kaiser 3 Size XL Grey Fabric (AD12YDC-XL-01-G-PVF),,19999,1,https://comfy.ua/kreslo-dlja-gejmerov-anda-seat-anda-seat-kaiser-3-size-xl-grey-fabric-ad12ydc-xl-01-g-pvf.html,25999,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1407286365,,,,,2147029,Смарт-часы и гаджеты >> Аксессуары,armorstandart,Ремінець для фітнес-браслету Armorstandart New Style for Xiaomi Mi Band 7/6/5 Blue-Yellow (ARM61907),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-new-style-for-xiaomi-mi-band-7-6-5-blue-yellow-arm61907.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1407286366,,,,,2147030,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для фитнес-браслетов >> Аксессуары для фитнес-браслетов Armorstandart,armorstandart,Ремінець для фітнес-браслету Armorstandart New Style for Xiaomi Mi Band 7/6/5 Black (ARM61894),,149,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-armorstandart-new-style-for-xiaomi-mi-band-7-6-5-black-arm61894.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
1407287095,6789989,SPECIAL4YOU,Стул SPECIAL4YOU Success Light Grey (E6576),1514,1981707,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты Special4You",special4you,Стілець кухоний Special4You Success Light Grey (E6576),,1629,1,https://comfy.ua/stul-kuhonnyj-special4you-success-light-grey-e6576.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1407287096,6789987,SPECIAL4YOU,Стул SPECIAL4YOU Success Black (E6583),1514,1981708,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты Special4You",special4you,Стілець кухоний Special4You Success Black (E6583),,1629,1,https://comfy.ua/stul-kuhonnyj-special4you-success-black-e6583.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1407287097,6789988,SPECIAL4YOU,Стул SPECIAL4YOU Success Cappucсino (E6590),1514,1981709,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты Special4You",special4you,Стілець кухоний Special4You Success Cappucсino (E6590),,1629,1,https://comfy.ua/stul-kuhonnyj-special4you-success-cappucsino-e6590.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1407300612,6899117,VILGRAND,Бутербродница VILGRAND VSG0759 Red,710,2139681,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы ViLgrand,vilgrand,Бутербродниця ViLgrand VSG0759 Red,,499,1,https://comfy.ua/buterbrodnica-vilgrand-vsg0759-red.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
1407310694,6837400,NEO TOOLS,Прожектор NEO TOOLS 99-051,369,2148839,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Neo Tools",neo-tools,Світлодіодний прожектор Neo Tools 99-051,,369,1,https://comfy.ua/svetodiodnyj-prozhektor-neo-tools-99-051.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1407310695,,,,,.2149250,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220Bs Овочевий етюд Wave 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-v-220bs-ovoschnoj-jetjud-wave-220-mm.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
