1408859716,column,column,column,column,2147639,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,__huion_kamvas_rds160,column,26099,1,httpscomfyuagraficheskijplanshethuionkamvasrds160html,28999,05112025_1721,column,__42,Фастів,0
1408859716,,,,,2147639,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas RDS-160+перчатка,,26099,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-rds-160.html,28999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1408861656,,,,,2147638,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты",huion,Графічний планшет Huion Kamvas Pro 16 2.5K,,36827,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-16-2-5k.html,43999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1408862318,,,,,1980974,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Сумки для ноутбуков >> Сумки для ноутбуков RivaCase",rivacase,Сумка для ноутбуку RIVACASE 7532 Dark Grey,,999,1,https://comfy.ua/sumka-dlja-noutbuka-rivacase-7532-dark-grey.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1408862881,,,,,2147037,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Ryobi",ryobi,Тример садовий Ryobi ONE+ RBC18X20B4F,,13499,1,https://comfy.ua/trimmer-sadovyj-ryobi-one-rbc18x20b4f.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1408863341,6820131,HATOR,Кресло Hator Arc Fabric Jet Black (HTC-982),19999,2156656,"Дом, отдых и зоотовары >> Мебель",hator,Крісло для геймерів Hator Arc Fabric (HTC-982) Jet Black,,17999,1,https://comfy.ua/kreslo-dlja-gejmerov-hator-arc-fabric-htc-982-jet-black.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1408872130,,,,,2147038,Инструменты и автотовары >> Электроинструменты >> Многофункциональные инструменты >> Многофункциональные инструменты Ryobi,ryobi,Багатофоункціональний інструмент Ryobi ONE+ RMT18-0 (без АКБ та ЗП),,3999,1,https://comfy.ua/mnogofunkcional-nyj-instrument-ryobi-one-rmt18-0-bez-akb-i-zu.html,4699,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1408876213,6862171,TEFAL,Съемная ручка TEFAL Ingenio (L98631530,799,1961331,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Знімна ручка для посуду Tefal L9863153 Ingenio,,799,1,https://comfy.ua/s-emnaja-ruchka-dlja-posudy-tefal-l9863153-ingenio.html,899,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1408876986,6639249,TEFAL,Блендер TEFAL INFINY FORCE HB944138,2599,2155167,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Tefal,tefal,Блендер заглибний Tefal HB944138,,2599,1,https://comfy.ua/blender-pogruzhnoj-tefal-hb944138.html,3599,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1408882833,,,,,1552579,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Genius",genius,Комп'ютерна акустика компактна 2.0 Genius SP-Q180 Blue,,399,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-genius-sp-q180-blue.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1408889995,,,,,2152711,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Gelius",gelius,Кабель синхронізації даних Gelius One GP-UC117 Lightning White 1m (85161),,99,1,https://comfy.ua/kabel-sinhronizacii-dannyh-gelius-one-gp-uc117-lightning-white-1m-85161.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1408890078,6837410,NEO TOOLS,Прожектор NEO TOOLS 750 лм 10 Вт (99-038),585,2154505,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-038,,649,1,https://comfy.ua/fonar-neo-tools-99-038.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1408890083,6837411,NEO TOOLS,Прожектор NEO TOOLS LED CREE XPG + COB (99-040),1599,2154507,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Neo Tools",neo-tools,Ліхтар Neo Tools 99-040,,1599,1,https://comfy.ua/fonar-neo-tools-99-040.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
1408895116,6853369,MIKROTIK,Маршрутизатор MIKROTIK Cloud Core Router 2004-16G-2S+PC,21000,2155137,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети MikroTik",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CCR2004-16G-2S+PC,,17219,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-mikrotik-ccr2004-16g-2s-pc.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1408899181,,,,,.2154433,Смарт-часы и гаджеты >> Аксессуары,gelius,Ремінець для смарт-годинника Gelius Neo 2021 Pink (83470),,149,1,https://comfy.ua/remeshok-dlja-smart-chasov-gelius-neo-2021-pink-83470.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
1408899182,,,,,2154434,Смарт-часы и гаджеты >> Аксессуары,gelius,Ремінець для смарт-годинника Gelius Neo 2021 Blue (83471),,149,1,https://comfy.ua/remeshok-dlja-smart-chasov-gelius-neo-2021-blue-83471.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1408899183,,,,,.2157355,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover for Xiaomi Mi Watch Lite/Watch 2/Watch 2 Lite White (707647),,199,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-mi-watch-lite-watch-2-watch-2-lite-white-707647.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1408899184,,,,,2157354,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Xiaomi Mi Watch Lite/Watch 2/Watch 2 Lite Purple (707646),,199,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-mi-watch-lite-watch-2-watch-2-lite-purple-707646.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1408899185,,,,,2157353,Смарт-часы и гаджеты >> Аксессуары >> Аксессуары для смарт-часов >> Аксессуары для смарт-часов BeCover,becover,Ремінець для смарт-годинника BeCover for Xiaomi Mi Watch Lite/Watch 2/Watch 2 Lite Dark Green (707645),,199,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-for-xiaomi-mi-watch-lite-watch-2-watch-2-lite-dark-green-707645.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1408899294,,,,,.2147168,Инструменты и автотовары >> Ручные инструменты,haisser,"""Ключ-трiскачка Haisser 3/8"""" 90 зубів""",,619,1,https://comfy.ua/kljuch-treschetka-haisser-3-8-90-zubov.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1408899522,,,,,.2153534,Смартфоны и телефоны >> Аксессуары для смартфонов,gelius,Захисне скло для смартфону Gelius Full Cover Ultra-Thin 0.25mm for Xiaomi Redmi Note 10/10s (88719),,249,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-gelius-full-cover-ultra-thin-0-25mm-for-xiaomi-redmi-note-10-10s-88719.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
