1408912477,column,column,column,column,2148872,"Дом, отдых и зоотовары >> Текстиль",lionelo,___lionelo_bamboo_blanket_pink,column,1199,1,httpscomfyuapleddetskijletolionelobambooblanketpinkhtml,column,05112025_1931,column,__42,Фастів,0
1408912477,,,,,.2148872,"Дом, отдых и зоотовары >> Текстиль",lionelo,Плед дитячий літо Lionelo Bamboo Blanket Pink,,1199,1,https://comfy.ua/pled-detskij-leto-lionelo-bamboo-blanket-pink.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1408912478,,,,,.2148871,"Дом, отдых и зоотовары >> Текстиль",lionelo,Плед дитячий літо Lionelo Bamboo Blanket Grey,,1199,1,https://comfy.ua/pled-detskij-leto-lionelo-bamboo-blanket-grey.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1408912523,6986411,NEON,Ролики NEON Сombo размер 30-33 Фиолетовый (NT09L4),2904,2155626,Детские товары >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Combo Skates Violet (NT09L4),,2699,1,https://comfy.ua/roliki-neon-combo-skates-violet-nt09l4.html,3399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1408912524,,,,,2155627,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Combo Skates Cyber (NT30P4),,2699,1,https://comfy.ua/roliki-neon-combo-skates-cyber-nt30p4.html,3399,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
1408913175,7067057,RYOBI,Аккумулятор RYOBI Max Power RY36B40B (5133005549UNP),3289,2147049,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Ryobi,ryobi,Акумулятор для електроінструментів Ryobi RY36B40B,,6499,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-ryobi-ry36b40b.html,7699,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1408913177,,,,,2147050,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Ryobi,ryobi,Акумулятор для електроінструментів Ryobi RY36B50B,,8999,1,https://comfy.ua/akkumuljator-dlja-jelektroinstrumentov-ryobi-ry36b50b.html,9999,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1408948313,,,,,2150795,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Neor,neor,Ланч-бокс з підігрівом Neor Heat 1L3 GR,,1895,1,https://comfy.ua/lanch-boks-s-podogrevom-neor-heat-1l3-gr.html,1995,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1408948314,,,,,2150796,Посуда >> Для хранения >> Ланч-боксы >> Ланч-боксы Neor,neor,Ланч-бокс з підігрівом Neor Heat 2L2 WT,,1815,1,https://comfy.ua/lanch-boks-s-podogrevom-neor-heat-2l2-wt.html,1995,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1408948934,6820311,ARDESTO,Набор посуды ARDESTO Gemini Gourmet Andria 6 пр (AR1906GPS),1709,2142163,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Ardesto,ardesto,Набір посуду Ardesto AR1906GPS Gemini Gourmet Andria 6 пр.,,1712,1,https://comfy.ua/nabor-posudy-ardesto-ar1906gps-gemini-gourmet-andria-6-pr.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1408949999,6820095,ROWENTA,Фен ROWENTA PRO EXPERT CV8820F0,1599,2156916,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV8820F0,,1599,1,https://comfy.ua/fen-rowenta-cv8820f0.html,1999,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,1
1408950000,6814758,ROWENTA,Фен ROWENTA CV8840F0,1799,2156918,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rowenta,rowenta,Фен Rowenta CV8840F0,,1799,1,https://comfy.ua/fen-rowenta-cv8840f0.html,2199,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
