1410198642,6816067,gorenje,__gorenje_bsa6747a04bg,19999,2147152,____________gorenje,gorenje,___gorenje_bsa6747a04bg,column,19999,1,httpscomfyuaduhovojshkafjelektricheskijgorenjebsa6747a04bghtml,column,05112025_1739,column,__42,Фастів,0
1410198642,6816067,GORENJE,Духовой шкаф GORENJE BSA6747A04BG,19999,2147152,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BSA6747A04BG,,19999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bsa6747a04bg.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1410212689,,,,,.2159057,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",digitus,Хаб USB Digitus USB 3.0 4 Port (DA-70231),,2185,1,https://comfy.ua/hab-usb-digitus-usb-3-0-4-port-da-70231.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1410213429,,,,,1880304,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Qutu",qutu,Короб для зберігання Qutu Light Box з/к Cats and Dogs 25 л,,1099,1,https://comfy.ua/korob-dlja-hranenija-qutu-light-box-s-k-cats-and-dogs-25-l.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1410239565,6829406,FABER,Вытяжка FABER INKA LUX EVO BK MATT A52,13999,2155174,Техника для кухни >> Крупная техника,faber,Витяжка вбудована Faber INKA LUX EVO BK MATT A52,,13999,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-lux-evo-bk-matt-a52.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1410239566,6829404,FABER,Вытяжка FABER INKA LUX EVO WH MATT A52,11899,2155176,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber INKA LUX EVO WH MATT A52,,11999,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-lux-evo-wh-matt-a52.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
1410239567,6829405,FABER,Вытяжка FABER INKA LUX EVO BK MATT A70,15325,2155175,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Витяжка вбудована Faber INKA LUX EVO BK MATT A70,,15325,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-lux-evo-bk-matt-a70.html,,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1410256621,,,,,.2161589,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Xiaomi Redmi Note 11S Transparancy (707631),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-xiaomi-redmi-note-11s-transparancy-707631.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
1410256703,6934831,SENCOR,Метеостанция SENCOR SWS5600,1999,2146401,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS5600,,1999,1,https://comfy.ua/meteostancija-sencor-sws5600.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1410256704,6942589,SENCOR,Метеостанция SENCOR SWS7300,2699,2146402,Техника для дома >> Климатическая техника >> Метеостанции >> Метеостанции Sencor,sencor,Метеостанція Sencor SWS7300,,2699,1,https://comfy.ua/meteostancija-sencor-sws7300.html,2999,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1410265228,6814234,GORENJE,Плита электрическая GORENJE GEC5A10WG (FR511A-GSDC2),14999,2165616,Техника для кухни >> Крупная техника,gorenje,Плита електрична Gorenje GEC5A10WG,,14999,1,https://comfy.ua/plita-gazovaja-gorenje-gec5a10wg.html,17399,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
