1420140595,column,column,column,column,2155132,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",atcom,_usb_atcom_td4004_4usb20_white_at10724,column,175,1,httpscomfyuahabusbatcomtd40044husb20whiteat10724html,column,05112025_1745,column,__42,Фастів,0
1420140595,,,,,.2155132,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",atcom,Хаб USB Atcom TD4004 4хUSB2.0 White (AT10724),,175,1,https://comfy.ua/hab-usb-atcom-td4004-4husb2-0-white-at10724.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1420141833,,,,,2174845,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",comfast,USB-адаптер мережі WiFi COMFAST CF-811AC,,739,1,https://comfy.ua/usb-adapter-seti-wifi-comfast-cf-811ac.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1420141834,,,,,2174846,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",comfast,USB-адаптер мережі WiFi COMFAST CF-812AC,,809,1,https://comfy.ua/usb-adapter-seti-wifi-comfast-cf-812ac.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1420141835,,,,,2174844,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",comfast,USB-адаптер мережі WiFi COMFAST CF-727B,,999,1,https://comfy.ua/usb-adapter-seti-wifi-comfast-cf-727b.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1420141837,,,,,2174847,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",comfast,USB-адаптер мережі WiFi COMFAST CF-813B,,999,1,https://comfy.ua/usb-adapter-seti-wifi-comfast-cf-813b.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1420149629,6819981,PHILIPS,Электрорасческа PHILIPS BHH885/00 серии 5000,2599,2079114,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Philips,philips,Вирівнювач волосся Philips BHH885/00,,2599,1,https://comfy.ua/vyprjamitel-volos-philips-bhh885-00.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1420262231,6028748,CLATRONIC,Миксер CLATRONIC 3014 HM,969,2177336,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Clatronic,clatronic,Міксер Clatronic HM 3014 White,,969,1,https://comfy.ua/mikser-clatronic-hm-3014-white.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1420330080,6823220,ROWENTA,Пылесос ROWENTA X-Nano Essential RH1129WO,5499,2173306,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Rowenta,rowenta,Пилосос ручний для дому Rowenta RH1129WO,,5499,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-rowenta-rh1129wo.html,8999,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1420377096,6971302,ESPERANZA,Тепловентилятор ESPERANZA GOBI EHH001,369,2157346,Техника для дома >> Климатическая техника,esperanza,Тепловентилятор Esperanza EHH001,,329,1,https://comfy.ua/teploventiljator-esperanza-ehh001.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1420377097,6940659,MIDEA,Тепловентилятор MIDEA NF20-20ABE,899,2175023,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Midea,midea,Тепловентилятор Midea NF20-20ABE,,899,1,https://comfy.ua/teploventiljator-midea-nf20-20abe.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1420377098,6723378,INTERLUX,Масляный обогреватель INTERLUX INO-7015W,1699,1841614,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели INTERLUX,interlux,Обігрівач масляний INTERLUX INO-7015W,,1699,1,https://comfy.ua/obogrevatel-masljanyj-interlux-ino-7015w.html,1899,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1420377099,6723380,INTERLUX,Масляный обогреватель INTERLUX INO-9020W,1777,1841617,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели INTERLUX,interlux,Обігрівач масляний INTERLUX INO-9020W,,1512,1,https://comfy.ua/obogrevatel-masljanyj-interlux-ino-9020w.html,1779,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1420397544,7092421,UBIQUITI,Коммутатор UBIQUITI UDM-SE,26711,2173550,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Ubiquiti",ubiquiti,Маршрутизатор інтернет LAN Ubiquiti UniFi Dream Machine Special Edition (UDM-SE),,24695,1,https://comfy.ua/marshrutizator-internet-lan-ubiquiti-unifi-dream-machine-special-edition-udm-se.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1420397968,,,,,2173544,"Аудио, фото и видео >> Аксессуары для фото, видео",pkcell,Акумулятор тип AAA PKCELL Ni-MH AAA/HR03 600 mAh BL 2 шт. (PC/AAA600-2BA/09324),,99,1,https://comfy.ua/akkumuljator-tip-aaa-pkcell-ni-mh-aaa-hr03-600-mah-bl-2-sht-pc-aaa600-2ba-09324.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1420400999,,,,,.2113727,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Док-станція Baseus USB3.1 Type-C USB C(PD)100W/HDMI 4K 30Hz/VGA/USB3.2/RJ45/SD+TF 9in1 Grey (CAHUB-CU0G),,2699,1,https://comfy.ua/dok-stancija-baseus-usb3-1-type-c-usb-c-pd-100w-hdmi-4k-30hz-vga-usb3-2-rj45-sd-tf-9in1-grey-cahub-cu0g.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1420408040,6823817,SANDBERG,Powerbank SANDBERG 4-Panel 8W PD 25000 mAh 2xUSB Type-C Black (420-56),7573,2173540,Смартфоны и телефоны >> Аксессуары для смартфонов,sandberg,"Батарея мобільна Sandberg 4-Panel 8W PD 25000 mAh, 2xUSB Type-C OUT (420-56)",,6499,1,https://comfy.ua/batareja-mobil-naja-sandberg-4-panel-8w-pd-25000-mah-2xusb-type-c-out-420-56.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1420447831,,,,,2149314,"Аудио, фото и видео >> Наушники >> Наушники Epos",epos,Гарнітура дротова Epos PC 3 CHAT,,909,1,https://comfy.ua/garnitura-provodnaja-epos-pc-3-chat.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1420450549,6814735,PHILIPS,Отпариватель PHILIPS STH7060/80,2999,2116514,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Вертикальний відпарювач ручний Philips STH7060/80,,3199,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-philips-sth7060-80.html,4999,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,7
1420461787,6857370,GORENJE,Духовой шкаф GORENJE BOSB6737E06X,15547,2159069,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BOSB 6737 E06X,,13999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bosb-6737-e06x.html,16999,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1420462307,6816444,GORENJE,Духовой шкаф GORENJE BSA6747A04X (BO3SA5I02-3),23699,2156940,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Gorenje,gorenje,Духова шафа електрична Gorenje BSA 6747 A04X,,22999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bsa-6747-a04x.html,24099,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
