1423315088,6825181,kitchenaid,_kitchenaid_artisan_15__red_apple_5kek1522eca,13799,2185571,____________kitchenaid,kitchenaid,__kitchenaid_artisan_5kek1522eca,column,12419,1,httpscomfyuajelektricheskijchajnikkitchenaidartisan5kek1522ecahtml,column,05112025_1959,column,__42,Фастів,0
1423315088,6825181,KITCHENAID,"Электрочайник KITCHENAID Artisan 1,5 л Red Apple (5KEK1522ECA)",13799,2185571,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid Artisan (5KEK1522ECA),,12419,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-artisan-5kek1522eca.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1423316554,6902654,KITCHENAID,"Электрочайник KITCHENAID Artisan 1,5 л (5KEK1522EAC)",13799,2185568,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические KitchenAid,kitchenaid,Електричний чайник KitchenAid Artisan (5KEK1522EAC),,12419,1,https://comfy.ua/jelektricheskij-chajnik-kitchenaid-artisan-5kek1522eac.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
1423362774,,,,,2173241,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Helfer,helfer,Тарілка обідня Helfer 21-04-274 18 см,,69,1,https://comfy.ua/tarelka-obedennaja-helfer-21-04-274-18-sm.html,116,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
1423364164,,,,,.2187322,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика компактна 2.0 Audioengine A2+BT Red,,16389,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-audioengine-a2-bt-red.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1423364166,,,,,.2187323,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика компактна 2.0 Audioengine A2+BT White,,15079,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-audioengine-a2-bt-white.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1423364170,,,,,.2187326,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика компактна 2.0 Audioengine A5+BT White,,30449,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-audioengine-a5-bt-white.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1423419671,,,,,2193026,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Air Clear TPU Apple iPhone 14 (MCA-AI14),,215,1,https://comfy.ua/chehol-dlja-smartfona-make-air-clear-tpu-apple-iphone-14-mca-ai14.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1423419672,,,,,2193024,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Air Clear TPU Apple iPhone 14 Pro Max (MCA-AI14PM),,215,1,https://comfy.ua/chehol-dlja-smartfona-make-air-clear-tpu-apple-iphone-14-pro-max-mca-ai14pm.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
1423426639,6799001,KRAUFF,Гейзерная кофеварка KRAUFF 300 мл (26-203-071),778,2173280,"Посуда >> Для напитков >> Кофеварки гейзерные, турки >> Кофеварки гейзерные, турки Krauff",krauff,Кавоварка гейзерна Krauff 26-203-071 300 мл,,740,1,https://comfy.ua/kofevarka-gejzernaja-krauff-26-203-071-300-ml.html,1038,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1423429743,6825230,KITCHENAID,Миксер KITCHENAID 5KHM9212EER Red,9399,2185540,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры KitchenAid,kitchenaid,Міксер KitchenAid 5KHM9212EER,,8459,1,https://comfy.ua/mikser-kitchenaid-5khm9212eer.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1423456138,6825555,BORGIO,Плита комбинированная Borgio GE 640 W GCBLTF Cast Iron,12455,2190285,Техника для кухни >> Крупная техника >> Плиты >> Плиты Borgio,borgio,Плита газова Borgio GE 640 W GCBLTF Cast Iron,,12455,1,https://comfy.ua/plita-gazovaja-borgio-ge-640-w-gcbltf-cast-iron.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1423457323,6834251,GORENJE,Встраиваемая микроволновая печь GORENJE BM251SG2WG (738324),12599,2190310,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Gorenje,gorenje,Мікрохвильова піч (НВЧ) вбудовувана Gorenje BM251SG2WG,,12599,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-gorenje-bm251sg2wg.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1423975189,6811376,HISENSE,Телевизор HISENSE 55A6BG,15999,2195389,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Hisense,hisense,Телевізор Hisense 55A6BG,,14399,1,https://comfy.ua/televizor-hisense-55a6bg.html,15999,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1423976223,,,,,.2149331,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика компактна 2.0 Audioengine P4 Natural Bamboo,,14999,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-audioengine-p4-natural-bamboo.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1423976225,,,,,.2187327,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD6-Black,,17712,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd6-black.html,38089,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1423976226,,,,,.2187328,"Аудио, фото и видео >> Акустика",audioengine,Комп'ютерна акустика звичайна 2.0 Audioengine HD6-Walnut,,41399,1,https://comfy.ua/komp-juternaja-akustika-obychnaja-2-0-audioengine-hd6-walnut.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1423978818,6822988,SAMSUNG,Телевизор SAMSUNG QE65QN85BAUXUA,71099,2075067,Телевизоры и мультимедиа >> Телевизоры >> Телевизоры Samsung,samsung,Телевізор Samsung QE65QN85BAUXUA,,45999,1,https://comfy.ua/televizor-samsung-qe65qn85bauxua.html,59999,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1424093102,6834290,CECOTEC,Электробритва Cecotec Bamba PrecisionCare Titanium PerfectCut,1094,2191916,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Cecotec,cecotec,Бритва Cecotec Bamba PrecisionCare Titanium PerfectCut (CCTC-04199),,1299,1,https://comfy.ua/britva-cecotec-bamba-precisioncare-titanium-perfectcut-cctc-04199.html,1799,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1424094966,,,,,2193628,Смартфоны и телефоны >> Аксессуары для смартфонов >> Чехлы для смартфонов >> Чехлы для смартфонов MAKE,make,Чохол для смартфону MAKE AirShield Apple iPhone 14 (MCAS-AI14),,299,1,https://comfy.ua/chehol-dlja-smartfona-make-airshield-apple-iphone-14-mcas-ai14.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
1424101557,,,,,2191925,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники ECG,ecg,Холодильник ECG ERB 21800 WF,,14799,1,https://comfy.ua/holodil-nik-ecg-erb-21800-wf.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
1424103903,,,,,.2195326,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Frame Magnet Apple iPhone 13 Black (MCFM-AI13BK),,599,1,https://comfy.ua/chehol-dlja-smartfona-make-frame-magnet-apple-iphone-13-black-mcfm-ai13bk.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1424104185,6856852,KITCHENAID,Кофеварка KITCHENAID Artisan 5KES6503EMS Silver Locket,24899,2185607,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо KitchenAid,kitchenaid,Кавоварка ріжкова KitchenAid Artisan (5KES6503EMS),,24899,1,https://comfy.ua/kofevarka-rozhkovaja-kitchenaid-artisan-5kes6503ems.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1424104186,6856851,KITCHENAID,Кофеварка KITCHENAID Artisan Red (5KES6503EER),24899,2185606,Техника для кухни >> Мир кофе >> Кофеварки эспрессо >> Кофеварки эспрессо KitchenAid,kitchenaid,Кавоварка ріжкова KitchenAid Artisan (5KES6503EER),,21164,1,https://comfy.ua/kofevarka-rozhkovaja-kitchenaid-artisan-5kes6503eer.html,24899,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1424104816,,,,,2119291,Техника для дома >> Крупная техника,miele,Сушильна машина Miele TED 265 WP,,58289,1,https://comfy.ua/sushil-naja-mashina-miele-ted-265-wp.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1424105685,,,,,2186219,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для планетарного міксера KitchenAid 5KSMVSA,,8999,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-kitchenaid-5ksmvsa.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1424105686,6825202,KITCHENAID,Насадка для нарезки KITCHENAID 5KSMSCA,9999,2186226,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для планетарного міксера KitchenAid 5KSMSCA,,9999,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-kitchenaid-5ksmsca.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1424105687,6825209,KITCHENAID,Насадка спиралайзер KITCHENAID 5KSM1APC,9499,2186225,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для планетарного міксера KitchenAid 5KSM1APC,,9499,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-kitchenaid-5ksm1apc.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1424105690,6825206,KITCHENAID,Набор насадок KITCHENAID для пасти 5KSMPEXTA,12999,2186220,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для планетарного міксера KitchenAid 5KSMPEXTA,,12999,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-kitchenaid-5ksmpexta.html,,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1424105692,6825203,KITCHENAID,Насадка кухонный комбайн KITCHENAID Grey (5KSM2FPA),16999,2186224,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники KitchenAid,kitchenaid,Насадка для планетарного міксера KitchenAid 5KSM2FPA,,16999,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-kitchenaid-5ksm2fpa.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1424105722,,,,,2152684,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Sony SD2B 1500mAh (CB970513),,179,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-sony-sd2b-1500mah-cb970513.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
1424107459,,,,,1982185,Техника для кухни >> Мир кофе,lor,Кава у капсулах L`OR Espresso Decaffeinato 10 шт.,,169,1,https://comfy.ua/kofe-v-kapsulah-l-or-espresso-decaffeinato-10-sht.html,245,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,2
