1431918442,6823497,logitech,_logitech_g715_wireless_gaming_ua_tactile_white__920010465,8289,2214816,________________logitech,logitech,___logitech_g715_aurora_wireless_gaming_gx_brown_lightspeedbluetooth_920010465,column,8289,1,httpscomfyuaklaviaturabesprovodnajaigrovajalogitechg715aurorawirelessgaminggxbrownlightspeedbluetooth920010465html,column,05112025_2118,column,__42,Фастів,0
1431918442,6823497,LOGITECH,Клавиатура LOGITECH G715 Wireless Gaming UA Tactile White  (920-010465),8289,2214816,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура бездротова ігрова Logitech G715 Aurora Wireless Gaming GX Brown Lightspeed/Bluetooth (920-010465),,8289,1,https://comfy.ua/klaviatura-besprovodnaja-igrovaja-logitech-g715-aurora-wireless-gaming-gx-brown-lightspeed-bluetooth-920-010465.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1431918443,6823498,LOGITECH,Клавиатура LOGITECH G715 Wireless Gaming Linear White (920-010692),8289,2214817,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Logitech",logitech,Клавіатура бездротова ігрова Logitech G715 Aurora Wireless Gaming GX Red Lightspeed/Bluetooth (920-010692),,8289,1,https://comfy.ua/klaviatura-besprovodnaja-igrovaja-logitech-g715-aurora-wireless-gaming-gx-red-lightspeed-bluetooth-920-010692.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1431919580,,,,,2211954,Техника для дома >> Крупная техника,vestfrost,Сушильна машина Vestfrost MDM108T3IAMY,,19777,1,https://comfy.ua/sushil-naja-mashina-vestfrost-mdm108t3iamy.html,25999,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1431919891,6853444,ROWENTA,Выпрямитель ROWENTA SF466LF0,1699,2217116,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Rowenta,rowenta,Вирівнювач волосся Rowenta Karl Lagerfeld Pro Stylist Straightener (SF466LF0),,1699,1,https://comfy.ua/vyprjamitel-volos-rowenta-karl-lagerfeld-pro-stylist-straightener-sf466lf0.html,2599,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
1431931665,,,,,2216624,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши Corsair",corsair,Килимок для миші ігровий Corsair MM300 Pro Medium (CH-9413631-WW),,1299,1,https://comfy.ua/kovrik-dlja-myshi-corsair-mm300-pro-medium-ch-9413631-ww.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
1431954996,,,,,2135723,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня газова Ventolux HG430-B3 S (WH),,4599,1,https://comfy.ua/varochnaja-panel-gazovaja-ventolux-hg430-b3-s-wh.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1432078491,6858111,VENTOLUX,Вытяжка VENTOLUX MIRROR 60 BG (700) PB (2059765963691),3699,2169713,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка декоративна Ventolux MIRROR 60 BG (700) PB,,3699,1,https://comfy.ua/vytjazhka-dekorativnaja-ventolux-mirror-60-bg-700-pb.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1432091571,6869620,WILLER,Бойлер WILLER EV50R-HIT,4159,2215062,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Willer,willer,Водонагрівач Willer EV50R серія HIT,,4159,1,https://comfy.ua/vodonagrevatel-willer-ev50r-serija-hit.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1432091854,6834623,VESTEL,Бойлер VESTEL TE80D20,6999,2209355,Техника для дома >> Крупная техника,vestel,Водонагрівач VESTEL TE80D20,,6999,1,https://comfy.ua/vodonagrevatel-vestel-te80d20.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1432093271,6854268,KUMTEL,Тепловентилятор KUMTEL LX-6331,349,2218214,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Kumtel,kumtel,Тепловентилятор Kumtel LX-6331,,349,1,https://comfy.ua/teploventiljator-kumtel-lx-6331.html,499,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
