1432682704,6926849,bosch,_bosch_easyaquatak_110_06008a7f00,3973,2220216,__________bosch,bosch,_bosch_easyaquatak_110_06008a7f00,column,3975,1,httpscomfyuaminimojkaboscheasyaquatak11006008a7f00html,column,05112025_1838,column,__42,Фастів,0
1432682704,6926849,BOSCH,Минимойка BOSCH EasyAquatak 110 (0.600.8A7.F00),3973,2220216,Техника для дома >> Мелкая техника >> Минимойки >> Минимойки Bosch,bosch,Мінімийка Bosch EasyAquatak 110 (0.600.8A7.F00),,3975,1,https://comfy.ua/minimojka-bosch-easyaquatak-110-0-600-8a7-f00.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1432683478,,,,,2217101,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Asus",asus,Маршрутизатор інтернет WiFi6 Asus TUF Gaming AX3000 V2,,3869,1,https://comfy.ua/marshrutizator-internet-wifi6-asus-tuf-gaming-ax3000-v2.html,5149,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1432691741,,,,,2197700,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Frame Apple iPhone 14 Black (MCF-AI14BK),,299,1,https://comfy.ua/chehol-dlja-smartfona-make-frame-apple-iphone-14-black-mcf-ai14bk.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
1432696834,6823522,STEELSERIES,Мышь STEELSERIES Aerox 5 Black (62401),4499,2218248,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные SteelSeries",steelseries,Миша дротова ігрова SteelSeries Aerox 5 Black (62401),,4499,1,https://comfy.ua/mysh-provodnaja-igrovaja-steelseries-aerox-5-black-62401.html,,05.11.2025 22:20,,"вул. Соборна, 42",Фастів,0
1432698412,6823525,STEELSERIES,Клавиатура STEELSERIES APEX PRO Mini Wireless (64842),14999,2218251,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры SteelSeries",steelseries,Клавіатура бездротова ігрова SteelSeries Apex Pro mini Wireless (64842),,6045,1,https://comfy.ua/klaviatura-besprovodnaja-igrovaja-steelseries-apex-pro-mini-wireless-64842.html,12999,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1432711564,6832850,VINZER,Набор посуды VINZER CULINAIRE 6 пр (50030),3852,2222624,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Vinzer,vinzer,Набір посуду Vinzer Culinaire 6 пр. (50030),,3852,1,https://comfy.ua/nabor-posudy-vinzer-culinaire-6-pr-50030.html,4815,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1432712526,6832874,VINZER,"Набор кастрюль VINZER Moderno 1,5 + 2,3 + 3,2 + 5,4 л (50031)",8756,2222625,Посуда >> Для приготовления >> Наборы посуды >> Наборы посуды Vinzer,vinzer,Набір посуду Vinzer Moderno 9 пр. (50031),,8756,1,https://comfy.ua/nabor-posudy-vinzer-moderno-9-pr-50031.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1432712966,6832852,VINZER,Ковш VINZER Culinaire 1.6 л (50165),1175,2222627,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Vinzer,vinzer,Сотейник Vinzer Culinaire 1.6 л (50165),,1175,1,https://comfy.ua/sotejnik-vinzer-culinaire-1-6-l-50165.html,1469,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1432717605,6832854,VINZER,Кастрюля VINZER Culinaire 4 л (50167),1545,2221137,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Culinaire 20 см 4 л (50167),,1545,1,https://comfy.ua/kastrjulja-vinzer-culinaire-20-sm-4-l-50167.html,1932,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1432717606,6832853,VINZER,Кастрюля VINZER Culinaire 2.4 л (50166),1396,2221138,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Culinaire 18 см 2.6 л (50166),,1396,1,https://comfy.ua/kastrjulja-vinzer-culinaire-18-sm-2-6-l-50166.html,1746,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1432717607,6832862,VINZER,Кастрюля VINZER Profi 5.9л (50185),2310,2221132,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Profi 24 см 5.9 л (50185),,2310,1,https://comfy.ua/kastrjulja-vinzer-profi-24-sm-5-9-l-50185.html,3300,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1432717611,6832855,VINZER,Кастрюля VINZER Culinaire 7л (50168),1844,2221136,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Culinaire 24 см 7 л (50168),,1844,1,https://comfy.ua/kastrjulja-vinzer-culinaire-24-sm-7-l-50168.html,2306,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
