1434256666,6816087,tramontina,___tramontina_nygma_203__23682108,920,2225109,_____________tramontina,tramontina,___tramontina_nygma_203__23682108,column,920,1,httpscomfyuanozhdljahlebatramontinanygma203mm23682108html,column,05112025_1942,column,__42,Фастів,0
1434256666,6816087,TRAMONTINA,Нож для хлеба TRAMONTINA Nygma 20.3 см (23682/108),920,2225109,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для хліба Tramontina Nygma 203 мм (23682/108),,920,1,https://comfy.ua/nozh-dlja-hleba-tramontina-nygma-203-mm-23682-108.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1434256667,6816084,TRAMONTINA,Нож сантоку TRAMONTINA Nygma 17.8 см (23685/107),1049,2225106,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж сантоку Tramontina 178 мм (23685/107),,1049,1,https://comfy.ua/nozh-santoku-tramontina-178-mm-23685-107.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1434313454,,,,,.2139709,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",yenkee,Сумка для ноутбуку YENKEE Tarmac Protective Sleeve YBN 1435GY Gray,,745,1,https://comfy.ua/sumka-dlja-noutbuka-yenkee-tarmac-protective-sleeve-ybn-1435gy-gray.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
1434320287,6822856,LG,Стиральная машина LG F2V3HS6WW,23499,2225014,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины LG,lg,Пральна машина LG F2V3HS6WW,,23499,1,https://comfy.ua/stiral-naja-mashina-lg-f2v3hs6ww.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1434322170,6835342,GRUNHELM,Плитка GRUNHELM GHP-5611,529,2225103,Техника для кухни >> Крупная техника >> Настольные плиты >> Настольные плиты Grunhelm,grunhelm,Плита електрична настільна Grunhelm GHP-5611,,529,1,https://comfy.ua/plita-jelektricheskaja-nastol-naja-grunhelm-ghp-5611.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1434322692,,,,,.2222278,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",rapoo,Хаб USB Rapoo 7 в 1 UCM-2003,,1999,1,https://comfy.ua/hab-usb-rapoo-7-v-1-ucm-2003.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1434322693,,,,,.2222279,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",rapoo,Хаб USB Rapoo 8 в 1 UCM-2004,,3499,1,https://comfy.ua/hab-usb-rapoo-8-v-1-ucm-2004.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1434322695,,,,,.2113721,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",baseus,Док-станція Baseus USB3.1 USB Type C PD 100W/HDMI 4K 60 Hz/3хUSB 3.2 Gen1/ 5in1 (CAHUB-CX0G),,1399,1,https://comfy.ua/dok-stancija-baseus-usb3-1-usb-type-c-pd-100w-hdmi-4k-60-hz-3husb-3-2-gen1-5in1-cahub-cx0g.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
1434323011,6842419,TEFAL,Сковорода TEFAL Emotion 26 см Stainless Steel (E3007704),1099,2203074,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Tefal,tefal,Сотейник Tefal E3007704 Emotion 26 см,,1099,1,https://comfy.ua/sotejnik-tefal-e3007704-emotion-26-sm.html,2639,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,1
1434367716,6884058,APACER,Флеш-драйв APACER 128GB USB3.1 AH355 Black (AP128GAH355B-1),399,2225096,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer USB3.0 128GB AH355 Black (AP128GAH355B-1),,325,1,https://comfy.ua/flesh-usb-apacer-usb3-0-128gb-ah355-black-ap128gah355b-1.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1434367716,6986631,APACER,Флеш-драйв APACER AH355 128GB USB 3.2 Black (AP128GAH355B-1),337,2225096,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Apacer",apacer,Флеш USB Apacer USB3.0 128GB AH355 Black (AP128GAH355B-1),,325,1,https://comfy.ua/flesh-usb-apacer-usb3-0-128gb-ah355-black-ap128gah355b-1.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1434373049,,,,,1939085,Техника для дома >> Умный дом >> Умные розетки >> Умные розетки TP-Link,tp-link,Розумна розетка TP-Link Tapo P110,,499,1,https://comfy.ua/umnaja-rozetka-tp-link-tapo-p110.html,,05.11.2025 17:15,,"вул. Соборна, 42",Фастів,0
1434375825,6826895,BRAUN,Триммер BRAUN XT5100,1999,2221976,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Braun,braun,Тример універсальний Braun XT5100,,1999,1,https://comfy.ua/trimmer-universal-nyj-braun-xt5100.html,2799,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
1434379926,,,,,.2172371,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frimecom,Корпус FrimeCom MX9,,1089,1,https://comfy.ua/korpus-frimecom-mx9.html,,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1434384533,,,,,1723552,Инструменты и автотовары >> Электроинструменты >> Станки для заточки >> Станки для заточки Einhell,einhell,Станок Einhell TC-SB 200/1 (4308018),,9959,1,https://comfy.ua/stanok-einhell-tc-sb-200-1-4308018.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
