1439372757,6851581,ulefone,_ulefone_armor_x10_432gb_dual_sim_black_6937748734482,4899,2238547,_______ulefone,ulefone,_ulefone_armor_x10_432gb_black_6937748734482,column,4899,1,httpscomfyuasmartfonulefonearmorx10432gbblack6937748734482html,column,05112025_1746,column,__42,Фастів,0
1439372757,6851581,ULEFONE,Смартфон ULEFONE Armor X10 4/32Gb Dual Sim Black (6937748734482),4899,2238547,Смартфоны и телефоны >> Смартфоны >> Смартфоны Ulefone,ulefone,Смартфон Ulefone Armor X10 4/32Gb Black (6937748734482),,4899,1,https://comfy.ua/smartfon-ulefone-armor-x10-4-32gb-black-6937748734482.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1439401191,6851583,ULEFONE,Смартфон ULEFONE Armor X10 Pro 4/64Gb Dual Sim Gray (6937748734697),5999,.2234086,Смартфоны и телефоны >> Смартфоны,ulefone,Смартфон Ulefone Armor X10 Pro 4/64Gb Gray,,5999,1,https://comfy.ua/smartfon-ulefone-armor-x10-pro-4-64gb-gray.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1439461458,,,,,2219382,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Фрекен Бок,freken-bok,"Пакети для заморожування Фрекен Бок Зіппери універсальні, розмір М 15шт",,47,1,https://comfy.ua/pakety-dlja-zamorozki-freken-bok-zippery-universal-nye-razmer-m-15-sht.html,63,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1439747478,6374479,TVS,Сковорода TVS NATURA INDUCTION 20 см (BS279202910101),1169,2236773,Посуда >> Для приготовления >> Сковороды >> Сковороды TVS,tvs,Сковорода універсальна TVS Natura Induction 20 см (8000807042700),,1169,1,https://comfy.ua/skovoroda-universal-naja-tvs-natura-induction-20-sm-8000807042700.html,1679,05.11.2025 21:01,,"вул. Соборна, 42",Фастів,0
1439886408,6806845,RINGEL,Сковорода с крышкой RINGEL Herbal 28 см Black (RG-1101-28/h/L),1925,2237623,Посуда >> Для приготовления >> Сковороды >> Сковороды Ringel,ringel,Сковорода універсальна Ringel Herbal 28 см з/кришкою (RG-1101-28/h/L),,1925,1,https://comfy.ua/skovoroda-universal-naja-ringel-herbal-28-sm-s-kryshkoj-rg-1101-28-h-l.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1439907432,6834981,TVS,Сковорода с крышкой TVS Mineralia Eco 26 см Grey (BS379262910001C),1939,2236778,Посуда >> Для приготовления >> Сковороды >> Сковороды TVS,tvs,Сковорода універсальна TVS Mineralia Eco Induction 26 см (8000807058923),,1939,1,https://comfy.ua/skovoroda-universal-naja-tvs-mineralia-eco-induction-26-sm-8000807058923.html,3219,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
1440013365,6834229,ROWENTA,Пылесос ROWENTA X-Force Flex 12.60 Auto Animal RH98A9WO,10999,2223784,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Rowenta,rowenta,Пилосос ручний для дому Rowenta RH98A9WO,,10999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-rowenta-rh98a9wo.html,21999,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1440020362,6834914,TVS,Кастрюля TVS Natura Induction 4.5 л Green (BS480242910101C),2479,2236798,Посуда >> Для приготовления >> Кастрюли >> Кастрюли TVS,tvs,Каструля TVS Natura Induction 24 см 4.5 л (8000807050989),,2479,1,https://comfy.ua/kastrjulja-tvs-natura-induction-24-sm-4-5-l-8000807050989.html,3819,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1440024253,,,,,.2096041,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",thule,Рюкзак для ноутбуку Thule Lithos 20L Black (TLBP216),,3999,1,https://comfy.ua/rjukzak-dlja-noutbuka-thule-lithos-20l-black-tlbp216.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
1440048273,,,,,2241387,"Аудио, фото и видео >> Аксессуары для фото, видео",patriot,Карта пам'яті Patriot MicroSDHC 64GB UHS-I Class 10 LX (PSF64GMDC10),,179,1,https://comfy.ua/karta-pamjati-patriot-microsdhc-64gb-uhs-i-class-10-lx-psf64gmdc10.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
