1443119571,column,column,column,column,2245547,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,__aa_colorway_cwbalr0624pb,column,379,1,httpscomfyuabatarejkatipaacolorwaycwbalr0624pbhtml,column,05112025_1831,column,__42,Фастів,0
1443119571,,,,,.2245547,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,Батарейка тип AA Colorway CW-BALR06-24PB,,379,1,https://comfy.ua/batarejka-tip-aa-colorway-cw-balr06-24pb.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1443119573,,,,,.2245553,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,Батарейка тип AAA Colorway CW-BALR03-24PB,,379,1,https://comfy.ua/batarejka-tip-aaa-colorway-cw-balr03-24pb.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1443119609,,,,,2241777,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",sandberg,Веб-камера для комп'ютера Sandberg All-in-1 ConfCam 1080P Remote (134-23),,5799,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-sandberg-all-in-1-confcam-1080p-remote-134-23.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1443239923,6835113,ROWENTA,Пылесос ROWENTA X-Force Flex 12.60 Auto Aqua RH98C0WO,12999,2241393,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Rowenta,rowenta,Пилосос ручний для дому Rowenta RH98C0WO,,12999,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-rowenta-rh98c0wo.html,23999,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1443661450,6893133,PERFELLI,Вытяжка PERFELLI PL 5144 I LED,2699,2209329,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 5144 I LED,,2699,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-5144-i-led.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1444007787,6893136,MINOLA,Вытяжка MINOLA HBI 5262 BL GLASS 700 LED,3299,2213560,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 5262 BL GLASS 700 LED,,3299,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-5262-bl-glass-700-led.html,4499,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1444665473,,,,,.2245548,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,Батарейка тип AA Colorway CW-BALR06-2BL,,49,1,https://comfy.ua/batarejka-tip-aa-colorway-cw-balr06-2bl.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1444665474,,,,,.2245554,"Аудио, фото и видео >> Аксессуары для фото, видео",colorway,Батарейка тип AAA Colorway CW-BALR03-2BL,,49,1,https://comfy.ua/batarejka-tip-aaa-colorway-cw-balr03-2bl.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1444667700,,,,,2244612,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ELEYUS,eleyus,Пральна машина ELEYUS WMFD 04 1000,,11399,1,https://comfy.ua/stiral-naja-mashina-eleyus-wmfd-04-1000.html,16539,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1444667708,6826211,ELEYUS,Стиральная машина ELEYUS WMFD 06 1000 (11538),11879,2245124,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ELEYUS,eleyus,Пральна машина ELEYUS WMFD 06 1000,,11879,1,https://comfy.ua/stiral-naja-mashina-eleyus-wmfd-06-1000.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
