1445786929,column,column,column,column,2252929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractaldesign,_fractal_design_atx___pop_mini_air_rgb_black_tg_fdcpor1m06,column,5919,1,httpscomfyuakorpusfractaldesignatxbezbppopminiairrgbblacktgfdcpor1m06html,column,05112025_1920,column,__42,Фастів,0
1445786929,,,,,.2252929,Игровые консоли и гейминг >> Комплектующие для игровых ПК,fractal-design,Корпус Fractal design ATX без БЖ Pop Mini Air RGB Black TG (FD-C-POR1M-06),,5919,1,https://comfy.ua/korpus-fractal-design-atx-bez-bp-pop-mini-air-rgb-black-tg-fd-c-por1m-06.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1445787577,6861537,WHIRLPOOL,Стиральная машина WHIRLPOOL TDLR 60210 UA,16499,2251408,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Whirlpool,whirlpool,Пральна машина Whirlpool TDLR60210UA,,16499,1,https://comfy.ua/stiral-naja-mashina-whirlpool-tdlr60210ua.html,20299,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
1445885684,6833676,PYRAMIDA,Вытяжка PYRAMIDA ASH 60 S (800) GBL,6749,2226612,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ASH 60 S (800) GBL,,6749,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-ash-60-s-800-gbl.html,8999,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1445885694,6833677,PYRAMIDA,Вытяжка PYRAMIDA ASH 60 S (800) XGBL,7359,2226613,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ASH 60 S (800) XGBL,,7359,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-ash-60-s-800-xgbl.html,9199,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1445885696,,,,,2245114,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS FENIX 1200 LED 60 BL,,13279,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-fenix-1200-led-60-bl.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1445885718,,,,,2227314,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ASH 60 S (800) GIV,,7499,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-ash-60-s-800-giv.html,9499,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1445885719,6833679,PYRAMIDA,Вытяжка PYRAMIDA ASH 60 S (800) GWH,7569,2227315,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка декоративна Pyramida ASH 60 S (800) GWH,,7569,1,https://comfy.ua/vytjazhka-dekorativnaja-pyramida-ash-60-s-800-gwh.html,9499,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1445892937,6808559,ELEYUS,Вытяжка ELEYUS GALANT 1200 LED 60 BG,12649,2245116,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS GALANT 1200 LED 60 BG,,12649,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-galant-1200-led-60-bg.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1445893532,6808562,ELEYUS,Вытяжка ELEYUS FENIX 1200 LED 60 BG,14419,2244613,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки ELEYUS,eleyus,Витяжка декоративна ELEYUS FENIX 1200 LED 60 BG,,14419,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-fenix-1200-led-60-bg.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1445893541,6833680,PYRAMIDA,Вытяжка PYRAMIDA ABH 52 SRC (800) GBL,11999,2226606,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Pyramida,pyramida,Витяжка вбудована Pyramida ABH 52 SRC (800) GBL,,9599,1,https://comfy.ua/vytjazhka-vstraivaemaya-pyramida-abh-52-src-800-gbl.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
