1446147330,6895474,neo_tools,_neo_tools_100__71124,945,2244570,__________neo_tools,neotools,_neo_tools_71124_100_,column,945,1,httpscomfyuaurovenneotools71124100smhtml,column,05112025_2152,column,__42,Фастів,0
1446147330,6895474,NEO TOOLS,Уровень NEO TOOLS 100 см (71-124),945,2244570,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Neo Tools,neo-tools,Рівень Neo Tools 71-124 100 см,,945,1,https://comfy.ua/uroven-neo-tools-71-124-100-sm.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
1446148989,6902510,EINHELL,Сабельная пила Einhell X-Change TP-AP 18/28 Li BL - Solo (4326310),4974,2235337,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Einhell,einhell,Пила шабельна Einhell TE-AP 18/28 Li BL Solo (4326310),,4975,1,https://comfy.ua/pila-sabel-naja-einhell-te-ap-18-28-li-bl-solo-4326310.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1446148990,6855604,EINHELL,Цепная пила EINHELL Fortexxa 18/30 X-Change Solo (4600010),6995,2244566,Инструменты и автотовары >> Электроинструменты >> Пилы цепные и сабельные >> Пилы цепные и сабельные Einhell,einhell,Ланцюгова пила Einhell Fortexxa 18/30 X-Change (4600010),,6995,1,https://comfy.ua/cepnaja-pila-einhell-fortexxa-18-30-x-change-4600010.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
1446163924,,,,,2242986,"Дом, отдых и зоотовары >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Mystery",mystery,Холодильник автомобільний Mystery MRK-26,,9289,1,https://comfy.ua/holodil-nik-avtomobil-nyj-mystery-mrk-26.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446163933,,,,,2242985,"Дом, отдых и зоотовары >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Mystery",mystery,Холодильник автомобільний Mystery MRQ-55,,11999,1,https://comfy.ua/holodil-nik-avtomobil-nyj-mystery-mrq-55.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1446213739,,,,,.2154814,"Аудио, фото и видео >> Аксессуары для фото, видео",patriot,Карта пам'яті Patriot MicroSDXC 128GB UHS-I/U3 Class 10 EP A1 R90/W80MB/s + SD-adapter (PEF128GEP31MCX),,365,1,https://comfy.ua/karta-pamjati-patriot-microsdxc-128gb-uhs-i-u3-class-10-ep-a1-r90-w80mb-s-sd-adapter-pef128gep31mcx.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1446215037,6725997,EINHELL,Шлифмашина угловая EINHELL  AXXIO 18/125 Q (4431151) без АКБ и ЗУ,4859,2244562,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Einhell,einhell,Болгарка Einhell Axxio 18/125 Q X Change (4431151),,4859,1,https://comfy.ua/bolgarka-einhell-axxio-18-125-q-x-change-4431151.html,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
1446218025,,,,,2255137,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Miele,miele,Робот-пилосос Miele SPQL0 Scout RX3,,28049,1,https://comfy.ua/robot-pylesos-miele-spql0-scout-rx3.html,32999,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1446219230,,,,,2031440,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka White,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-white.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446219504,,,,,2030701,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vitoria White,,2990,1,https://comfy.ua/mojka-kuhonnaja-granado-vitoria-white.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446219585,,,,,2030698,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vitoria Avena,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-vitoria-avena.html,3989,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446219594,,,,,2030699,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vitoria Terra,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-vitoria-terra.html,3989,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1446219599,,,,,2030700,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vitoria Ivory,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-vitoria-ivory.html,3989,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1446219601,,,,,2030703,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vitoria Gris,,2989,1,https://comfy.ua/mojka-kuhonnaja-granado-vitoria-gris.html,3989,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1446219608,,,,,2031490,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Black Shine,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-black-shine.html,6989,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446219613,,,,,2031491,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Avena,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-avena.html,6989,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446219616,,,,,2031493,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Ivory,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-ivory.html,6989,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446219618,,,,,2031492,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Terra,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-terra.html,6989,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1446219621,,,,,2031494,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo White,,4990,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-white.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1446219626,,,,,2031495,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Marron,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-marron.html,6989,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446219639,,,,,2031496,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Vigo Gris,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-vigo-gris.html,6989,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
