1446235089,column,column,column,column,2031437,"Дом, отдых и зоотовары >> Сантехника",granado,__granado_salamanka_avena,column,6589,1,httpscomfyuamojkakuhonnajagranadosalamankaavenahtml,column,05112025_2019,column,__42,Фастів,0
1446235089,,,,,2031437,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka Avena,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-avena.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1446235351,,,,,2031438,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka Terra,,5930,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-terra.html,6589,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446235480,,,,,2031439,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka Ivory,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-ivory.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446235854,,,,,2031441,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka Marron,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-marron.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446235957,,,,,2031442,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Salamanka Gris,,6589,1,https://comfy.ua/mojka-kuhonnaja-granado-salamanka-gris.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
1446236751,,,,,2031366,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Gris,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-gris.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446237658,,,,,2031365,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Marron,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-marron.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446237929,,,,,2031360,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Black Shine,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-black-shine.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1446238060,,,,,2031361,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Avena,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-avena.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1446238235,,,,,2031362,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Terra,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-terra.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1446238518,,,,,2031363,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Ivory,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-ivory.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446238971,,,,,2031364,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma White,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-white.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1446239194,,,,,2031367,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Palma Grafito,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-palma-grafito.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1446239743,,,,,2030696,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Murcia Black Shine,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-murcia-black-shine.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446240122,,,,,2031338,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Murcia Avena,,4989,1,https://comfy.ua/mojka-kuhonnaja-granado-murcia-avena.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
