1447516914,column,column,column,column,2106639,__________dinobaby,dinobaby,__dinobaby__6_16__32__db6240,column,272,1,httpscomfyuaodnorazovyepodguznikidinobabyrazmer616kg32shtdb6240html,319,05112025_2028,column,__42,Фастів,0
1447516914,,,,,2106639,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники DinoBaby,dinobaby,"Одноразові підгузки DinoBaby Розмір 6 (16+ кг), 32 шт. (DB6.240)",,272,1,https://comfy.ua/odnorazovye-podguzniki-dinobaby-razmer-6-16-kg-32-sht-db6-240.html,319,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1447516915,6708199,HUGGIES,Подгузники-трусики Huggies DryNites для девочек 4-7 лет 10 шт (5029053527581),279,2247732,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки-трусики Huggies DryNites девочка 4-7 лет (17-30 кг), 10 шт. (5029053527581)",,239,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-huggies-drynites-devochka-4-7-let-17-30-kg-10-sht-5029053527583.html,337,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1447516916,,,,,2233636,Детские товары >> Подгузники и пеленание,bambik,"Одноразові підгузки Bambik Розмір 4 (7-18 кг), 36 шт. (43406520)",,279,1,https://comfy.ua/odnorazovye-podguzniki-bambik-razmer-4-7-18-kg-36-sht-43406520.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
1447516917,,,,,2233637,Детские товары >> Подгузники и пеленание,bambik,"Одноразові підгузки Bambik Розмір 5 (11-25 кг), 32 шт. (43406530)",,279,1,https://comfy.ua/odnorazovye-podguzniki-bambik-razmer-5-11-25-kg-32-sht-43406530.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1447516918,,,,,2233635,Детские товары >> Подгузники и пеленание,bambik,"Одноразові підгузки Bambik Розмір 3 (4-9 кг), 36 шт. (43406500)",,279,1,https://comfy.ua/odnorazovye-podguzniki-bambik-razmer-3-4-9-kg-36-sht-43406500.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1447518040,,,,,2262567,Детские товары >> Кормление,beaba,Вставка для стільчика для годування Beaba Up&Down Green (915041),,2339,1,https://comfy.ua/vstavka-dlja-stul-chika-dlja-kormlenija-beaba-up-down-green-915041.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
1447518186,,,,,2262597,Детские товары >> Кормление,childhome,Стільчик для годування класичний Childhome Evolu 2 Natural/White (CHEVOCHNW),,9249,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-childhome-evolu-2-natural-white-chevochnw.html,,05.11.2025 21:48,,"вул. Соборна, 42",Фастів,0
1447518199,,,,,2262555,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Beaba,beaba,Стільчик для годування класичний Beaba Up&Down Dark Grey (915043),,12249,1,https://comfy.ua/stul-chik-dlja-kormlenija-klassicheskij-beaba-up-down-dark-grey-915043.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1447518435,,,,,.2238763,Детские товары >> Игрушки,winning-moves,Настільна гра (3-4 роки) PAW PATROL Paw Patrol (WM01346-ML1-6),,899,1,https://comfy.ua/nastol-naja-igra-kartochnaja-3-4-goda-paw-patrol-wm01346-ml1-6.html,,06.11.2025 0:59,,"вул. Соборна, 42",Фастів,0
1447518477,,,,,2233629,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Bambik,bambik,"Одноразові підгузки-трусики Bambik Розмір 4 (9-15 кг), 36 шт. (43404700)",,325,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-bambik-razmer-4-9-15-kg-36-sht-43404700.html,526,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
1447518478,,,,,2233630,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Bambik,bambik,"Одноразові підгузки-трусики Bambik Розмір 5 (12-17 кг), 34 шт. (43404800)",,325,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-bambik-razmer-5-12-17-kg-34-sht-43404800.html,526,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1447518479,,,,,2233634,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Bambik,bambik,"Одноразові підгузки-трусики Bambik Розмір 6 (15+ кг), 30 шт. (43404900)",,325,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-bambik-razmer-6-15-kg-30-sht-43404900.html,526,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1447518480,,,,,.2236471,Детские товары >> Игрушки,overwatch,Колекційна фігурка Overwatch OVERWATCH Peppermint Sombra (B63069),,499,1,https://comfy.ua/kollekcionnaja-figurka-overwatch-peppermint-sombra-b63069.html,,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
1447518481,,,,,.2236473,Детские товары >> Игрушки,overwatch,Колекційна фігурка Overwatch OVERWATCH Vampire Symmetra (B63064),,299,1,https://comfy.ua/kollekcionnaja-figurka-overwatch-vampire-symmetra-b63064.html,499,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
1447518483,,,,,.2236472,Детские товары >> Игрушки,overwatch,Колекційна фігурка Overwatch OVERWATCH Frosted Zarya (B63067),,499,1,https://comfy.ua/kollekcionnaja-figurka-overwatch-frosted-zarya-b63067.html,,06.11.2025 1:33,,"вул. Соборна, 42",Фастів,0
