1462643512,6842312,bomann,_bomann_ht_8002_cb,718,2275425,___________bomann,bomann,_bomann_ht_8002_cb,column,719,1,httpscomfyuafenbomannht8002cbhtml,column,05112025_1910,column,__42,Фастів,0
1462643512,6842312,BOMANN,Фен BOMANN HT 8002 CB,718,2275425,Красота и здоровье >> Уход за волосами >> Фены >> Фены Bomann,bomann,Фен Bomann HT 8002 CB,,719,1,https://comfy.ua/fen-bomann-ht-8002-cb.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1462643513,6842313,BOMANN,Фен BOMANN HTD 8005 CB,762,2275426,Красота и здоровье >> Уход за волосами >> Фены >> Фены Bomann,bomann,Фен Bomann HTD 8005 CB,,765,1,https://comfy.ua/fen-bomann-htd-8005-cb.html,,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
1462643720,,,,,2279944,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы OPPO,oppo,Фітнес-браслет OPPO Band 2 Blue,,2699,1,https://comfy.ua/fitnes-braslet-oppo-band-2-blue.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1462643726,6842314,BOMANN,Фен BOMANN HTD 889 CB,1222,2275427,Красота и здоровье >> Уход за волосами >> Фены >> Фены Bomann,bomann,Фен Bomann HTD 889 CB,,1225,1,https://comfy.ua/fen-bomann-htd-889-cb.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1462644054,6842291,BOMANN,Мясорубка Bomann FW 447 СВ,4625,2275732,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Bomann,bomann,М'ясорубка Bomann FW 447 СВ,,4625,1,https://comfy.ua/mjasorubka-bomann-fw-447-sv.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1462649450,6866806,ARDESTO,Нож универсальный ARDESTO Fresh 9.7 см Green (AR2120CZ),172,2253533,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 20.5 см Green (AR2120CZ),,172,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-20-5-sm-green-ar2120cz.html,245,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
1462649451,6866804,ARDESTO,Нож универсальный ARDESTO Fresh 9.7 см White (AR2120CW),175,2253532,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 20.5 см White (AR2120CW),,175,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-20-5-sm-white-ar2120cw.html,245,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1462649452,6866805,ARDESTO,Нож универсальный ARDESTO Fresh 9.7 см Tiffany Blue (AR2120CT),175,2253531,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 20.5 см Blue (AR2120CT),,175,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-20-5-sm-blue-ar2120ct.html,245,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
1462649453,6866807,ARDESTO,Нож универсальный ARDESTO Fresh 9.7 см Grey (AR2120CG),166,2253529,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 20.5 см Gray (AR2120CG),,175,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-20-5-sm-gray-ar2120cg.html,245,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1462649455,6866808,ARDESTO,Нож универсальный ARDESTO Fresh 9.7 см Black (AR2120CB),169,2253528,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 20.5 см Black (AR2120CB),,169,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-20-5-sm-black-ar2120cb.html,245,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
