1643309569,column,column,column,column,2726665,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_apple_iphone_141313_pro_arm60108,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartforappleiphone141313proarm60108html,column,05112025_1937,column,__42,Фастів,0
1643309568,,,,,.2726446,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Realme GT Neo 3 / GT Neo 3 150W (ARM67458),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-realme-gt-neo-3-gt-neo-3-150w-arm67458.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1643309569,,,,,.2726665,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Apple iPhone 14/13/13 Pro (ARM60108),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-apple-iphone-14-13-13-pro-arm60108.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1643309570,,,,,.2726673,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Poco M5 (ARM64017),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-poco-m5-arm64017.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1643309571,,,,,.2728278,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Apple iPhone 14/13/13 Pro (ARM60141),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-apple-iphone-14-13-13-pro-arm60141.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
1643309572,,,,,.2726442,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Motorola G13 / G23 / G53 5G (ARM66231),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-motorola-g13-g23-g53-5g-arm66231.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
1643309573,,,,,.2726670,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung S23 / S22 5G (SM-S901) (ARM61284),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-s23-s22-5g-sm-s901-arm61284.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1643309576,,,,,.2728279,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Apple iPhone 14 Plus/13 Pro Max (ARM60143),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-apple-iphone-14-plus-13-pro-max-arm60143.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1643309577,,,,,.2728282,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Mi 11 Lite 5G (ARM61162),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-mi-11-lite-5g-arm61162.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1643309578,,,,,2728284,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung A13 4G (A135) (ARM62210),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-a13-4g-a135-arm62210.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1643309579,,,,,.2728280,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Xiaomi Redmi 10/10 2022 (ARM60146),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-xiaomi-redmi-10-10-2022-arm60146.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
