1643315103,column,column,column,column,2553366,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_for_tecno_spark_10_pro_ki7_arm67786,column,209,1,httpscomfyuazaschitnajaplenkadljasmartfonaarmorstandartfortecnospark10proki7arm67786html,column,05112025_2038,column,__42,Фастів,0
1643315101,,,,,.2553036,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Vivo Y35 2022 4G (ARM63554),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-vivo-y35-2022-4g-arm63554.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1643315103,,,,,.2553366,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Tecno Spark 10 Pro (KI7) (ARM67786),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-tecno-spark-10-pro-ki7-arm67786.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1643315106,,,,,.2553340,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Poco F5 (ARM68100),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-poco-f5-arm68100.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1643315111,,,,,.2553056,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Vivo X90 Pro+ (ARM67182),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-vivo-x90-pro-arm67182.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
1643315182,,,,,.2272227,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20858,,23428,1,https://comfy.ua/sistemnyj-blok-qbox-i20858.html,26929,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1643315183,,,,,.2272228,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20859,,24072,1,https://comfy.ua/sistemnyj-blok-qbox-i20859.html,27669,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1643315184,,,,,.2272229,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20860,,25455,1,https://comfy.ua/sistemnyj-blok-qbox-i20860.html,29259,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1643315185,,,,,.2272232,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20863,,25821,1,https://comfy.ua/sistemnyj-blok-qbox-i20863.html,29679,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1643315186,,,,,.2272233,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20864,,26143,1,https://comfy.ua/sistemnyj-blok-qbox-i20864.html,30049,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
1643315187,,,,,.2272234,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I20865,,26465,1,https://comfy.ua/sistemnyj-blok-qbox-i20865.html,30419,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
