1643368469,column,column,column,column,2594649,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_icon_for_oppo_a57s_4ga57_4ga57e_4ga77_4ga77s_4g_black_arm64763,column,239,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticonforoppoa57s4ga574ga57e4ga774ga77s4gblackarm64763html,column,05112025_1814,column,__42,Фастів,0
1643368457,,,,,.2546402,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Clear + Anti-Blue for Apple iPhone 14 Pro (ARM66821),,329,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-clear-anti-blue-for-apple-iphone-14-pro-arm66821.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643368469,,,,,.2594649,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for OPPO A57s 4G/A57 4G/A57e 4G/A77 4G/A77s 4G Black (ARM64763),,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-oppo-a57s-4g-a57-4g-a57e-4g-a77-4g-a77s-4g-black-arm64763.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1643368476,,,,,.2763672,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Poco M5/Redmi 11 Prime 4G Black (ARM62811),,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-poco-m5-redmi-11-prime-4g-black-arm62811.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
1643368478,,,,,.2771052,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 13 Pro 5G Black (ARM71830),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-13-pro-5g-black-arm71830.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1643369134,,,,,.2777162,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Samsung A05s (A057) Black (ARM71788),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-samsung-a05s-a057-black-arm71788.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1643369135,,,,,.2763728,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 12 Pro 5G / 12 Pro+ 5G Black (ARM73097),,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-12-pro-5g-12-pro-5g-black-arm73097.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1643369137,,,,,.2765722,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 12 Pro+ 5G Black (ARM68029),,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-12-pro-5g-black-arm68029.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1643369147,,,,,.2673390,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung A13 4G (A135) (ARM70020),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-a13-4g-a135-arm70020.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1643369149,,,,,.2682166,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung Flip 5 (SM-F731) (ARM70408),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-flip-5-sm-f731-arm70408.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1643369190,,,,,.2546328,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Apple iPhone 11/XR (ARM58846),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-apple-iphone-11-xr-arm58846.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1643369195,,,,,.2546338,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Anti-spy for Xiaomi 13 5G (ARM65709),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-13-5g-arm65709.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1643369196,,,,,.2553342,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Poco F5 (ARM68104),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-poco-f5-arm68104.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1643369197,,,,,.2546428,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung S10 (ARM58850),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s10-arm58850.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1643369200,,,,,.2525454,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung S20 (ARM58852),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s20-arm58852.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1643369202,,,,,.2525459,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,"""Захисна плівка для смартфону",,,,,,,,,,
"Armorstandart Anti-spy for Samsung S10 Lite (ARM58867)""",,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s10-lite-arm58867.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0,,,,,,,,
1643369204,,,,,.2525457,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung S21 Plus (ARM58856),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s21-plus-arm58856.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1643369205,,,,,.2525458,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung S21 Ultra (ARM58857),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-s21-ultra-arm58857.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1643369219,,,,,.2569566,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi Note 12 / Poco X5 5G (ARM65182),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-note-12-poco-x5-5g-arm65182.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
1643369223,,,,,.2588009,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Mi 10 Pro (ARM58862),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-mi-10-pro-arm58862.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1643369227,,,,,.2561438,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung Galaxy S21 FE (ARM61240),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-galaxy-s21-fe-arm61240.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1643369229,,,,,.2571953,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Poco M5 (ARM70126),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-poco-m5-arm70126.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1643369231,,,,,.2571956,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi 9C (ARM70132),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-9c-arm70132.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1643369763,,,,,.2673388,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Anti-spy for Samsung A23 4G (A235) / A23 5G (A236) (ARM69749),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-a23-4g-a235-a23-5g-a236-arm69749.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1643369765,,,,,.2673389,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфона Armorstandart Anti-spy for Samsung A14 4G (A145) / A14 5G (A146) (ARM66238),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-a14-4g-a145-a14-5g-a146-arm66238.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1643369766,,,,,.2682527,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Samsung A33 5G (A336) (ARM69751),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-samsung-a33-5g-a336-arm69751.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1643369767,,,,,.2682529,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Redmi 10A (ARM70394),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-redmi-10a-arm70394.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1643369771,,,,,.2682155,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Poco X4 GT 5G (ARM70127),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-poco-x4-gt-5g-arm70127.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1643369773,,,,,.2682170,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi 13 Ultra 5G (ARM70123),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-13-ultra-5g-arm70123.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1643369774,,,,,.2682171,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Anti-spy for Xiaomi Mi 10 (ARM58860),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-anti-spy-for-xiaomi-mi-10-arm58860.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
